scope,model,protocol,reference_kind,reference_model,scenes,mean_m,median_m,p90_m,ci_low_m,ci_high_m,log_cluster_ci_low_m,log_cluster_ci_high_m
FULL1000,official_il,eval,official_IL_same_sampler,official_il,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FULL1000,official_il,native_grpo,official_IL_same_sampler,official_il,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FULL1000,psi_sft,eval,official_IL_same_sampler,official_il,1000,0.44111512845009565,0.40447084605693817,0.7982217907905579,0.42446917602019385,0.45715042511830106,0.4227180275139901,0.45919033173859164
FULL1000,psi_sft,eval,actual_previous_stage_same_sampler,official_il,1000,0.44111512845009565,0.40447084605693817,0.7982217907905579,0.42525724050207064,0.4569150044550188,0.4223569300067907,0.4600833862916463
FULL1000,psi_sft,native_grpo,official_IL_same_sampler,official_il,1000,0.4998293027728796,0.47271160781383514,0.8289568364620209,0.4845033160893247,0.5158814798133449,0.4832727700385472,0.5177685725637463
FULL1000,psi_sft,native_grpo,actual_previous_stage_same_sampler,official_il,1000,0.4998293027728796,0.47271160781383514,0.8289568364620209,0.485177059421502,0.5159290341842919,0.4827064950649785,0.5166618091640675
FULL1000,a5_sft,eval,official_IL_same_sampler,official_il,1000,0.4625920451879501,0.3721912056207657,0.8063115656375885,0.4355863379211165,0.4919688550825231,0.4337287748220331,0.4945199017323648
FULL1000,a5_sft,native_grpo,official_IL_same_sampler,official_il,1000,0.501060869127512,0.40514086186885834,0.8373193621635437,0.47479554962292314,0.530126997031644,0.4717223721710101,0.5325407696495071
FULL1000,v6_sft,eval,official_IL_same_sampler,official_il,1000,0.4137820802517235,0.3299752026796341,0.7966679394245149,0.39544379249177875,0.43236820106012747,0.3902972296037459,0.43761996744077564
FULL1000,v6_sft,native_grpo,official_IL_same_sampler,official_il,1000,0.4731585747152567,0.3830850124359131,0.8421893835067752,0.45549208750091497,0.49164366885721683,0.4510890198947235,0.4984550539311878
