scope,protocol,comparator,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,tie_fraction,log_count,fraction_PSI_displacement_larger
FULL1000,eval,a5_sft,1000,-0.02147691673785448,0.01191384345293045,-0.05304115904476493,0.007925103602930908,-0.05385596258101773,0.011486037813022702,0.0,512,0.516
FULL1000,eval,v6_sft,1000,0.027333048198372126,0.03860437870025635,0.0047696070400998,0.04988824059199542,-0.00047877365333933407,0.0537219550061308,0.0,512,0.563
FULL1000,eval,original_grpo_11970,1000,-0.05802660009264946,-0.07377052307128906,-0.07350981988832354,-0.042336637359019366,-0.07532967430088687,-0.04062278558392988,0.0,512,0.35
FULL1000,eval,a5_grpo_300,1000,-1.1636827767863869,-0.7608681544661522,-1.2431101133740508,-1.0859821319303475,-1.2678541308757674,-1.0706855697807003,0.0,512,0.123
FULL1000,eval,a5_grpo_4842,1000,-1.5115304151251912,-1.2427364438772202,-1.5907527393938043,-1.432816316773463,-1.6146153654102955,-1.4144612951648814,0.0,512,0.072
FULL1000,eval,v6_grpo_300,1000,-0.1175100377574563,-0.06415045261383057,-0.14400951534667983,-0.09202737144678831,-0.14841611258756848,-0.08845057034901394,0.0,512,0.421
FULL1000,eval,v6_grpo_3300,1000,-0.5809765310771763,-0.5550527423620224,-0.611764648033306,-0.5497309520142153,-0.6164229520986148,-0.544648957359473,0.0,512,0.128
FULL1000,native_grpo,a5_sft,1000,-0.0012315663546323776,0.03833751380443573,-0.03322778591718525,0.028786834896542136,-0.03435216534789372,0.029735025418957603,0.0,512,0.547
FULL1000,native_grpo,v6_sft,1000,0.02667072805762291,0.03848910331726074,0.0038117159165441993,0.04953642783705146,0.0014946320119645102,0.050736537599675564,0.0,512,0.566
FULL1000,native_grpo,original_grpo_11970,1000,0.0016395877301692962,-0.016033902764320374,-0.013491731402464211,0.017596098389662803,-0.014606515432550147,0.019009416809664087,0.0,512,0.467
FULL1000,native_grpo,a5_grpo_300,1000,-1.256940956711769,-0.8983896374702454,-1.3345434648945926,-1.180850466316752,-1.3566051010228037,-1.1602101749580471,0.0,512,0.096
FULL1000,native_grpo,a5_grpo_4842,1000,-1.5211454790532588,-1.2666766494512558,-1.595270588510111,-1.4463423377923668,-1.621006422604337,-1.4247456424574654,0.0,512,0.067
FULL1000,native_grpo,v6_grpo_300,1000,-0.15931568214297295,-0.10330359637737274,-0.18455129399150608,-0.1322304162682965,-0.18776504119391002,-0.13179441308678852,0.0,512,0.387
FULL1000,native_grpo,v6_grpo_3300,1000,-0.5426236571371555,-0.5178486406803131,-0.572534157003276,-0.512756893793866,-0.5775252640343664,-0.5085434765305916,0.0,512,0.125
COMMON_TRAIN835,eval,a5_sft,835,0.01887260070460999,0.028447508811950684,-0.015845682229400575,0.050047347797359726,-0.01573687480093151,0.05202525137870822,0.0,415,0.5437125748502994
COMMON_TRAIN835,eval,v6_sft,835,0.07521659441426129,0.05728229880332947,0.05272023828878642,0.09746322428818771,0.051516771077805404,0.09934862953664927,0.0,415,0.6023952095808384
COMMON_TRAIN835,eval,original_grpo_11970,835,-0.06266737631159629,-0.08116871118545532,-0.07903487330224522,-0.04471387430936276,-0.08168654280757007,-0.04317675148261279,0.0,415,0.33532934131736525
COMMON_TRAIN835,eval,a5_grpo_300,835,-1.0379159148670956,-0.6463601589202881,-1.1181908298580499,-0.9573659876642558,-1.1406240824010552,-0.9361067914929859,0.0,415,0.13652694610778443
COMMON_TRAIN835,eval,a5_grpo_4842,835,-1.391614842780693,-1.136224091053009,-1.4760583476445632,-1.3099212856307447,-1.4972992073924958,-1.2957529797988416,0.0,415,0.08023952095808383
COMMON_TRAIN835,eval,v6_grpo_300,835,-0.08352325531893862,-0.050590574741363525,-0.11062532988181728,-0.05815734964510995,-0.1114607570325573,-0.05554232270225555,0.0,415,0.429940119760479
COMMON_TRAIN835,eval,v6_grpo_3300,835,-0.5393119898875673,-0.5305290222167969,-0.5715924111500517,-0.5070183365159628,-0.5733784389975228,-0.5072712095130396,0.0,415,0.12934131736526946
COMMON_TRAIN835,native_grpo,a5_sft,835,0.03304281009885365,0.05189412832260132,-0.0010011993435596273,0.06386648107699293,-0.001038318625965035,0.06490937088447983,0.0,415,0.577245508982036
COMMON_TRAIN835,native_grpo,v6_sft,835,0.06838136174364719,0.050455719232559204,0.04703733829167967,0.09073162607759416,0.04460658815512191,0.09131543398357288,0.0,415,0.5952095808383233
COMMON_TRAIN835,native_grpo,original_grpo_11970,835,-0.0059125259964765906,-0.02689182758331299,-0.022589618981464537,0.01056368357964797,-0.02439849209343937,0.013548156108143323,0.0,415,0.4479041916167665
COMMON_TRAIN835,native_grpo,a5_grpo_300,835,-1.1421740400933933,-0.7673885524272919,-1.2251125262856126,-1.059405991578932,-1.2391803708758995,-1.04785028421608,0.0,415,0.09940119760479042
COMMON_TRAIN835,native_grpo,a5_grpo_4842,835,-1.4080746990477968,-1.1712923049926758,-1.487784920529334,-1.3283623372393099,-1.5113109079530358,-1.3107540676201976,0.0,415,0.07305389221556886
COMMON_TRAIN835,native_grpo,v6_grpo_300,835,-0.13089511753199343,-0.10160815715789795,-0.15698078367725282,-0.10488923117919953,-0.15646087651953755,-0.10368449990955826,0.0,415,0.38083832335329343
COMMON_TRAIN835,native_grpo,v6_grpo_3300,835,-0.5046097076938538,-0.49140578508377075,-0.5337939887897608,-0.4755406004101217,-0.5350782062496311,-0.4764092859012697,0.0,415,0.12574850299401197
