component,both_pass,IL_fail_GRPO_pass,IL_pass_GRPO_fail,both_fail
Comfort,0.6532125,0.0539359375,0.0375125,0.2553390625
DAC,0.8532765625,0.083065625,0.004884375,0.0587734375
DDC,0.9363328125,0.0060328125,0.0224953125,0.0351390625
NC,0.9399171875,0.0253203125,0.00876875,0.02599375
TTC,0.81529375,0.0574453125,0.0209421875,0.10631875
feasible,0.6543625,0.118196875,0.0379484375,0.1894921875
