grouping,G,metric,scenes,mean_difference,median_difference,ci_low,ci_high,log_ci_low,log_ci_high,scene_win_fraction,scene_tie_fraction,bootstrap_sign_tail,holm_primary_bootstrap_sign_tail
prefix,8,mean_PDMS,5000,9.952451605245258,5.343712688234028,9.54481639512751,10.359528742553454,9.448726081650843,10.446700042105459,0.7828,0.0444,0.0006664445184938354,
prefix,8,min_PDMS,5000,12.549838695494458,0.0,11.786343958640563,13.364122213402322,11.657955722402148,13.417125929344369,0.4468,0.4604,0.0006664445184938354,
prefix,8,max_PDMS,5000,1.8178345748041183,0.0,1.580733301165609,2.0555364667382254,1.5798590730273812,2.0610385689264303,0.4758,0.4342,0.0006664445184938354,
prefix,8,std_PDMS,5000,-5.371288382850831,-0.8311077129521816,-5.735299689695309,-5.0245521447758295,-5.754365435442335,-4.986973610155775,0.3436,0.047,0.0006664445184938354,
prefix,8,train_reward_mean,5000,10.231402266228597,5.290829943234478,9.83019451268281,10.633542424264698,9.727331794484536,10.734321027549138,0.7986,0.0442,0.0006664445184938354,
prefix,8,train_reward_std,5000,-5.757733162147292,-0.8941188894877907,-6.132400238426498,-5.403312307424086,-6.156786373127063,-5.352494768721355,0.3322,0.0468,0.0006664445184938354,
prefix,8,feasible_rate,5000,0.08215,0.0,0.076999375,0.08715,0.07562883537353347,0.08837787158725505,0.4236,0.4504,0.0006664445184938354,
prefix,8,all_safe_group,5000,0.0908,0.0,0.08,0.1016,0.07879491428469486,0.1028819646811391,0.1252,0.8404,0.0006664445184938354,
prefix,8,no_safe_group,5000,-0.0034,0.0,-0.0068,5.0000000000181904e-06,-0.006898141174669103,0.00021623262820400107,0.0066,0.9834,0.07264245251582806,
prefix,8,mixed_safety_group,5000,-0.0874,0.0,-0.098805,-0.0762,-0.09968144874350225,-0.0749734668074386,0.0442,0.8242,0.0006664445184938354,
prefix,8,hard_failure_rate,5000,-0.09125,0.0,-0.095875,-0.086475,-0.0971112532799477,-0.08534590853901246,0.0472,0.5744,0.0006664445184938354,
prefix,8,mean_pairwise_ADE,5000,0.0003109220131203957,0.002446410784079811,-0.00036693772358863596,0.0010105227170279962,-0.0005294765171274343,0.0011744020188400105,0.5488,0.0,0.3912029323558814,
prefix,8,median_pairwise_ADE,5000,-0.0006274540962672926,0.0009883305689916133,-0.0015571898146000955,0.00040076727939745234,-0.0016918714073562093,0.0005018160996599747,0.5128,0.0,0.22259246917694103,
prefix,8,pairwise_P90_ADE,5000,0.0012386286056978,0.003172124248316033,1.4245653094367733e-06,0.002524049757710457,-0.0001617783809630849,0.002665296413009079,0.5276,0.0,0.05064978340553149,
prefix,8,medoid_radius_P50,5000,-0.0005824433249508761,0.0003173934690251512,-0.0019120449729724811,0.0006517667190293486,-0.001912120173555898,0.000776969405111105,0.5042,0.0,0.37054315228257245,
prefix,8,medoid_radius_P90,5000,-0.0005022432164351592,0.0010376569921943801,-0.0021032794765851277,0.001104396204644412,-0.002096946567396066,0.0010941077365785852,0.5112,0.0,0.542485838053982,
prefix,8,covariance_effective_rank,5000,-0.005206763694491097,-0.0032272903501273653,-0.007106842733015452,-0.0033566157565184662,-0.007169865169555275,-0.0032757003417555985,0.4784,0.0,0.0006664445184938354,
prefix,8,safe_pairwise_ADE,4579,0.004338307519247438,0.0013844689794151321,0.0008038827588673146,0.008160512513008538,0.0006839300370668659,0.008136869877531656,0.5153963747543132,0.0,0.017994001999333556,
prefix,8,same_outcome_pair_ADE,5000,0.002221533485147712,0.0019141937880948756,-6.58721354317872e-05,0.004540382833146262,-4.352215167959923e-05,0.00453235833211376,0.5168,0.0,0.058647117627457515,
prefix,8,different_outcome_pair_ADE,3046,0.009706266405975062,0.005472683243522125,0.005945951765317303,0.013722451306709228,0.00607430397680967,0.01334542743650723,0.5387393302692055,0.0,0.0006664445184938354,
prefix,8,safety_pattern_count,5000,-0.2008,0.0,-0.2212,-0.1796,-0.22380591623284793,-0.17710988876218686,0.1046,0.6172,0.0006664445184938354,
prefix,8,safety_pattern_entropy,5000,-0.10549673041063974,0.0,-0.1135457813532128,-0.09706959263666527,-0.11444906204143991,-0.0958777814585903,0.169,0.4084,0.0006664445184938354,
prefix,8,effective_safety_patterns,5000,-0.19231872836175543,0.0,-0.20871334532651656,-0.17530374230146187,-0.21086019628982813,-0.17264548792942894,0.169,0.4084,0.0006664445184938354,
prefix,8,safety_pattern_disagreement,5000,-0.07501428571428571,0.0,-0.08055714285714284,-0.06940696428571427,-0.08103585787426365,-0.06859076229847073,0.168,0.4108,0.0006664445184938354,
prefix,8,component_tradeoff_pair_fraction,5000,-0.008592857142857142,0.0,-0.01252892857142857,-0.004506607142857142,-0.01310287107701615,-0.0038049359786237074,0.3,0.2942,0.0006664445184938354,
prefix,8,pareto_fraction,5000,0.043875,0.0,0.03955,0.048425,0.03946301607635434,0.04839396699012781,0.3606,0.4614,0.0006664445184938354,
prefix,8,dominated_sample_fraction,5000,-0.043875,0.0,-0.048425,-0.03955,-0.04839396699012781,-0.03946301607635434,0.178,0.4614,0.0006664445184938354,
