status	size_bytes	size_human	path	note
OK	78219104256	73GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_backfill_chunk_000000	
OK	78219108352	73GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_backfill_chunk_000001	
OK	78219091968	73GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_backfill_chunk_000002	
OK	78219096064	73GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_backfill_chunk_000003	
OK	78219108352	73GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_backfill_chunk_000004	
OK	40791359488	38GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_backfill_chunk_000005	
OK	78219096064	73GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_backfill_p1_chunk_000000	
OK	78219116544	73GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_backfill_p1_chunk_000001	
OK	78219100160	73GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_backfill_p1_chunk_000002	
OK	78219116544	73GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_backfill_p1_chunk_000003	
OK	78219137024	73GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_backfill_p1_chunk_000004	
OK	48467873792	46GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_backfill_p1_chunk_000005	
OK	78219112448	73GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_full_chunk_000000	
OK	78219137024	73GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_full_chunk_000001	
OK	78219083776	73GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_full_chunk_000002	
OK	78219104256	73GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_full_chunk_000003	
OK	78219112448	73GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_full_chunk_000004	
OK	78219112448	73GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_full_chunk_000005	
OK	78219100160	73GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_full_chunk_000006	
OK	5044043776	4.7GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_full_chunk_000007	
OK	78219096064	73GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_full_chunk_000013	
OK	78219096064	73GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_full_chunk_000014	
OK	78219096064	73GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_full_chunk_000015	
OK	78219091968	73GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_full_chunk_000016	
OK	78219096064	73GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_full_chunk_000017	
OK	78219112448	73GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_full_chunk_000018	
OK	74285363200	70GB	/mnt/project/VLA-AD/cache/last_vla_v2/decoupled_highcap_no_risk/train_full_highcap_chunks/train_full_chunk_000019	
