method,amplitude,original_PDMS,local_PDMS,PDMS_drop,feasible_rate,failure_rate,hard_failure_rate
gt_distance,0.05,98.16803508084517,97.80547844659053,0.3625566342546477,0.9751283212560388,0.024871678743961356,0.0036231884057971015
gt_distance,0.15,98.16803508084517,96.93011621982045,1.2379188610247294,0.9644097222222221,0.03559027777777778,0.0116243961352657
gt_distance,0.3,98.16803508084517,94.41861716968133,3.7494179111638517,0.9350845410628018,0.06491545893719808,0.035514794685990336
gt_distance,0.5,98.16803508084517,90.25993597304095,7.908099107804213,0.8822463768115942,0.11775362318840579,0.07250150966183576
pareto,0.05,98.17916410737085,97.82841146628228,0.3507526410885788,0.9683725845410628,0.0316274154589372,0.0029815821256038645
pareto,0.15,98.17916410737085,97.03844730128601,1.1407168060848452,0.9572765700483091,0.042723429951690824,0.009435386473429952
pareto,0.3,98.17916410737085,94.84062810162547,3.3385360057453886,0.9307065217391305,0.06929347826086958,0.029815821256038644
pareto,0.5,98.17916410737085,91.1179028723996,7.061261234971257,0.8826615338164252,0.1173384661835749,0.06314160628019323
pc_mts,0.05,98.47970549402606,97.856068954486,0.6236365395400603,0.9715428743961352,0.028457125603864736,0.004378019323671497
pc_mts,0.15,98.47970549402606,96.42061586917478,2.0590896248512762,0.95150211352657,0.04849788647342995,0.016115640096618356
pc_mts,0.3,98.47970549402606,93.41454858693037,5.065156907095705,0.9155721618357487,0.08442783816425121,0.04366696859903381
pc_mts,0.5,98.47970549402606,88.52815554045858,9.95154995356748,0.8562047101449275,0.14379528985507245,0.0869187801932367
score,0.05,98.49121561472103,98.07469946862297,0.416516146098077,0.9707503019323671,0.029249698067632855,0.0038496376811594205
score,0.15,98.49121561472103,97.16443988641954,1.3267757283015045,0.9589371980676329,0.04106280193236715,0.01154891304347826
score,0.3,98.49121561472103,94.46152524094865,4.029690373772388,0.9281778381642511,0.0718221618357488,0.03721316425120773
score,0.5,98.49121561472103,90.15079318704282,8.340422427678218,0.8733771135265701,0.12662288647342998,0.07438858695652174
