method,amplitude,original_PDMS,local_PDMS,PDMS_drop,feasible_rate,failure_rate,hard_failure_rate
gt_distance,0.05,95.85748700319647,95.56907895781791,0.2884080453785568,0.9721666666666666,0.027833333333333335,0.002583333333333333
gt_distance,0.15,95.85748700319647,94.7923032375222,1.0651837656742584,0.9626875,0.0373125,0.01
gt_distance,0.3,95.85748700319647,92.64131149644244,3.2161755067540105,0.93740625,0.06259375,0.03120833333333333
gt_distance,0.5,95.85748700319647,88.79943197451375,7.0580550286827135,0.8897083333333333,0.11029166666666668,0.06729166666666667
pareto,0.05,97.12297900100862,96.90374863178663,0.21923036922198688,0.9647604166666667,0.03523958333333334,0.0018020833333333333
pareto,0.15,97.12297900100862,96.37676004564672,0.7462189553619026,0.95803125,0.04196875,0.006604166666666667
pareto,0.3,97.12297900100862,94.92593619015791,2.1970428108507076,0.94084375,0.05915625000000001,0.02020833333333333
pareto,0.5,97.12297900100862,92.20694737811311,4.916031622895516,0.905875,0.09412500000000001,0.045020833333333336
pc_mts,0.05,94.29005773787861,93.90774810609925,0.38230963177937305,0.9555729166666667,0.04442708333333333,0.012677083333333334
pc_mts,0.15,94.29005773787861,92.65962437718235,1.6304333606962709,0.9401145833333334,0.05988541666666667,0.024520833333333332
pc_mts,0.3,94.29005773787861,90.22377768922861,4.066280048650005,0.9115729166666666,0.08842708333333334,0.04807291666666667
pc_mts,0.5,94.29005773787861,85.88673284322758,8.403324894651028,0.86028125,0.13971875,0.09023958333333333
score,0.05,97.39961750019889,97.0753127305716,0.32430476962729854,0.96428125,0.03571875,0.00271875
score,0.15,97.39961750019889,96.41617645680343,0.9834410433954748,0.95603125,0.04396875,0.008302083333333333
score,0.3,97.39961750019889,94.68865123054769,2.7109662696511956,0.9361770833333334,0.06382291666666667,0.024291666666666666
score,0.5,97.39961750019889,91.58324363635013,5.816373863848761,0.8959479166666666,0.10405208333333334,0.05178125
