Benchmark,Scenes,Inference,Runs,NC,DAC,TTC,C,EP,PDMS,DDC,TLC,LK,HC,EC,EPDMS
NAVSIM v1,12138,1 trajectory,1 archived inference seed,98.53,97.99,96.00,100.00,86.75,91.45,,,,,,
NAVSIM v2,12146,1 trajectory,1 export; seed not recorded,98.42,97.69,97.66,,89.45,,99.00,99.71,91.73,97.09,87.74,89.12
