Method,Positive,Zero,Recovery rate (%),Wilson 95% CI (%),Runs,Scenes
Scalar GRPO,367,291,55.8,"[52.0, 59.5]",1 archived comparison,658
AMPT recovery checkpoint,440,218,66.9,"[63.2, 70.4]",1 archived comparison,658
