partition,protocol,model,metric,n,mean,median,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,positive_fraction,negative_fraction,tie_fraction
A,eval,official_il,pairwise_ADE,1000,0.1446055865008384,0.1414417214691639,0.14269980711420066,0.14663282069573177,0.1426339791461006,0.14673320666941217,1.0,0.0,0.0
A,eval,official_il,center_shift_m,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A,eval,official_il,feasible_rate,1000,93.9875,100.0,92.618671875,95.303125,92.59118278512624,95.36308110518176,0.962,0.0,0.038
A,eval,official_il,mean_PDMS,1000,92.19134541563905,95.35159082366299,91.30334434927711,93.051698320709,91.30403480838564,93.02418998316772,0.99,0.0,0.01
A,eval,original_grpo_11970,pairwise_ADE,1000,0.17018548591621221,0.16680877283215523,0.16823553974097594,0.17212966041178443,0.16811966796212416,0.17214673950713646,1.0,0.0,0.0
A,eval,original_grpo_11970,center_shift_m,1000,0.49910549718886615,0.46664631366729736,0.4867269576827064,0.5118062392750755,0.48396180886037304,0.513466761567352,1.0,0.0,0.0
A,eval,original_grpo_11970,feasible_rate,1000,94.625,100.0,93.26234375,95.93140625000001,93.16104057782104,96.00015357494885,0.96,0.0,0.04
A,eval,original_grpo_11970,mean_PDMS,1000,95.06414482185762,98.34585215201058,94.36116508894666,95.69558257860997,94.22469924906291,95.75079220248816,0.992,0.0,0.008
A,eval,psi_sft,pairwise_ADE,1000,0.30649160701781514,0.2935139536857605,0.30265220339354126,0.3104496697716415,0.301891219183325,0.31098638962009456,1.0,0.0,0.0
A,eval,psi_sft,center_shift_m,1000,0.44229540311545135,0.404168039560318,0.4257579155554064,0.45804619730515406,0.42481666202853324,0.46135878022313564,1.0,0.0,0.0
A,eval,psi_sft,feasible_rate,1000,91.8375,100.0,90.29984375,93.20328125,90.32555468725761,93.20264409429463,0.969,0.0,0.031
A,eval,psi_sft,mean_PDMS,1000,92.55991188396513,96.83488582683128,91.65687724462983,93.4852993751156,91.54765793082652,93.51008019906565,0.993,0.0,0.007
A,native_grpo,official_il,pairwise_ADE,1000,1.995303087890148,1.9961009323596954,1.9908303100004792,1.9997427596956492,1.9908812293310914,1.9997721634982661,1.0,0.0,0.0
A,native_grpo,official_il,center_shift_m,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A,native_grpo,official_il,feasible_rate,1000,69.15,75.0,67.52179687499999,70.703203125,67.40839983728199,70.86125418079621,0.983,0.0,0.017
A,native_grpo,official_il,mean_PDMS,1000,69.34533887340262,74.21974007952974,68.13297154602228,70.55241618977082,68.00207798276651,70.61664028671717,0.998,0.0,0.002
A,native_grpo,original_grpo_11970,pairwise_ADE,1000,1.9954404391050338,1.9974690675735474,1.9906891859814526,1.9999417335867882,1.990772096358368,2.0001991592142887,1.0,0.0,0.0
A,native_grpo,original_grpo_11970,center_shift_m,1000,0.49856067841500046,0.46996818482875824,0.48656078801304103,0.5107015748307109,0.48467360506333085,0.5128451941247996,1.0,0.0,0.0
A,native_grpo,original_grpo_11970,feasible_rate,1000,77.009375,84.375,75.58109375,78.422109375,75.39438161126957,78.64151948714667,0.983,0.0,0.017
A,native_grpo,original_grpo_11970,mean_PDMS,1000,79.07165942517965,83.22836977538716,78.07907397907113,80.02077630150498,78.03368877270604,80.15010622224916,0.999,0.0,0.001
A,native_grpo,psi_sft,pairwise_ADE,1000,2.258410372555256,2.2599971294403076,2.252279193496704,2.2643938352942468,2.251510199681768,2.26488574930704,1.0,0.0,0.0
A,native_grpo,psi_sft,center_shift_m,1000,0.509642699431628,0.48090140521526337,0.4948869681710377,0.5243781155937352,0.49184337630356817,0.5272984497539177,1.0,0.0,0.0
A,native_grpo,psi_sft,feasible_rate,1000,62.23125,65.625,60.54671875,63.85,60.41842465927261,64.02168549686331,0.983,0.0,0.017
A,native_grpo,psi_sft,mean_PDMS,1000,65.79942795008621,69.79243170801561,64.56735583763714,67.02943999253975,64.38929854234429,67.14800227568635,0.998,0.0,0.002
