partition,protocol,model,reference,metric,unit,n,mean,median,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,positive_fraction,negative_fraction,tie_fraction
A,eval,original_grpo_11970,official_il,pairwise_ADE,m,1000,0.0255798994153738,0.02540377341210842,0.024510327354678882,0.02662829962815158,0.024448907380902943,0.026723570924384786,0.949,0.051,0.0
A,eval,original_grpo_11970,official_il,center_shift_m,m,1000,0.49910549718886615,0.46664631366729736,0.4864404743600637,0.5115098615059629,0.48506132662764595,0.5136371556947271,1.0,0.0,0.0
A,eval,original_grpo_11970,official_il,feasible_rate,percentage_points,1000,0.6375,0.0,-0.446875,1.7407031250000005,-0.5539793983601495,1.7840682903106708,0.07,0.028,0.902
A,eval,original_grpo_11970,official_il,mean_PDMS,PDMS_points,1000,2.872799406218557,0.5596515250363865,2.186160087827075,3.6003266078948144,2.176193668634025,3.556599673371777,0.581,0.116,0.303
A,eval,psi_sft,official_il,pairwise_ADE,m,1000,0.1618860205169767,0.15541262738406658,0.15872060946635902,0.1652017372345552,0.15815229502394626,0.16562203527575492,1.0,0.0,0.0
A,eval,psi_sft,official_il,center_shift_m,m,1000,0.44229540311545135,0.404168039560318,0.42726530830189585,0.4573675544688478,0.42363664246904403,0.4602960710557054,1.0,0.0,0.0
A,eval,psi_sft,official_il,feasible_rate,percentage_points,1000,-2.15,0.0,-3.20625,-1.146875,-3.1573147858099895,-1.1558520550395357,0.046,0.13,0.824
A,eval,psi_sft,official_il,mean_PDMS,PDMS_points,1000,0.3685664683260717,0.29149657320245126,-0.3668296471679926,1.0977244230325145,-0.36686914237681567,1.1068402436364473,0.534,0.199,0.267
A,eval,psi_sft,original_grpo_11970,pairwise_ADE,m,1000,0.13630612110160292,0.1284439153969288,0.1329774660037365,0.1394859552757349,0.1328408900621189,0.13992164828416823,1.0,0.0,0.0
A,eval,psi_sft,original_grpo_11970,center_shift_m,m,1000,-0.0568100940734148,-0.07325015962123871,-0.07205689240815118,-0.04157666013436392,-0.07453361001098528,-0.03866586871728921,0.358,0.642,0.0
A,eval,psi_sft,original_grpo_11970,feasible_rate,percentage_points,1000,-2.7875,0.0,-3.9563281249999998,-1.6030468749999995,-3.9901583007649974,-1.6006587382362267,0.029,0.138,0.833
A,eval,psi_sft,original_grpo_11970,mean_PDMS,PDMS_points,1000,-2.5042329378924855,0.0,-3.278737621651903,-1.6916693379907126,-3.2651139100360225,-1.7531689399771007,0.274,0.439,0.287
A,native_grpo,original_grpo_11970,official_il,pairwise_ADE,m,1000,0.00013735121488571168,0.0025914013385772705,-0.0010682936817407607,0.001267566521465779,-0.0011039999675516083,0.0013871519690031547,0.579,0.421,0.0
A,native_grpo,original_grpo_11970,official_il,center_shift_m,m,1000,0.49856067841500046,0.46996818482875824,0.4866360340157524,0.5101974705835804,0.4843673781435218,0.5132021709850791,1.0,0.0,0.0
A,native_grpo,original_grpo_11970,official_il,feasible_rate,percentage_points,1000,7.859375,3.125,6.899921875,8.800078125,6.762468609978885,8.91388748189634,0.582,0.193,0.225
A,native_grpo,original_grpo_11970,official_il,mean_PDMS,PDMS_points,1000,9.72632055177702,6.1109302163821475,8.94778638009448,10.522530755444903,8.892981648649007,10.578719478079517,0.863,0.131,0.006
A,native_grpo,psi_sft,official_il,pairwise_ADE,m,1000,0.26310728466510774,0.2594156861305237,0.258838586781919,0.26729438359588387,0.25836408285186685,0.26803642702588554,1.0,0.0,0.0
A,native_grpo,psi_sft,official_il,center_shift_m,m,1000,0.509642699431628,0.48090140521526337,0.4948036553468555,0.5245258284335025,0.4923563373975285,0.527570507365404,1.0,0.0,0.0
A,native_grpo,psi_sft,official_il,feasible_rate,percentage_points,1000,-6.91875,-6.25,-7.646875,-6.196875,-7.6506615838114795,-6.1986297725469965,0.186,0.65,0.164
A,native_grpo,psi_sft,official_il,mean_PDMS,PDMS_points,1000,-3.5459109233164052,-2.652335845443254,-4.121771853211079,-2.964098526838372,-4.140257086854337,-2.9355363178098486,0.33,0.663,0.007
A,native_grpo,psi_sft,original_grpo_11970,pairwise_ADE,m,1000,0.262969933450222,0.26087021827697754,0.25903099909573796,0.2668450989857316,0.25860810258453687,0.2675078976928394,1.0,0.0,0.0
A,native_grpo,psi_sft,original_grpo_11970,center_shift_m,m,1000,0.011082021016627551,-0.009705841541290283,-0.0037122429813258345,0.026455766760744157,-0.005125390751165991,0.028998165997697348,0.485,0.515,0.0
