stratification,stratum,model,protocol,scenes,pairwise_ADE,center_shift_m,feasible_rate,mean_PDMS
command,left,official_il,eval,251,0.147173261269927,0.0,89.90288844621513,92.80074532497311
command,left,official_il,native_grpo,251,1.9937167330329637,0.0,70.43700199203188,73.91896015130584
command,left,original_grpo_11970,eval,251,0.16656628177608865,0.5404652678871534,90.47559760956176,95.79611242394476
command,left,original_grpo_11970,native_grpo,251,1.991374622540645,0.5342960066173181,77.02315737051792,82.69204552595602
command,left,psi_sft,eval,251,0.3018369340445416,0.43630627839570024,86.97086653386454,92.39654356987784
command,left,psi_sft,native_grpo,251,2.2700404896441686,0.46829784355790494,65.24526892430279,70.97735262499405
command,right,official_il,eval,115,0.14105573243097116,0.0,89.45652173913044,88.7450704454006
command,right,official_il,native_grpo,115,1.9899329074051069,0.0,70.92391304347827,71.43148034558449
command,right,original_grpo_11970,eval,115,0.17393804153670436,0.6442810335884923,92.33695652173914,95.51008585585981
command,right,original_grpo_11970,native_grpo,115,1.9947267615276834,0.6365239409000977,76.3586956521739,81.77388795433862
command,right,psi_sft,eval,115,0.3030138475739438,0.4950925129911174,85.40760869565217,88.88026543692197
command,right,psi_sft,native_grpo,115,2.252837236031242,0.5301138401031494,63.22010869565218,69.78399920232762
command,straight,official_il,eval,634,0.14465345070353625,0.0,96.36977523659306,92.55209536334446
command,straight,official_il,native_grpo,634,1.9972856725898074,0.0,68.21766561514195,66.97221042194477
command,straight,original_grpo_11970,eval,634,0.17109918929430823,0.45645524832869555,96.65072949526814,94.68191202145357
command,straight,original_grpo_11970,native_grpo,634,1.996623057954319,0.45880309807295305,77.18355678233438,77.12577991728162
command,straight,psi_sft,eval,634,0.30978388567851733,0.4332280971274391,94.98472003154575,93.35758173601278
command,straight,psi_sft,native_grpo,634,2.255367744138188,0.5068193255961881,61.0681190851735,62.87995424065711
PSI_membership,False,official_il,eval,165,0.14416839854057986,0.0,89.18560606060606,87.49930567285128
PSI_membership,False,official_il,native_grpo,165,1.9995814130161749,0.0,67.05492424242424,66.8212399345134
PSI_membership,False,original_grpo_11970,eval,165,0.17378773548160537,0.5151867520177003,86.92234848484848,89.75685830849206
PSI_membership,False,original_grpo_11970,native_grpo,165,2.004122121948184,0.5137665311495463,70.57765151515152,73.7896824839644
PSI_membership,False,psi_sft,eval,165,0.32051595189806187,0.48064529218456964,86.38257575757575,87.13773825353297
PSI_membership,False,psi_sft,native_grpo,165,2.284175779241504,0.553624391375166,59.696969696969695,62.28523149001723
PSI_membership,True,official_il,eval,835,0.14501125723971217,0.0,94.89333832335329,93.10097389476556
PSI_membership,True,official_il,native_grpo,835,1.9947465480444675,0.0,69.48727544910179,69.70437851022545
PSI_membership,True,original_grpo_11970,eval,835,0.16959631276724046,0.4959711550417061,96.12275449101796,96.10411340423279
PSI_membership,True,original_grpo_11970,native_grpo,835,1.993302367011944,0.49511166156052117,78.32709580838323,80.09838011912134
PSI_membership,True,psi_sft,eval,835,0.3043419333810578,0.4333037787301098,92.9565868263473,93.68112930549043
PSI_membership,True,psi_sft,native_grpo,835,2.2537372350335834,0.48919913556404454,62.891092814371255,66.38239905373048
