scope,model,protocol,scenes,groups,mean_PDMS,max_PDMS,min_PDMS,std_PDMS,range_PDMS,P10_PDMS,CVaR25_PDMS,feasible_rate,safe_count,hard_failure_rate,zero_score_rate,all_safe_group,no_safe_group,best_safe_PDMS,pairwise_ADE,Spread_AUC,endpoint_spread,nonredundant_0p1m,HQ_mass,Hit16,D_HQ,zero_variance_group,train_reward_mean,train_reward_min,train_reward_max,vanilla_proxy_positive_infeasible_count,infeasible_count,vanilla_proxy_positive_count,best_is_unsafe,NC,DAC,EP,TTC,Comfort,DDC,center_shift_IL_eval,center_shift_own_eval,CRN_shift_own_eval,GT_center_distance,HQ_threshold,center_shift_SFT_parent,CRN_shift_SFT_parent,vanilla_proxy_PIA_rate
FULL1000,a5_grpo_300,eval,1000,4000,96.40391538203961,98.49923458601455,92.2770887770999,2.271432878900627,6.222145808914669,94.0066018722759,93.84651341964774,0.937078125,14.99325,0.010828125,0.009609375,0.875,0.03125,99.12564525459561,0.4747352197021246,0.43015068769454956,0.8258688579741865,7.84075,0.58259375,0.62475,0.5413082018653551,0.46275,96.1132481864089,92.00956650884692,98.2400958861382,0.2015,1.00675,5.32575,0.04325,99.70390625,99.271875,95.45027756281729,97.13125,99.8828125,98.0734375,1.6047978,0.0,0.0,1.6042792744691265,93.17669863814972,1.668959041416645,1.6710927176885306,0.20014899428855226
FULL1000,a5_grpo_300,native_grpo,1000,4000,95.78215050605928,98.90073075758869,87.1027958665551,4.021655044507012,11.79793489103362,92.1065397255615,91.27689346974181,0.924609375,14.79375,0.0153125,0.013828125,0.8025,0.02675,99.30435003418422,0.6786888293549418,0.5970548459887505,1.0863315725922584,13.645,0.575109375,0.63125,0.728842428615302,0.4105,95.60853233208367,87.14806475278365,98.65985518718406,0.276,1.20625,6.27425,0.04125,99.5390625,98.99375,95.23693830375842,96.2734375,99.8890625,97.91015625,1.7393489,0.17329203,0.2812404,1.754573310965569,93.17669863814972,1.758803582046181,1.762539928343147,0.2288082901554404
FULL1000,a5_grpo_4842,eval,1000,4000,98.22579975034284,99.0567206008613,96.46522895377473,0.9325791127811976,2.5914916470865874,97.24713720911589,97.18378531998515,0.96259375,15.4015,0.0064375,0.00553125,0.93675,0.024,99.28315874642561,0.3230410411406774,0.2808756393045187,0.4726310213394463,7.9,0.616921875,0.631,0.3490236237358815,0.61475,97.91215847107225,96.14944087591726,98.78007614239245,0.0675,0.5985,3.71125,0.02975,99.92421875,99.4640625,97.19581738566428,99.33125,100.0,98.1515625,1.9526455,0.0,0.0,1.9623827119060342,93.17669863814972,2.020070169115439,2.023104396812618,0.11278195488721804
FULL1000,a5_grpo_4842,native_grpo,1000,4000,97.73493784113184,99.19573409165055,92.88537956699668,2.1343780958455563,6.310354524653852,95.77177308603963,95.33362466628995,0.955796875,15.29275,0.009984375,0.00903125,0.886,0.02325,99.38277563413759,0.5097597999162972,0.43631489285081626,0.6988170245438814,13.72575,0.6121875,0.633,0.5374928926079525,0.53675,97.4404085698332,92.72935938870121,98.9469187176243,0.10675,0.70725,4.8495,0.03025,99.85546875,99.171875,96.77182377877547,98.9953125,99.9953125,98.103125,2.0074127,0.09628545,0.21335779,2.0215926116385186,93.17669863814972,2.015513783087954,2.0222105947155504,0.15093672675857192
FULL1000,a5_sft,clip_only,256,1024,95.22835072464132,97.09183772572916,93.1417330462175,1.1983206271272437,3.9501046795116554,94.4033209906077,94.14885694757243,0.97625732421875,15.6201171875,0.00250244140625,0.00244140625,0.943359375,0.015625,97.0847648898145,0.20864180653734365,0.2447801619564416,0.45889100115164183,3.4609375,0.23541259765625,0.431640625,0.5334096103695652,0.3896484375,93.45419906989804,91.43791540348354,95.89435914220587,0.0751953125,0.3798828125,3.6708984375,0.0234375,99.9847412109375,99.76806640625,89.19812555803472,99.6826171875,100.0,98.8525390625,0.4592929,0.06265291,0.08168472,0.20198916162694708,92.93519311787456,,,0.19794344473007713
FULL1000,a5_sft,eval,1000,4000,94.17319825242177,95.30818835752576,93.09610213711133,0.7526741699251479,2.2120862204144234,93.53314872702965,93.4738488746301,0.967515625,15.48025,0.007390625,0.006640625,0.95575,0.025,95.56371158270973,0.08584314150409773,0.0892036616075784,0.16532024090737105,1.96475,0.226046875,0.301,0.20109391368232288,0.368,92.15582032694839,91.05037948768658,93.52038356356579,0.0855,0.51975,4.54675,0.027,99.96171875,99.3359375,87.32917274298156,99.6703125,99.9359375,98.565625,0.46259204,0.0,0.0,0.2102003086353067,93.17669863814972,,,0.1645021645021645
FULL1000,a5_sft,floor_and_clip,256,1024,94.82746552038009,97.16598278081264,89.1774248821685,2.389038377501506,7.988557898644154,93.18095607816898,92.4216887502538,0.97186279296875,15.5498046875,0.0062255859375,0.00616455078125,0.8984375,0.013671875,97.15549327078494,0.3160759747042903,0.31624279331299476,0.5543033499270678,9.9267578125,0.234619140625,0.4501953125,0.6207041170448064,0.357421875,93.07601635046308,87.54161270129669,95.99903451408844,0.0751953125,0.4501953125,4.7373046875,0.0234375,99.9664306640625,99.4140625,88.8744178296864,99.554443359375,99.981689453125,98.8494873046875,0.4576833,0.06866494,0.17593487,0.20142589792890442,92.93519311787456,,,0.16702819956616052
FULL1000,a5_sft,floor_only,256,1024,94.99739607742343,96.09903089914648,92.69600248722845,1.1049978480997291,3.4030284119180285,94.12770502195843,93.82568105816655,0.9764404296875,15.623046875,0.0037841796875,0.0037841796875,0.94921875,0.015625,96.09653398589263,0.16957254918088438,0.15361700844368897,0.25176806654781103,5.4560546875,0.2156982421875,0.3076171875,0.2249937012525541,0.3876953125,93.15507272511248,90.83162667314605,94.49274950467739,0.0625,0.376953125,4.794921875,0.01953125,99.993896484375,99.627685546875,88.73349667956623,99.786376953125,99.993896484375,98.883056640625,0.47492033,0.010728679,0.0860488,0.2042498207079195,92.93519311787456,,,0.16580310880829016
FULL1000,a5_sft,native_grpo,1000,4000,93.9974906352981,96.9043948667318,89.08778354093376,2.4709769888643605,7.816611325798052,92.03123145886613,91.54736051597516,0.962625,15.402,0.010390625,0.009765625,0.90375,0.02025,96.9243797946846,0.3201997935157269,0.3211317261457443,0.5669375097453594,9.9155,0.24575,0.4635,0.6136168380370027,0.33625,92.08368163218559,87.19594955835255,95.65032216479787,0.11275,0.598,4.749,0.028,99.94453125,99.0375,87.50434180068842,99.4828125,99.934375,98.52109375,0.44885516,0.07245755,0.17883097,0.21000684345962453,93.17669863814972,,,0.18854515050167225
FULL1000,official_il,clip_only,256,1024,91.67843723205596,94.15761160277117,87.00127483436285,2.390168637599439,7.156336768408311,89.55640069633202,89.16518956353244,0.92822265625,14.8515625,0.02764892578125,0.02764892578125,0.8701171875,0.044921875,96.1226571849993,0.2076469383755466,0.17454712363542058,0.38304362673079595,7.294921875,0.08782958984375,0.3232421875,0.13789262671378397,0.3349609375,90.10127662080694,85.45745233968876,92.69401785097105,0.140625,1.1484375,5.7236328125,0.044921875,98.42529296875,98.651123046875,86.31609115380931,96.00830078125,100.0,98.2696533203125,0.015090169,0.015090169,0.056507997,0.4166872698610552,92.93519311787456,,,0.12244897959183673
FULL1000,official_il,eval,1000,4000,92.17669863814972,94.17751149856417,88.86524877226609,1.9445068494326425,5.312262726298098,90.16006278856867,90.05497608906668,0.939515625,15.03225,0.02121875,0.02121875,0.90225,0.04025,95.42932911736838,0.14487218555435538,0.12118399973213673,0.2679278821796179,4.53775,0.08275,0.28125,0.09584656667085331,0.328,90.28723263621136,86.95241003143447,92.43148682150236,0.173,0.96775,5.64475,0.04225,99.271875,98.4328125,85.75251423155932,97.6359375,100.0,98.253125,0.0,0.0,0.0,0.37981916636977636,93.17669863814972,,,0.1787651769568587
FULL1000,official_il,floor_and_clip,256,1024,69.81205534811922,96.45709886141681,23.956662967894836,26.564384409478112,72.50043589352197,38.297616051891175,37.51303554756831,0.69384765625,11.1015625,0.18011474609375,0.1751708984375,0.1767578125,0.0224609375,97.22886284193996,1.9965957938693464,1.598325829487294,1.6690312190912664,16.0,0.09765625,0.5185546875,1.8696394592103824,0.0068359375,70.40375529844772,26.89499852183171,95.43932520074982,0.83203125,4.8984375,9.6708984375,0.0556640625,95.477294921875,85.931396484375,71.97938494681489,84.4482421875,68.39599609375,96.4080810546875,0.17739895,0.17739895,1.3914218,0.48064489527970256,92.93519311787456,,,0.16985645933014354
FULL1000,official_il,floor_only,256,1024,77.98331493692447,96.33048346681588,37.86441185896268,21.171199635456524,58.46607160785321,53.46128049035949,52.155297127244765,0.77734375,12.4375,0.1231689453125,0.12054443359375,0.322265625,0.0244140625,97.30480035639793,1.4602598183555529,1.1536962953396142,1.2027228637598455,16.0,0.124267578125,0.5576171875,1.367308771411578,0.0146484375,77.77884868393014,41.362968702795975,95.26757592374008,0.505859375,3.5625,10.2568359375,0.0439453125,97.3358154296875,90.093994140625,77.37532506144893,89.263916015625,82.965087890625,97.5799560546875,0.124189824,0.124189824,1.0638901,0.44835242364542116,92.93519311787456,,,0.14199561403508773
FULL1000,official_il,native_grpo,1000,4000,69.22866064523298,96.71847800711926,21.9828025662562,27.2758538059418,74.73567544086306,36.483130134654694,35.78225153882503,0.690859375,11.05375,0.18165625,0.177546875,0.16675,0.02125,96.98368101305016,1.995544300764799,1.597042635679245,1.6758402483463288,16.0,0.106140625,0.552,1.828919814081713,0.0035,69.63908341091712,24.463148823976756,95.58757393710921,0.866,4.94625,9.718,0.04725,95.034375,86.1921875,70.74599110318097,83.4078125,69.35625,96.89609375,0.17659184,0.17659184,1.3909118,0.44831499048249995,93.17669863814972,,,0.1750821329289866
FULL1000,original_grpo_11970,eval,1000,4000,95.05681631343559,95.81506055090433,94.12360895126473,0.5279809855892313,1.6914515996396084,94.54871260370572,94.5047856708735,0.946046875,15.13675,0.008453125,0.008453125,0.93525,0.04125,96.67066387067882,0.17028789751511067,0.14250931847095488,0.2669012134745717,5.657,0.40921875,0.48325,0.16199530700505746,0.40625,93.64197597190905,92.55538910766784,94.48743842480611,0.1765,0.86325,4.996,0.04625,99.2328125,99.871875,90.2463591522454,98.25625,100.0,97.30546875,0.49914172,0.0,0.0,0.638511818881881,93.17669863814972,0.49914172854274513,0.5017840150743723,0.20445988995076744
FULL1000,original_grpo_11970,native_grpo,1000,4000,79.05744500932045,97.76261424366905,30.844208924487763,22.27929210688456,66.91840531918128,52.01083086475957,50.06793306874081,0.770484375,12.32775,0.093875,0.091359375,0.2115,0.0215,97.9566646979721,1.9950876265764237,1.5967101004123687,1.6725672088861465,16.0,0.213203125,0.60175,1.869808169157127,0.004,79.73505104257003,34.53798811946136,97.03340791446294,0.9255,3.67225,10.43925,0.06975,96.57421875,93.84375,81.4322258855639,87.2390625,71.04375,95.21171875,0.5234722,0.17781954,1.388283,0.6644553266768691,93.17669863814972,0.4981897150427103,0.5090448278486729,0.25202532507318404
