model,protocol,token,group,batch_size,positive_count,negative_count,zero_count,no_positive_group,rule_feasible_count,progress_pass_count,ttc_pass_count,pareto_count,infeasible_count,positive_infeasible_count,mean_positive_PDMS,positive_above_reference_count,ref_scalar,ref_EP,ref_TTC,mean_advantage,std_advantage,all_zero,positive_below_reference_count,positive_equal_reference_count,positive_gain1point_count,positive_advantage_mass,positive_below_reference_advantage_mass
a5_grpo_300,eval,e6a85ef20b3054c4,0,64,6,10,0,False,7,7,6,6,10,0,100.0,0,100.0,1.0,1.0,-0.30110281705856323,1.2536720037460327,False,0,6,0,7.182354927062988,0.0
a5_grpo_300,eval,d193c14478495b74,0,64,1,7,8,False,16,16,16,1,0,0,96.32207373703862,1,89.19463157653809,0.8163087368011475,1.0,-0.10841108858585358,0.21862852573394775,False,0,0,1,0.392061322927475,0.0
a5_grpo_300,eval,b450f88783c15dea,0,64,13,3,0,False,16,16,16,13,0,0,100.0,13,88.76091241836548,0.8089354634284973,1.0,7.450580596923828e-07,0.3355248272418976,False,0,0,13,1.9496310949325562,0.0
a5_grpo_300,eval,dabc9a6d5e755758,0,64,16,0,0,False,16,16,16,16,0,0,100.0,16,81.56447410583496,0.6865960359573364,1.0,1.8847769069907372e-06,0.0,False,0,0,16,3.0156430511851795e-05,0.0
a5_grpo_300,eval,8fe647ed2b7a5aee,0,64,16,0,0,False,16,16,16,16,0,0,100.0,16,99.39929842948914,0.9897881150245667,1.0,1.8847769069907372e-06,0.0,False,0,0,0,3.0156430511851795e-05,0.0
a5_grpo_300,eval,d91a4c7d1d9e5647,0,64,1,9,6,False,16,16,16,1,0,0,96.70318420698099,1,79.28884625434875,0.6479103565216064,1.0,-0.15701723098754883,0.33532044291496277,False,0,0,1,0.7748416066169739,0.0
a5_grpo_300,eval,12264b570ba358e9,0,64,4,5,7,False,16,16,16,4,0,0,100.0,4,87.08958029747009,0.780522882938385,1.0,-0.10698777437210083,0.5757712125778198,False,0,0,4,1.5976958274841309,0.0
a5_grpo_300,eval,411a748874035630,0,64,0,16,0,True,14,14,16,14,2,0,,0,100.0,1.0,1.0,-0.12500011920928955,0.33071887493133545,False,0,0,0,0.0,0.0
a5_grpo_300,eval,baef6630583c5f87,0,64,15,1,0,False,16,16,16,15,0,0,100.0,15,95.03027200698853,0.9155145883560181,1.0,-1.650303602218628e-06,0.3460424840450287,False,0,0,15,1.3401920795440674,0.0
a5_grpo_300,eval,40bdcf910bed5013,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-1.3681479060778656e-07,0.0,False,0,0,0,0.0,0.0
a5_grpo_300,eval,4bfb866afaf35777,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-1.3681479060778656e-07,0.0,False,0,0,0,0.0,0.0
a5_grpo_300,eval,430843d30f9258ed,0,64,1,3,12,False,16,16,13,1,3,0,100.0,1,89.45010304450989,0.8206517696380615,1.0,-0.39572954177856445,1.4056657552719116,False,0,0,1,2.6683270931243896,0.0
a5_grpo_300,eval,3ff6652d6dec55da,0,64,1,7,8,False,16,16,16,1,0,0,94.33168123274683,1,74.41691160202026,0.5650874972343445,1.0,-0.07829277217388153,0.2416285127401352,False,0,0,1,0.5580703616142273,0.0
a5_grpo_300,eval,3138ce4847ee5007,0,64,1,5,10,False,16,16,16,1,0,0,99.05689589523759,1,84.13075804710388,0.7302229404449463,1.0,-0.13079476356506348,0.282452255487442,False,0,0,1,0.34442248940467834,0.0
a5_grpo_300,eval,972eb434cfd159e8,0,64,1,8,7,False,16,16,16,1,0,0,94.54263234315495,1,77.77491807937622,0.6221736669540405,1.0,-0.14401966333389282,0.3176441490650177,False,0,0,1,0.6899327635765076,0.0
a5_grpo_300,eval,43df192ed9125ff3,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-1.3681479060778656e-07,0.0,False,0,0,0,0.0,0.0
a5_grpo_300,eval,86fbc624ea435e56,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-1.3681479060778656e-07,0.0,False,0,0,0,0.0,0.0
a5_grpo_300,eval,576835726a7c57d4,0,64,15,1,0,False,16,16,16,15,0,0,100.0,15,86.46090626716614,0.7698354721069336,1.0,1.2516975402832031e-06,0.20473060011863708,False,0,0,15,0.7929369807243347,0.0
a5_grpo_300,eval,392e034cb2a55053,0,64,0,16,0,True,13,13,13,13,3,0,,0,100.0,1.0,1.0,-0.18750010430812836,0.3903123438358307,False,0,0,0,0.0,0.0
a5_grpo_300,eval,14096d0f331a594a,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-1.3681479060778656e-07,0.0,False,0,0,0,0.0,0.0
a5_grpo_300,eval,9252ad8efde85a85,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-1.3681479060778656e-07,0.0,False,0,0,0,0.0,0.0
a5_grpo_300,eval,86208267d61253c0,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-1.3681479060778656e-07,0.0,False,0,0,0,0.0,0.0
a5_grpo_300,eval,7ff20da52e205bf0,0,64,13,3,0,False,16,16,16,13,0,0,100.0,13,86.33410930633545,0.7676798105239868,1.0,-2.60770320892334e-07,0.3298966586589813,False,0,0,13,2.0183815956115723,0.0
a5_grpo_300,eval,d68f1142da63586f,0,64,1,9,6,False,16,16,16,1,0,0,100.0,1,91.87091588973999,0.8618055582046509,1.0,-0.4488039016723633,0.817451536655426,False,0,0,1,1.7691797018051147,0.0
