run,tag,step,value,wall_time
psi_sr,train/occupied_support_bucket_count_epoch,5319,2.4560227394104004,1782629436.2480884
psi_sr,train/occupied_support_bucket_count_epoch,6649,2.4539430141448975,1782644603.0225992
psi_sr,train/occupied_support_bucket_count_epoch,7979,2.4498543739318848,1782659727.0256798
psi_sr,train/occupied_support_bucket_count_epoch,9309,2.4492199420928955,1782674844.2470307
psi_sr,train/occupied_support_bucket_count_epoch,10639,2.450676679611206,1782689925.3200164
psi_sr,train/occupied_support_bucket_count_epoch,11969,2.450794219970703,1782705065.2002244
psi_sr,train/occupied_support_bucket_count_epoch,13299,2.4517459869384766,1782720645.6097465
psi_sr,train/occupied_support_bucket_count_epoch,14629,2.4513933658599854,1782736643.4170568
psi_sr,train/occupied_support_bucket_count_epoch,15959,2.4513583183288574,1782753624.7257686
psi_sr,train/occupied_support_bucket_count_epoch,17289,2.4494900703430176,1782769639.1655538
psi_sr,train/occupied_support_bucket_count_epoch,18619,2.450770854949951,1782785690.4760714
psi_sr,train/occupied_support_bucket_count_epoch,19949,2.4498074054718018,1782801914.0038223
psi_sr,train/occupied_support_bucket_count_epoch,21279,2.4500069618225098,1782817959.1178086
psi_sr,train/occupied_support_bucket_count_epoch,22609,2.4514405727386475,1782834193.8285198
psi_sr,train/occupied_support_bucket_count_epoch,23939,2.4516754150390625,1782850183.450297
psi_sr,train/occupied_support_bucket_count_epoch,25269,2.4518985748291016,1782866467.9065084
psi_sr,train/occupied_support_bucket_count_epoch,26599,2.452897310256958,1782882487.761587
psi_sr,train/rankable_support_bucket_count_epoch,1329,1.5528128147125244,1782584072.5736606
psi_sr,train/rankable_support_bucket_count_epoch,2659,1.5699431896209717,1782599127.1483426
psi_sr,train/rankable_support_bucket_count_epoch,3989,1.58976411819458,1782614259.749887
psi_sr,train/rankable_support_bucket_count_epoch,5319,1.595662236213684,1782629436.249084
psi_sr,train/rankable_support_bucket_count_epoch,6649,1.5930538177490234,1782644603.0235872
psi_sr,train/rankable_support_bucket_count_epoch,7979,1.6085511445999146,1782659727.0267625
psi_sr,train/rankable_support_bucket_count_epoch,9309,1.616740345954895,1782674844.2480402
psi_sr,train/rankable_support_bucket_count_epoch,10639,1.6241775751113892,1782689925.3209364
psi_sr,train/rankable_support_bucket_count_epoch,11969,1.6373718976974487,1782705065.201318
psi_sr,train/rankable_support_bucket_count_epoch,13299,1.641589879989624,1782720645.610816
psi_sr,train/rankable_support_bucket_count_epoch,14629,1.64371657371521,1782736643.4181545
psi_sr,train/rankable_support_bucket_count_epoch,15959,1.6509774923324585,1782753624.7267017
psi_sr,train/rankable_support_bucket_count_epoch,17289,1.655771255493164,1782769639.1664484
psi_sr,train/rankable_support_bucket_count_epoch,18619,1.6620453596115112,1782785690.4769757
psi_sr,train/rankable_support_bucket_count_epoch,19949,1.6668390035629272,1782801914.0047712
psi_sr,train/rankable_support_bucket_count_epoch,21279,1.6729016304016113,1782817959.1187007
psi_sr,train/rankable_support_bucket_count_epoch,22609,1.6737593412399292,1782834193.8294802
psi_sr,train/rankable_support_bucket_count_epoch,23939,1.6753101348876953,1782850183.451228
psi_sr,train/rankable_support_bucket_count_epoch,25269,1.6785411834716797,1782866467.9074986
psi_sr,train/rankable_support_bucket_count_epoch,26599,1.6802096366882324,1782882487.7625473
psi_sr,train/reference_kl_coeff_epoch,1329,0.019998902454972267,1782584072.6075304
psi_sr,train/reference_kl_coeff_epoch,2659,0.019998902454972267,1782599127.1807644
psi_sr,train/reference_kl_coeff_epoch,3989,0.019998902454972267,1782614259.7826688
psi_sr,train/reference_kl_coeff_epoch,5319,0.019998902454972267,1782629436.283853
psi_sr,train/reference_kl_coeff_epoch,6649,0.019998902454972267,1782644603.0577688
psi_sr,train/reference_kl_coeff_epoch,7979,0.019998902454972267,1782659727.062091
psi_sr,train/reference_kl_coeff_epoch,9309,0.019998902454972267,1782674844.283436
psi_sr,train/reference_kl_coeff_epoch,10639,0.019998902454972267,1782689925.354793
psi_sr,train/reference_kl_coeff_epoch,11969,0.019998902454972267,1782705065.2372274
psi_sr,train/reference_kl_coeff_epoch,13299,0.019998902454972267,1782720645.6474643
psi_sr,train/reference_kl_coeff_epoch,14629,0.019998902454972267,1782736643.4554257
psi_sr,train/reference_kl_coeff_epoch,15959,0.019998902454972267,1782753624.7599163
psi_sr,train/reference_kl_coeff_epoch,17289,0.019998902454972267,1782769639.1982121
psi_sr,train/reference_kl_coeff_epoch,18619,0.019998902454972267,1782785690.5093987
psi_sr,train/reference_kl_coeff_epoch,19949,0.019998902454972267,1782801914.037695
psi_sr,train/reference_kl_coeff_epoch,21279,0.019998902454972267,1782817959.1488614
psi_sr,train/reference_kl_coeff_epoch,22609,0.019998902454972267,1782834193.9322217
psi_sr,train/reference_kl_coeff_epoch,23939,0.019998902454972267,1782850183.4824758
psi_sr,train/reference_kl_coeff_epoch,25269,0.019998902454972267,1782866467.941503
psi_sr,train/reference_kl_coeff_epoch,26599,0.019998902454972267,1782882487.7954268
psi_sr,train/reference_kl_loss_epoch,1329,0.010856281034648418,1782584072.606527
psi_sr,train/reference_kl_loss_epoch,2659,0.01177679281681776,1782599127.1797743
