model,scenes,teacher_rows,teachers_per_scene,reconstructed_GT_mass_pre_budget
a5_sft,835,8578,10.273053892215568,0.8833974871145875
official_il,835,835,1.0,1.0
psi_sft,835,1290,1.5449101796407185,0.2994011938928844
v6_sft,835,2092,2.5053892215568863,0.5395209557014311
