model,protocol,token,group,batch_size,positive_count,negative_count,zero_count,no_positive_group,rule_feasible_count,progress_pass_count,ttc_pass_count,pareto_count,infeasible_count,positive_infeasible_count,mean_positive_PDMS,positive_above_reference_count,ref_scalar,ref_EP,ref_TTC,mean_advantage,std_advantage,all_zero,positive_below_reference_count,positive_equal_reference_count,positive_gain1point_count,positive_advantage_mass,positive_below_reference_advantage_mass
v6_grpo_300,eval,e6a85ef20b3054c4,0,64,0,16,0,True,5,16,16,5,11,0,,0,100.0,1.0,1.0,-0.6946238875389099,0.4529460072517395,False,0,0,0,0.0,0.0
v6_grpo_300,eval,d193c14478495b74,0,64,1,11,4,False,16,16,16,1,0,0,97.34165411923406,1,92.40133762359619,0.8708227872848511,1.0,-0.47584566473960876,1.0403766632080078,False,0,0,1,3.0,0.0
v6_grpo_300,eval,b450f88783c15dea,0,64,1,9,6,False,16,16,16,1,0,0,98.61943964920523,1,89.25633430480957,0.8173576593399048,1.0,-0.34945589303970337,0.6582333445549011,False,0,0,1,1.391686201095581,0.0
v6_grpo_300,eval,dabc9a6d5e755758,0,64,1,13,2,False,16,16,16,1,0,0,88.86570244877974,1,81.56447410583496,0.6865960359573364,1.0,-0.08942283689975739,0.4287942349910736,False,0,0,1,1.5090858936309814,0.0
v6_grpo_300,eval,8fe647ed2b7a5aee,0,64,0,16,0,True,16,16,16,15,0,0,,0,99.39929842948914,0.9897881150245667,1.0,-0.02279459685087204,0.027547067031264305,False,0,0,0,0.0,0.0
v6_grpo_300,eval,d91a4c7d1d9e5647,0,64,1,9,6,False,16,16,16,1,0,0,97.88554178698404,1,79.28884625434875,0.6479103565216064,1.0,-0.5218972563743591,0.9497926831245422,False,0,0,1,1.7338907718658447,0.0
v6_grpo_300,eval,12264b570ba358e9,0,64,1,11,4,False,16,16,16,1,0,0,92.88633715690554,1,87.08958029747009,0.780522882938385,1.0,-0.08397869765758514,0.24759851396083832,False,0,0,1,0.7230865955352783,0.0
v6_grpo_300,eval,411a748874035630,0,64,0,16,0,True,11,11,16,11,5,0,,0,100.0,1.0,1.0,-0.328172504901886,0.4529460072517395,False,0,0,0,0.0,0.0
v6_grpo_300,eval,baef6630583c5f87,0,64,1,12,3,False,16,16,16,1,0,0,99.64915732603322,1,94.41443681716919,0.9050454497337341,1.0,-0.28975507616996765,0.744044840335846,False,0,0,1,2.297602891921997,0.0
v6_grpo_300,eval,40bdcf910bed5013,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-0.0227963849902153,0.0,False,0,0,0,0.0,0.0
v6_grpo_300,eval,4bfb866afaf35777,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-0.0227963849902153,0.0,False,0,0,0,0.0,0.0
v6_grpo_300,eval,430843d30f9258ed,0,64,1,10,5,False,16,16,16,1,0,0,94.19371112521891,1,89.45010304450989,0.8206517696380615,1.0,-0.21563969552516937,0.5751669406890869,False,0,0,1,1.678708791732788,0.0
v6_grpo_300,eval,3ff6652d6dec55da,0,64,1,8,7,False,16,16,16,1,0,0,97.89695017465142,1,75.24996995925903,0.5792495012283325,1.0,-0.23282401263713837,0.6209660172462463,False,0,0,1,1.6357553005218506,0.0
v6_grpo_300,eval,3138ce4847ee5007,0,64,1,11,4,False,16,16,16,1,0,0,89.16910658650777,1,83.79388451576233,0.724496066570282,1.0,-0.07793627679347992,0.17890948057174683,False,0,0,0,0.4941415786743164,0.0
v6_grpo_300,eval,972eb434cfd159e8,0,64,1,8,7,False,16,16,16,1,0,0,93.36747952667804,1,77.02184915542603,0.6093714237213135,1.0,-0.3817541003227234,0.7370842099189758,False,0,0,1,1.3981401920318604,0.0
v6_grpo_300,eval,43df192ed9125ff3,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-0.0227963849902153,0.0,False,0,0,0,0.0,0.0
v6_grpo_300,eval,86fbc624ea435e56,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-0.0227963849902153,0.0,False,0,0,0,0.0,0.0
v6_grpo_300,eval,576835726a7c57d4,0,64,1,7,8,False,16,16,16,1,0,0,98.14158345725544,1,87.87311911582947,0.7938430309295654,1.0,-0.2159184217453003,0.6444989442825317,False,0,0,1,1.7306029796600342,0.0
v6_grpo_300,eval,392e034cb2a55053,0,64,0,16,0,True,11,11,16,11,5,0,,0,100.0,1.0,1.0,-0.328172504901886,0.4529460072517395,False,0,0,0,0.0,0.0
v6_grpo_300,eval,14096d0f331a594a,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-0.0227963849902153,0.0,False,0,0,0,0.0,0.0
v6_grpo_300,eval,9252ad8efde85a85,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-0.0227963849902153,0.0,False,0,0,0,0.0,0.0
v6_grpo_300,eval,86208267d61253c0,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-0.0227963849902153,0.0,False,0,0,0,0.0,0.0
