comparison,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
official_il:native-minus-eval,mean_PDMS,1000,-22.948037992916746,-18.50064950361387,-24.104446042059134,-21.80537359531597,-24.100187665099327,-21.802858437813434,0.021,0.002,512.0
official_il:native-minus-eval,max_PDMS,1000,2.5409665085550777,0.9435126377213265,2.057108303352524,3.082429039761403,2.0286769517743117,3.1447708707650914,0.588,0.36,512.0
official_il:native-minus-eval,min_PDMS,1000,-66.88244620600989,-75.57880605565751,-68.80736011162085,-65.07478195021653,-68.81707729227514,-64.8456548913473,0.0,0.035,512.0
official_il:native-minus-eval,range_PDMS,1000,69.42341271456496,79.16666666666666,67.62047129263054,71.19143531545046,67.54704451675924,71.33713164112372,0.989,0.007,512.0
official_il:native-minus-eval,feasible_rate,1000,-0.24865625,-0.21875,-0.262891796875,-0.234528515625,-0.26284667721084615,-0.2338173555571432,0.039,0.096,512.0
official_il:native-minus-eval,pairwise_ADE,1000,1.8506721152104437,1.8514057081192732,1.847562134754425,1.8536140444177436,1.8475626639265699,1.8538713088505456,1.0,0.0,512.0
official_il:native-minus-eval,Hit16,1000,0.27075,0.0,0.2455,0.29675,0.24255185429615406,0.3001885161281007,0.409,0.544,512.0
official_il:native-minus-eval,safe_count,1000,-3.9785,-3.5,-4.201537500000001,-3.7525,-4.21875297053232,-3.7418075305344356,0.039,0.096,512.0
official_il:native-minus-eval,hard_failure_rate,1000,0.1604375,0.09375,0.14906132812499998,0.1722046875,0.14844495677459016,0.17333462185004242,0.741,0.242,512.0
official_il:native-minus-eval,center_shift_IL_eval,1000,0.17659184972196817,0.17363916337490082,0.17443039358835669,0.17875911474637687,0.1746862788377427,0.17853400464400204,1.0,0.0,512.0
a5_sft:native-minus-eval,mean_PDMS,1000,-0.17570761712365804,0.01509014919479057,-0.3835797728898806,0.023043032268869477,-0.3595214596571521,-0.0033918345231947374,0.52,0.305,512.0
a5_sft:native-minus-eval,max_PDMS,1000,1.59620650920605,0.5896654244443553,1.3669475369606037,1.8926573109583098,1.3629609527708269,1.906076581928673,0.613,0.384,512.0
a5_sft:native-minus-eval,min_PDMS,1000,-4.008318596177579,-0.2789296435146511,-4.876673202709222,-3.1834091321590923,-4.939703756648452,-3.1455471370560084,0.001,0.318,512.0
a5_sft:native-minus-eval,range_PDMS,1000,5.604525105383627,1.335602745515363,4.717335892006103,6.530284420045586,4.69158340247476,6.568705321717928,0.689,0.311,512.0
