token,model,native_vs_floor_and_clip_CRN_ADE,native_vs_floor_and_clip_max_abs
f8268857204e554e,official_il,5.3904307e-07,3.814697265625e-06
f8268857204e554e,a5_sft,3.260938e-07,3.814697265625e-06
f8268857204e554e,v6_sft,3.287245e-07,3.814697265625e-06
f8268857204e554e,psi_sft,9.672206e-07,7.62939453125e-06
38cfd81687975661,official_il,5.883283e-07,3.814697265625e-06
38cfd81687975661,a5_sft,3.1670416e-07,3.814697265625e-06
38cfd81687975661,v6_sft,3.6759758e-07,1.9073486328125e-06
38cfd81687975661,psi_sft,1.0532101e-06,6.198883056640625e-06
b34272d337d350d2,official_il,4.058038e-07,3.814697265625e-06
b34272d337d350d2,a5_sft,2.7881472e-07,2.384185791015625e-06
b34272d337d350d2,v6_sft,1.5578281e-07,1.9073486328125e-06
b34272d337d350d2,psi_sft,1.0535643e-06,7.62939453125e-06
d7fbd35a0f315447,official_il,4.6503564e-07,5.7220458984375e-06
d7fbd35a0f315447,a5_sft,1.3602659e-07,1.9073486328125e-06
d7fbd35a0f315447,v6_sft,1.7934374e-07,1.9073486328125e-06
d7fbd35a0f315447,psi_sft,8.4810654e-07,4.76837158203125e-06
951957b841e05cfa,official_il,4.2802142e-07,4.291534423828125e-06
951957b841e05cfa,a5_sft,1.7552229e-07,2.86102294921875e-06
951957b841e05cfa,v6_sft,1.8283937e-07,1.430511474609375e-06
951957b841e05cfa,psi_sft,8.4943906e-07,4.76837158203125e-06
467bbee636b65c84,official_il,4.1222543e-07,3.814697265625e-06
467bbee636b65c84,a5_sft,1.6396976e-07,9.5367431640625e-07
467bbee636b65c84,v6_sft,1.5135001e-07,1.430511474609375e-06
467bbee636b65c84,psi_sft,8.585592e-07,8.106231689453125e-06
8b800af555d35794,official_il,3.0896626e-07,5.7220458984375e-06
8b800af555d35794,a5_sft,1.6346492e-07,1.9073486328125e-06
8b800af555d35794,v6_sft,1.2663293e-07,1.9073486328125e-06
8b800af555d35794,psi_sft,6.462875e-07,3.814697265625e-06
2ab1b3941f7153cb,official_il,4.30974e-07,3.814697265625e-06
2ab1b3941f7153cb,a5_sft,2.3172888e-07,3.814697265625e-06
2ab1b3941f7153cb,v6_sft,2.4706924e-07,3.814697265625e-06
2ab1b3941f7153cb,psi_sft,8.798364e-07,5.7220458984375e-06
4bc510a669d8549f,official_il,4.415137e-07,3.814697265625e-06
4bc510a669d8549f,a5_sft,1.5626634e-07,1.9073486328125e-06
4bc510a669d8549f,v6_sft,1.2685598e-07,1.9073486328125e-06
4bc510a669d8549f,psi_sft,9.123507e-07,6.198883056640625e-06
cc94486698ff58d1,official_il,4.014149e-07,3.814697265625e-06
cc94486698ff58d1,a5_sft,2.140668e-07,1.9073486328125e-06
cc94486698ff58d1,v6_sft,1.5634353e-07,9.5367431640625e-07
cc94486698ff58d1,psi_sft,9.244883e-07,4.76837158203125e-06
969763763ce754a4,official_il,3.942142e-07,3.814697265625e-06
969763763ce754a4,a5_sft,1.1921843e-07,1.9073486328125e-06
969763763ce754a4,v6_sft,1.5778315e-07,2.86102294921875e-06
969763763ce754a4,psi_sft,7.959534e-07,3.814697265625e-06
adaf33e4ba555709,official_il,3.6784502e-07,3.814697265625e-06
adaf33e4ba555709,a5_sft,1.2795316e-07,9.5367431640625e-07
adaf33e4ba555709,v6_sft,1.5374742e-07,9.5367431640625e-07
adaf33e4ba555709,psi_sft,8.945376e-07,4.76837158203125e-06
1aa0acb229945e9b,official_il,4.364433e-07,3.814697265625e-06
1aa0acb229945e9b,a5_sft,2.1973202e-07,3.814697265625e-06
1aa0acb229945e9b,v6_sft,2.1251918e-07,3.814697265625e-06
1aa0acb229945e9b,psi_sft,9.571262e-07,5.7220458984375e-06
dc76a771066b5553,official_il,5.208496e-07,7.62939453125e-06
dc76a771066b5553,a5_sft,3.7892445e-07,7.62939453125e-06
dc76a771066b5553,v6_sft,2.2456608e-07,3.814697265625e-06
dc76a771066b5553,psi_sft,9.349524e-07,7.62939453125e-06
990bd9b32e5d5f60,official_il,3.969959e-07,4.0531158447265625e-06
990bd9b32e5d5f60,a5_sft,1.7714916e-07,1.9073486328125e-06
990bd9b32e5d5f60,v6_sft,7.200242e-08,1.9073486328125e-06
990bd9b32e5d5f60,psi_sft,9.0182084e-07,4.76837158203125e-06
66243e185353563a,official_il,3.7172174e-07,3.814697265625e-06
66243e185353563a,a5_sft,1.575095e-07,1.9073486328125e-06
66243e185353563a,v6_sft,1.7280239e-07,1.9073486328125e-06
66243e185353563a,psi_sft,9.761138e-07,5.9604644775390625e-06
d968f9c81b945be1,official_il,3.8919973e-07,3.814697265625e-06
d968f9c81b945be1,a5_sft,1.8433559e-07,1.9073486328125e-06
d968f9c81b945be1,v6_sft,1.5367866e-07,1.9073486328125e-06
d968f9c81b945be1,psi_sft,8.233551e-07,4.76837158203125e-06
095770e79ccf5d82,official_il,4.370728e-07,3.814697265625e-06
095770e79ccf5d82,a5_sft,2.5984363e-07,1.9073486328125e-06
095770e79ccf5d82,v6_sft,2.3303164e-07,2.86102294921875e-06
095770e79ccf5d82,psi_sft,9.375897e-07,6.67572021484375e-06
32516745ea1b59ef,official_il,5.194899e-07,3.814697265625e-06
32516745ea1b59ef,a5_sft,2.2751078e-07,1.9073486328125e-06
32516745ea1b59ef,v6_sft,2.2902158e-07,1.9073486328125e-06
32516745ea1b59ef,psi_sft,8.187654e-07,4.76837158203125e-06
b65e09c4d8125da0,official_il,4.795768e-07,4.76837158203125e-06
b65e09c4d8125da0,a5_sft,1.9160181e-07,1.9073486328125e-06
b65e09c4d8125da0,v6_sft,2.0017663e-07,1.9073486328125e-06
b65e09c4d8125da0,psi_sft,8.7989224e-07,5.7220458984375e-06
cbe1e93e188f5490,official_il,5.3315046e-07,3.814697265625e-06
cbe1e93e188f5490,a5_sft,1.8720121e-07,1.9073486328125e-06
cbe1e93e188f5490,v6_sft,1.9652336e-07,3.814697265625e-06
cbe1e93e188f5490,psi_sft,9.084278e-07,4.291534423828125e-06
a28a2771a9fa5c1d,official_il,4.7871083e-07,3.814697265625e-06
a28a2771a9fa5c1d,a5_sft,2.1611879e-07,1.9073486328125e-06
a28a2771a9fa5c1d,v6_sft,1.8115216e-07,9.5367431640625e-07
a28a2771a9fa5c1d,psi_sft,9.512427e-07,4.76837158203125e-06
29b53c57c19b57fe,official_il,3.5119848e-07,3.814697265625e-06
29b53c57c19b57fe,a5_sft,2.6295604e-07,1.9073486328125e-06
