model,token,source,raw_count
mts_8692,23e39302332152b2,ddv2,1
mts_8692,23e39302332152b2,driveor,1
mts_8692,23e39302332152b2,endpoint_lateral,4
mts_8692,23e39302332152b2,gt,1
mts_8692,23e39302332152b2,lateral_offset,8
mts_8692,23e39302332152b2,policy,8
mts_8692,23e39302332152b2,progress_endpoint,5
mts_8692,23e39302332152b2,progress_gamma,4
mts_8692,23e39302332152b2,progress_speed,5
mts_8692,23e39302332152b2,timing_delay,3
mts_8692,23e39302332152b2,timing_slow_first,3
mts_8751,23e39302332152b2,ddv2,1
mts_8751,23e39302332152b2,ddv2:failure_expand_0,3
mts_8751,23e39302332152b2,ddv2:failure_expand_3,2
mts_8751,23e39302332152b2,ddv2:trust_region_0,1
mts_8751,23e39302332152b2,driveor:failure_expand_0,4
mts_8751,23e39302332152b2,driveor:failure_expand_3,2
mts_8751,23e39302332152b2,gt,1
mts_8751,23e39302332152b2,progress_endpoint,5
mts_8751,23e39302332152b2,progress_speed,4
mts_8751,23e39302332152b2,timing_delay,2
mts_8692,411a748874035630,ddv2,1
mts_8692,411a748874035630,driveor,1
mts_8692,411a748874035630,endpoint_lateral,4
mts_8692,411a748874035630,gt,1
mts_8692,411a748874035630,lateral_offset,8
mts_8692,411a748874035630,policy,8
mts_8692,411a748874035630,progress_endpoint,5
mts_8692,411a748874035630,progress_gamma,4
mts_8692,411a748874035630,progress_speed,5
mts_8692,411a748874035630,timing_delay,3
mts_8692,411a748874035630,timing_slow_first,3
mts_8751,411a748874035630,ddv2,1
mts_8751,411a748874035630,ddv2:failure_expand_0,4
mts_8751,411a748874035630,ddv2:failure_expand_3,2
mts_8751,411a748874035630,ddv2:trust_region_0,1
mts_8751,411a748874035630,driveor:failure_expand_0,3
mts_8751,411a748874035630,driveor:failure_expand_3,1
mts_8751,411a748874035630,endpoint_lateral,3
mts_8751,411a748874035630,gt,1
mts_8751,411a748874035630,lateral_offset,3
mts_8751,411a748874035630,progress_endpoint,2
mts_8751,411a748874035630,progress_gamma,2
mts_8751,411a748874035630,progress_speed,1
mts_8692,79ebfc1d85bf5a51,ddv2,1
mts_8692,79ebfc1d85bf5a51,driveor,1
mts_8692,79ebfc1d85bf5a51,endpoint_lateral,4
mts_8692,79ebfc1d85bf5a51,gt,1
mts_8692,79ebfc1d85bf5a51,lateral_offset,8
mts_8692,79ebfc1d85bf5a51,policy,8
mts_8692,79ebfc1d85bf5a51,progress_endpoint,5
mts_8692,79ebfc1d85bf5a51,progress_gamma,4
mts_8692,79ebfc1d85bf5a51,progress_speed,5
mts_8692,79ebfc1d85bf5a51,timing_delay,3
mts_8692,79ebfc1d85bf5a51,timing_slow_first,3
mts_8751,79ebfc1d85bf5a51,ddv2,1
mts_8751,79ebfc1d85bf5a51,ddv2:failure_expand_0,5
mts_8751,79ebfc1d85bf5a51,ddv2:failure_expand_3,2
mts_8751,79ebfc1d85bf5a51,driveor,1
mts_8751,79ebfc1d85bf5a51,driveor:failure_expand_0,4
mts_8751,79ebfc1d85bf5a51,driveor:failure_expand_3,2
mts_8751,79ebfc1d85bf5a51,gt,1
mts_8751,79ebfc1d85bf5a51,progress_endpoint,5
mts_8751,79ebfc1d85bf5a51,progress_speed,2
mts_8751,79ebfc1d85bf5a51,timing_delay,3
mts_8751,79ebfc1d85bf5a51,timing_slow_first,2
mts_8692,40808270ce205b83,ddv2,1
mts_8692,40808270ce205b83,driveor,1
mts_8692,40808270ce205b83,endpoint_lateral,4
mts_8692,40808270ce205b83,gt,1
mts_8692,40808270ce205b83,lateral_offset,8
mts_8692,40808270ce205b83,policy,8
mts_8692,40808270ce205b83,progress_endpoint,5
mts_8692,40808270ce205b83,progress_gamma,4
mts_8692,40808270ce205b83,progress_speed,5
mts_8692,40808270ce205b83,timing_delay,3
