model,source_bucket,raw_count,raw_scene_count,selected_support_count,selected_scene_count,expected_loss_mass_pre_budget_per_scene,selected_PDMS_pooled,selected_feasible_pooled
mts_8692,external,1796,963,272,272,0.1062458612471819,97.4366773462446,0.9742647058823529
mts_8692,gt,1000,1000,1000,1000,0.5375000007152557,94.87825064740692,0.978
mts_8692,lateral,12000,1000,161,156,0.02857017546892166,94.37273882411789,0.9875776397515528
mts_8692,policy,8000,1000,0,0,0.0,,
mts_8692,progress,14000,1000,762,758,0.24844004134833814,96.59780985903636,0.979002624671916
mts_8692,timing,6000,1000,356,356,0.0792439277023077,94.40960105265847,0.9662921348314607
mts_8751,external,11239,963,6908,906,0.09539373988067487,98.71825898611512,0.9781412854661262
mts_8751,gt,1000,1000,995,995,0.8832786813446357,94.9348750458859,0.9778894472361809
mts_8751,lateral,2019,448,456,216,0.001988648135659229,99.72255682965027,0.9473684210526315
mts_8751,progress,6919,1000,1517,586,0.017303737667810615,96.74209557742753,0.981542518127884
mts_8751,timing,2129,827,373,288,0.0020351929712190283,97.36222284398177,0.9839142091152815
