model,epoch,optimizer_step,metric,value,wall_time
mts_8692,165,133961,train/dpsi_selected_has_improver_ratio_epoch,0.3263496160507202,1784058400.8729212
mts_8692,165,133961,train/dpsi_strong_improver_ratio_epoch,0.2256118804216385,1784058400.8783
mts_8692,165,133961,train/dpsi_scene_weight_mean_epoch,1.0,1784058400.8906603
mts_8692,165,133961,train/dpsi_scene_uniform_weighting_epoch,1.0,1784058400.922675
mts_8692,165,133961,train/dpsi_policy_reachability_mean_epoch,0.47684285044670105,1784058400.9708986
mts_8692,165,133961,train/dpsi_policy_reachability_max_epoch,0.8430507779121399,1784058400.972111
mts_8692,165,133961,train/dpsi_pareto_objective_novelty_mean_epoch,0.5393201112747192,1784058400.9733994
mts_8692,165,133961,train/dpsi_mode_balance_enabled_epoch,0.0,1784058400.9744666
mts_8692,165,133961,train/dpsi_frontier_v4_enabled_epoch,0.0,1784058401.0065138
mts_8692,165,133961,train/dpsi_learning_frontier_v5_enabled_epoch,0.0,1784058401.0220895
mts_8692,165,133961,train/dpsi_mode_effective_count_mean_epoch,2.1762301921844482,1784058401.0429046
mts_8692,165,133961,train/dpsi_mode_capacity_mean_epoch,0.5045246481895447,1784058401.0442631
mts_8692,165,133961,train/dpsi_mode_density_ess_mean_epoch,2.531515598297119,1784058401.0451324
mts_8692,165,133961,train/dpsi_mode_nearest_neighbor_distance_mean_epoch,0.5656683444976807,1784058401.0460992
mts_8692,165,133961,train/dpsi_mode_beta_mean_epoch,0.4680747091770172,1784058401.0469954
mts_8692,165,133961,train/dpsi_anchor_weight_mean_epoch,0.5319253206253052,1784058401.047913
mts_8692,165,133961,train/dpsi_pareto_weight_mean_epoch,0.4680747091770172,1784058401.048828
mts_8692,165,133961,train/dpsi_effective_target_count_mean_epoch,2.2895171642303467,1784058401.049681
mts_8692,165,133961,train/dpsi_row_weight_sum_mean_epoch,1.0,1784058401.050606
mts_8692,165,133961,train/dpsi_zero_row_ratio_epoch,0.0,1784058401.0514493
mts_8692,165,133961,train/dpsi_external_weight_ratio_epoch,0.10854316502809525,1784058401.0523734
mts_8692,165,133961,train/dpsi_gt_weight_ratio_epoch,0.5319253206253052,1784058401.054789
mts_8692,165,133961,train/dpsi_il_weight_ratio_epoch,0.0,1784058401.055999
mts_8692,165,133961,train/dpsi_sampled_target_count_mean_epoch,1.9361493587493896,1784058401.0569525
mts_8692,165,133961,train/dpsi_sampled_anchor_ratio_epoch,1.0,1784058401.0807533
mts_8692,165,133961,train/dpsi_sampled_best_ratio_epoch,0.8434280753135681,1784058401.0888264
mts_8692,165,133961,train/dpsi_sampled_unique_target_ratio_epoch,1.0,1784058401.0951152
mts_8692,165,133961,train/dpsi_sampled_gt_weight_ratio_epoch,0.5319253206253052,1784058401.100055
mts_8692,165,133961,train/dpsi_residual_budget_forced_gt_ratio_epoch,0.0,1784058401.1009927
mts_8692,165,133961,train/dpsi_unbiased_systematic_sampling_epoch,0.0,1784058401.101921
mts_8692,165,133961,train/awac_loss_epoch,0.025207150727510452,1784058401.104064
mts_8692,165,133961,train/reward_mean_epoch,0.9380759596824646,1784058401.1057603
mts_8692,165,133961,train/gt_reward_mean_epoch,0.9284936189651489,1784058401.106657
mts_8692,165,133961,train/il_reward_mean_epoch,0.9284936189651489,1784058401.1083543
mts_8692,165,133961,train/best_selected_reward_mean_epoch,0.9585819244384766,1784058401.1188898
mts_8692,165,133961,train/valid_candidate_ratio_epoch,1.0,1784058401.1235566
mts_8692,165,133961,train/selected_valid_ratio_epoch,1.0,1784058401.1246274
mts_8751,155,125891,train/loss_epoch,0.034318048506975174,1783752447.0377817
mts_8751,155,125891,train/total_loss_epoch,0.034318048506975174,1783752447.0378914
mts_8751,155,125891,train/diffusion_loss_epoch,0.03283103182911873,1783752447.0379035
mts_8751,155,125891,train/jepa_alignment_loss_epoch,0.0,1783752447.0379128
mts_8751,155,125891,train/vggt_alignment_loss_epoch,0.0,1783752447.0379207
mts_8751,155,125891,train/x0_aux_loss_epoch,0.0,1783752447.0379288
mts_8751,155,125891,train/delta_aux_loss_epoch,0.0,1783752447.0379362
mts_8751,155,125891,train/geo_aux_loss_epoch,0.0,1783752447.037944
mts_8751,155,125891,train/planning_token_norm_epoch,18.42656135559082,1783752447.0379515
mts_8751,155,125891,train/planning_token_pairwise_cosine_epoch,0.8296935558319092,1783752447.03796
mts_8751,155,125891,train/planning_condition_keep_ratio_epoch,0.8993880152702332,1783752447.0379677
mts_8751,155,125891,train/planning_context_gate_epoch,0.0759887620806694,1783752447.0381863
mts_8751,155,125891,train/planning_layer_gate_mean_epoch,0.04296875,1783752447.039265
mts_8751,155,125891,train/planning_delta_norm_epoch,9.14419937133789,1783752447.0401952
mts_8751,155,125891,train/planning_adapter_forward_count_epoch,1.0,1783752447.0410721
mts_8751,155,125891,train/trajectory_aux_loss_epoch,0.029731549322605133,1783752447.0419617
mts_8751,155,125891,train/feasibility_aux_loss_epoch,4.4465130486059934e-05,1783752447.0428367
mts_8751,155,125891,train/tangent_excess_loss_epoch,5.385834811022505e-06,1783752447.0437071
mts_8751,155,125891,train/curvature_excess_loss_epoch,3.907931022695266e-05,1783752447.044555
mts_8751,155,125891,train/aux_alpha_weight_mean_epoch,0.49226486682891846,1783752447.0454268
mts_8751,155,125891,train/aux_warmup_ramp_epoch,1.0,1783752447.046303
mts_8751,155,125891,train/selected_target_is_gt_ratio_epoch,0.8727977275848389,1783752447.0471644
mts_8751,155,125891,train/selected_target_source_code_epoch,1.6994993686676025,1783752447.0480297
mts_8751,155,125891,train/residual_alpha_epoch,0.0,1783752447.0489953
mts_8751,155,125891,train/full_x0_reconstruction_l1_epoch,0.21462006866931915,1783752447.0499332
mts_8751,155,125891,train/fs_target_abs_gt3_ratio_epoch,0.011708461679518223,1783752447.0509388
mts_8751,155,125891,train/fs_target_abs_gt5_ratio_epoch,0.0001166883303085342,1783752447.0519142
mts_8751,155,125891,train/fs_output_bound_hit_ratio_epoch,0.011658899486064911,1783752447.0528967
mts_8751,155,125891,train/early_kink_rate_epoch,0.0,1783752447.0539165
mts_8751,155,125891,train/tail_reverse_rate_epoch,0.0,1783752447.0549161
mts_8751,155,125891,train/curvature_violation_rate_epoch,0.0,1783752447.0558763
