contrast,metric,n,mean,median,ci_low,ci_high,win_fraction,tie_fraction,log_count,log_ci_low,log_ci_high
official_il__mts_8692,PDMS,1000,1.5592121420600047,0.0,0.6170794654904187,2.5248538436844914,0.323,0.285,512,0.6742094359593757,2.5189057919036624
official_il__mts_8692,feasible,1000,0.028265625,0.0,0.016233203124999998,0.0408125,0.085,0.895,512,0.01756893961072332,0.039097181221415596
official_il__mts_8692,hard_failure,1000,-0.013,0.0,-0.0225625,-0.003905468749999997,0.011,0.942,512,-0.022690664156683336,-0.0035935965823262837
official_il__mts_8692,EP,1000,0.007252341409440114,0.0,-0.0015628337555117443,0.01603664740838436,0.299,0.301,512,-0.0020273324396608648,0.01631790300560441
official_il__mts_8692,NC,1000,0.007453125,0.0,0.003030859375,0.013016796875000004,0.011,0.988,512,0.0029061978158276863,0.01313440523739874
official_il__mts_8692,DAC,1000,0.007375,0.0,-0.001109375,0.01576640625,0.039,0.95,512,-0.0010493928874281866,0.015738144478559854
official_il__mts_8692,TTC,1000,0.020390625,0.0,0.0123734375,0.02965625,0.049,0.942,512,0.012795155793573515,0.028634999973504188
official_il__mts_8692,DDC,1000,0.0033984375,0.0,0.0005935546875,0.0069220703125000005,0.009,0.986,512,0.0005942028987767725,0.006917262094938187
official_il__mts_8692,Comfort,1000,-0.000390625,0.0,-0.001171875,0.0,0.0,0.999,512,-0.001210677330636261,0.0
official_il__mts_8692,pairwise_ADE,1000,-0.06073501074879452,-0.07640223349936243,-0.06577045388796361,-0.055211151232060524,0.08,0.0,512,-0.06608025323583626,-0.0549129539971744
official_il__mts_8692,Spread_AUC,1000,-0.03218341657936878,-0.061620287134135435,-0.03796743819727438,-0.02577739700626092,0.173,0.0,512,-0.03802778717572268,-0.025842466673844953
official_il__mts_8692,HQ_mass,1000,0.10478125,0.0,0.08460859375,0.12573476562500002,0.22,0.602,512,0.08393658573273544,0.1253252241402003
official_il__mts_8692,Hit8,1000,-0.0095,0.0,-0.032,0.011503125000000012,0.162,0.666,512,-0.03331793165276825,0.014105065993788822
official_il__mts_8692,D_high_quality,184,0.001093572891405749,-0.021033419669979833,-0.012875503961641287,0.01630015836051554,0.3695652173913043,0.0,160,-0.012310891335463304,0.016445915193063952
official_il__mts_8692,D_positive_legacy,364,-0.02649460261946823,-0.04930313342976844,-0.035651655462415145,-0.01697825033928428,0.1813186813186813,0.0,266,-0.03574203912817213,-0.0162213723428553
official_il__mts_8692,oracle_gap,1000,-1.1676128428591335,-0.17178709273279935,-1.8486812345906014,-0.5071923779144809,0.163,0.289,512,-1.795529830285622,-0.5616788423861627
official_il__mts_8692,CVaR20,1000,3.465614077951993,0.0,2.2905392615445197,4.622850446515289,0.389,0.286,512,2.376540672167057,4.579549472318596
official_il__mts_8692,mean_GT_distance,1000,-0.21308257320805687,-0.13714231406317673,-0.23101595409079814,-0.1947601952627075,0.151,0.0,512,-0.23624003505752203,-0.1900835508751724
official_il__mts_8692,lateral_spread,1000,-0.013882704850452687,-0.013060512808523777,-0.01524621570907606,-0.012397014672042963,0.119,0.0,512,-0.015294888720089973,-0.012430277216112291
official_il__mts_8692,longitudinal_spread,1000,-0.028634489929017612,-0.05739079441817087,-0.03443921761674952,-0.022038145616120972,0.174,0.0,512,-0.03476337454067351,-0.021799818403135537
official_il__mts_8751,PDMS,1000,2.0281958496587644,0.0,1.2247731538746156,2.906776752727356,0.376,0.291,512,1.1675352262872565,2.9361871113188096
official_il__mts_8751,feasible,1000,0.02828125,0.0,0.017592578124999998,0.039516015625,0.084,0.897,512,0.016985211088378895,0.04013262984291412
official_il__mts_8751,hard_failure,1000,-0.01434375,0.0,-0.022922265625,-0.006202343749999998,0.012,0.943,512,-0.02330436952628823,-0.006068209454393297
official_il__mts_8751,EP,1000,0.016130462473671343,0.0,0.00800503588791076,0.02462962812319296,0.349,0.306,512,0.007464181781476988,0.024642155268057325
official_il__mts_8751,NC,1000,0.007140625,0.0,0.002640625,0.012516015625000002,0.011,0.988,512,0.0026976099292891492,0.01259691101877222
official_il__mts_8751,DAC,1000,0.009359375,0.0,0.0022332031250000004,0.016437890625000003,0.037,0.952,512,0.002469139347591272,0.016273375746623242
official_il__mts_8751,TTC,1000,0.020390625,0.0,0.012109375,0.029234765625000003,0.05,0.942,512,0.011822743281336876,0.02943701208030752
official_il__mts_8751,DDC,1000,0.0031953125,0.0,-0.00011738281249999993,0.007094335937500002,0.009,0.988,512,0.00012697532871553522,0.006953345514112904
official_il__mts_8751,Comfort,1000,-0.00075,0.0,-0.002234375,0.0,0.0,0.998,512,-0.002296902153799118,0.0
official_il__mts_8751,pairwise_ADE,1000,-0.06131278145156258,-0.08104004714087047,-0.06687025435465602,-0.055719378021496624,0.089,0.0,512,-0.06697375844661906,-0.05516186965398739
official_il__mts_8751,Spread_AUC,1000,-0.022713127423399655,-0.06609189274623507,-0.03138381639728642,-0.013248457984345487,0.158,0.0,512,-0.03267247782057242,-0.011485447413080522
official_il__mts_8751,HQ_mass,1000,0.13978125,0.0,0.11859296875,0.162016015625,0.308,0.534,512,0.11752295425257732,0.16217181304290804
official_il__mts_8751,Hit8,1000,0.042375,0.0,0.020371875,0.067,0.246,0.599,512,0.017309287031838958,0.0676347276073413
official_il__mts_8751,D_high_quality,200,0.08719265554406204,-0.0187228230378461,0.0446031655981075,0.13435430788348746,0.375,0.0,161,0.04650537792956276,0.13607665714281914
official_il__mts_8751,D_positive_legacy,440,0.07596142431604756,-0.047139241346521414,0.033000438798599395,0.12397259733897793,0.2431818181818182,0.0,301,0.026923337797455055,0.13488239639629587
official_il__mts_8751,oracle_gap,1000,-0.7456803482163952,0.0,-1.420734410883946,-0.13831413983262322,0.218,0.295,512,-1.429723611801649,-0.08038806350066784
official_il__mts_8751,CVaR20,1000,3.6976432458040662,0.0,2.602184804374006,4.8721329995621545,0.457,0.295,512,2.619927745736363,4.880883906243655
official_il__mts_8751,mean_GT_distance,1000,-0.167269775491471,-0.12549666516172575,-0.19624719350574668,-0.1354520518959628,0.222,0.0,512,-0.1995213782651997,-0.1344598746944727
official_il__mts_8751,lateral_spread,1000,-0.013415652081170638,-0.012252099240852974,-0.014706311002361016,-0.011953853117519245,0.161,0.0,512,-0.014806729299980354,-0.011931580847494225
official_il__mts_8751,longitudinal_spread,1000,-0.01937213333859696,-0.06187376672778905,-0.027835004970624622,-0.00986162765931304,0.158,0.0,512,-0.02926753533152374,-0.008424865880706804
official_il__grpo_9041,PDMS,1000,2.903423195841512,0.5347181637107639,2.218185008070933,3.67104958163457,0.581,0.298,512,2.1978649952519174,3.6357089342505144
official_il__grpo_9041,feasible,1000,0.007,0.0,-0.0038136718749999994,0.017892578125000006,0.078,0.895,512,-0.004341405708593208,0.018063705580026398
official_il__grpo_9041,hard_failure,1000,-0.013109375,0.0,-0.020563671875,-0.0060605468749999935,0.003,0.954,512,-0.020181234568972622,-0.006096622242647058
official_il__grpo_9041,EP,1000,0.045282156700196294,0.008258660271219354,0.03731330614044056,0.05320777958673726,0.56,0.316,512,0.03723528333119673,0.05373212382205437
official_il__grpo_9041,NC,1000,-0.00021875,0.0,-0.00481328125,0.0039375,0.006,0.99,512,-0.00576919934688759,0.004313056928639052
official_il__grpo_9041,DAC,1000,0.01465625,0.0,0.008875,0.020705078125000005,0.039,0.961,512,0.008763501086348704,0.021324212377416732
official_il__grpo_9041,TTC,1000,0.006140625,0.0,-0.001500390625,0.013594140625,0.044,0.944,512,-0.0017524776715280243,0.014093821645987473
official_il__grpo_9041,DDC,1000,-0.009046875,0.0,-0.014875390624999998,-0.0040310546875,0.003,0.976,512,-0.015982937564968814,-0.0036564127160524664
official_il__grpo_9041,Comfort,1000,0.0,0.0,0.0,0.0,0.0,1.0,512,0.0,0.0
official_il__grpo_9041,pairwise_ADE,1000,0.025688690698765212,0.025607256054850397,0.024666046500695555,0.02671237612034536,0.951,0.0,512,0.0246014269409848,0.02683745897361314
