contrast,metric,n,mean,median,ci_low,ci_high,win_fraction,tie_fraction,log_count,log_ci_low,log_ci_high
official_il__grpo_9041,Spread_AUC,1000,0.021749696414112923,0.021933523581114688,0.020886700855605785,0.022637630958385866,0.95,0.0,512,0.02077470087955561,0.022738602021954407
official_il__grpo_9041,HQ_mass,1000,0.324828125,0.0,0.2992328125,0.35225078125000003,0.492,0.426,512,0.2943092272306966,0.3561823083707149
official_il__grpo_9041,Hit8,1000,0.241125,0.0,0.212,0.271753125,0.419,0.501,512,0.20634447833087713,0.27671743697478995
official_il__grpo_9041,D_high_quality,239,0.07546037833179144,0.07867847658634025,0.07028134237150682,0.08063779040773002,0.9748953974895398,0.0,184,0.07009876389993681,0.08047387585334931
official_il__grpo_9041,D_positive_legacy,555,0.052213722810333645,0.05494869966605315,0.050169476918103306,0.05427579764724144,0.9603603603603603,0.0,348,0.05014718258732331,0.05429506127217719
official_il__grpo_9041,oracle_gap,1000,-1.6324812813683902,0.0,-2.234163344876259,-1.1050254248751468,0.251,0.301,512,-2.2235983540596544,-1.0921907077461452
official_il__grpo_9041,CVaR20,1000,4.69563105187235,0.6863665108913111,3.695289408514191,5.737220243759393,0.588,0.299,512,3.7479441348282543,5.694231489546429
official_il__grpo_9041,mean_GT_distance,1000,0.25647351117333317,0.24109295931311236,0.24170235195002007,0.2706935676022811,0.878,0.0,512,0.23957208968269217,0.27355888918641547
official_il__grpo_9041,lateral_spread,1000,0.005412773915121091,0.0055022619000810605,0.004914765775827982,0.0059087126238934785,0.742,0.0,512,0.004953230717109277,0.00589185997880079
official_il__grpo_9041,longitudinal_spread,1000,0.021413093393714427,0.021643248551858577,0.020530818506895566,0.02228479401811691,0.947,0.0,512,0.020451988216507927,0.02233786917388977
official_il__apr_9145,PDMS,1000,3.200600720185583,0.5520261389887366,2.4319071500379117,3.98346630728431,0.563,0.296,512,2.3979771847364484,4.004377921484261
official_il__apr_9145,feasible,1000,0.0174375,0.0,0.00745234375,0.02784375,0.077,0.902,512,0.007372967762099967,0.02757006689745509
official_il__apr_9145,hard_failure,1000,-0.013734375,0.0,-0.0217671875,-0.006108593749999998,0.008,0.949,512,-0.021814239820750238,-0.005298955805942134
official_il__apr_9145,EP,1000,0.05150816728445398,0.007773438905980978,0.04228558343560539,0.06132686832432044,0.544,0.312,512,0.04219297916788523,0.06155264797125344
official_il__apr_9145,NC,1000,0.00171875,0.0,-0.0032828124999999993,0.006671875,0.008,0.987,512,-0.0037813868884917293,0.007279376582023254
official_il__apr_9145,DAC,1000,0.013375,0.0,0.0073121093750000005,0.020250390625000003,0.038,0.959,512,0.007513682451211344,0.019932255185952014
official_il__apr_9145,TTC,1000,0.008078125,0.0,0.0009980468750000007,0.01582890625,0.042,0.945,512,0.00013848295296758187,0.015894802652494457
official_il__apr_9145,DDC,1000,-0.0011484375,0.0,-0.005492382812499999,0.002719335937500002,0.007,0.984,512,-0.005465942763885276,0.002837579851484627
official_il__apr_9145,Comfort,1000,0.0,0.0,0.0,0.0,0.0,1.0,512,0.0,0.0
official_il__apr_9145,pairwise_ADE,1000,0.03828305223989228,0.032560640090496626,0.03582055117972707,0.04060139620828494,0.875,0.0,512,0.03538694390192568,0.041251462128341396
official_il__apr_9145,Spread_AUC,1000,0.030487333401840053,0.02491075360511639,0.028400650950735084,0.03258409243074147,0.841,0.0,512,0.027936428218652512,0.03311768113673263
official_il__apr_9145,HQ_mass,1000,0.362890625,0.0,0.33440507812500003,0.39164882812500007,0.491,0.407,512,0.33047762368014777,0.3967707636910645
official_il__apr_9145,Hit8,1000,0.257,0.0,0.22511875,0.28875,0.418,0.485,512,0.2209714643332874,0.29719747892924975
official_il__apr_9145,D_high_quality,225,0.07389045464030151,0.07280351437888409,0.0682661253163457,0.07935604016703757,0.9688888888888889,0.0,174,0.06831701632757829,0.07944980941202344
official_il__apr_9145,D_positive_legacy,533,0.07476496534337848,0.07123225214465889,0.07097074625308648,0.07859188946478926,0.9681050656660413,0.0,335,0.07057086667398506,0.07887363502063835
official_il__apr_9145,oracle_gap,1000,-1.6248042438235695,0.0,-2.2442247944388676,-1.0313173868986285,0.262,0.299,512,-2.1999576247258026,-1.0759390571031766
official_il__apr_9145,CVaR20,1000,4.850931742001357,0.7881831656488956,3.7671134449900427,5.952326051390725,0.571,0.297,512,3.7860603706124407,5.923318738732052
official_il__apr_9145,mean_GT_distance,1000,0.5383688036576639,0.4635850702431824,0.5105016638965134,0.5667749760760963,0.928,0.0,512,0.5056559842726374,0.5704568974540851
official_il__apr_9145,lateral_spread,1000,0.016256075827801766,0.016318291631496912,0.015547081545531027,0.016921977953154643,0.932,0.0,512,0.015552291663045262,0.016968819457916003
official_il__apr_9145,longitudinal_spread,1000,0.027637708322337425,0.02165375942953207,0.025446345244266123,0.029799918419526752,0.806,0.0,512,0.02498041077597505,0.030337218541744614
grpo_9041__apr_9145,PDMS,1000,0.2971775243440707,0.0,-0.02543941594558229,0.6178184680219779,0.392,0.379,512,-0.042320836519518276,0.6135014630769289
grpo_9041__apr_9145,feasible,1000,0.0104375,0.0,0.00265625,0.018812890625000002,0.03,0.954,512,0.002799427502030879,0.01858167571907382
grpo_9041__apr_9145,hard_failure,1000,-0.000625,0.0,-0.004375390625,0.002921875,0.006,0.989,512,-0.004223324552549696,0.0027093788350280516
grpo_9041__apr_9145,EP,1000,0.006226010584257695,0.0,0.0023912717209803604,0.010250596883846835,0.393,0.383,512,0.0021721392692819344,0.01050166655647164
grpo_9041__apr_9145,NC,1000,0.0019375,0.0,-0.00046914062499999983,0.005328125,0.005,0.993,512,-0.0004940799782409372,0.005271918512268808
grpo_9041__apr_9145,DAC,1000,-0.00128125,0.0,-0.003625390625,0.00018789062500000142,0.001,0.995,512,-0.003626868168323512,0.0
grpo_9041__apr_9145,TTC,1000,0.0019375,0.0,-0.00228125,0.0065,0.012,0.98,512,-0.0024161162883133184,0.006297934594733747
grpo_9041__apr_9145,DDC,1000,0.0078984375,0.0,0.0026953125,0.013531835937500002,0.021,0.975,512,0.0029377326916983524,0.013509112282788406
grpo_9041__apr_9145,Comfort,1000,0.0,0.0,0.0,0.0,0.0,1.0,512,0.0,0.0
grpo_9041__apr_9145,pairwise_ADE,1000,0.01259436154112706,0.007250933480064253,0.010443371547893472,0.014719504779473026,0.599,0.0,512,0.01021257949376491,0.015102208452580082
grpo_9041__apr_9145,Spread_AUC,1000,0.008737636987727133,0.0035648147425985585,0.006938146249317326,0.010564614631823755,0.567,0.0,512,0.00660826510081529,0.010856159884347455
grpo_9041__apr_9145,HQ_mass,1000,0.0380625,0.0,0.021546875,0.0559703125,0.172,0.722,512,0.019221409633381217,0.05649727265069556
grpo_9041__apr_9145,Hit8,1000,0.015875,0.0,-0.001753124999999999,0.034125,0.084,0.856,512,-0.003205731431594244,0.03511303768626128
grpo_9041__apr_9145,D_high_quality,450,0.027031544761742715,0.02122858405117488,0.022549542255194385,0.03171066452656896,0.6977777777777778,0.0,296,0.02167677114348631,0.0321381624513994
grpo_9041__apr_9145,D_positive_legacy,529,0.020413114926253112,0.017313769309352856,0.017044284011152593,0.023838313471932392,0.6786389413988658,0.0,334,0.016430920887263792,0.02443197642988436
grpo_9041__apr_9145,oracle_gap,1000,0.007677037544820898,0.0,-0.25891092153748846,0.2885573351363919,0.355,0.38,512,-0.25674785991992805,0.2891803549160258
grpo_9041__apr_9145,CVaR20,1000,0.15530069012900782,0.0,-0.3055881460761778,0.6067373313217388,0.382,0.381,512,-0.27877228909957696,0.5577245940518606
grpo_9041__apr_9145,mean_GT_distance,1000,0.28189529248433076,0.24447527118663015,0.2594974994101464,0.3036292940397883,0.814,0.0,512,0.2575357232438655,0.30767685072324774
grpo_9041__apr_9145,lateral_spread,1000,0.010843301912680675,0.010449739507401828,0.010293219624104736,0.011392952588491833,0.898,0.0,512,0.010247443769716813,0.011441709934647092
grpo_9041__apr_9145,longitudinal_spread,1000,0.0062246149286229995,0.0006472831984760119,0.004361297071258999,0.008060586921686031,0.508,0.0,512,0.004255316434103586,0.008372521731875067
