step,metric,n,mean,median,ci_low,ci_high,win_fraction,tie_fraction,log_count,log_ci_low,log_ci_high
1330,PDMS,300,-0.3260770401384222,0.011344619227969588,-2.1008016536575234,1.4100694753423941,0.51,0.2733333333333333,222,-2.107771222145024,1.3893970606467625
1330,feasible,300,-0.031145833333333334,0.0,-0.059166666666666666,-0.004791666666666666,0.05333333333333334,0.84,222,-0.057885906040268456,-0.006550009328682007
1330,EP,300,0.022034654023784777,0.0026106824566659026,0.006769814835269851,0.03771921920010446,0.53,0.29,222,0.006120325252995922,0.03664748128811342
1330,TTC,300,-0.031041666666666665,0.0,-0.05125260416666666,-0.013330729166666657,0.023333333333333334,0.9,222,-0.05145042238206758,-0.013200793931433958
1330,pairwise_ADE,300,0.17107811193585876,0.16470868784339013,0.16498627093047374,0.17727090407182833,1.0,0.0,222,0.16514955750683338,0.1770693631994488
1330,Spread_AUC,300,0.14606202476697874,0.13949931438206625,0.1409678309871853,0.15151259976723147,1.0,0.0,222,0.14075735955939678,0.1514036221020682
1330,Hit8,300,0.2525,0.0,0.19666666666666666,0.30666666666666664,0.4166666666666667,0.49,222,0.19821051307847082,0.30965789473684213
6650,PDMS,300,2.1706116739953734,0.04945115535206668,0.7703382849165799,3.603898092895225,0.5233333333333333,0.29,222,0.8430581098361413,3.642371202973722
6650,feasible,300,0.0038541666666666668,0.0,-0.015625,0.0234375,0.06666666666666667,0.9033333333333333,222,-0.015520758595656693,0.023620401337792644
6650,EP,300,0.033886346842555606,0.00012169200757383702,0.018567348680943903,0.049591351504838316,0.5066666666666667,0.3,222,0.01787149608960067,0.04892338672533055
6650,TTC,300,-0.001875,0.0,-0.014791666666666667,0.0109375,0.03333333333333333,0.9466666666666667,222,-0.015204524112770918,0.01136432368035191
6650,pairwise_ADE,300,0.06688927736314124,0.06220876259443133,0.06361775328813948,0.0702314156215757,1.0,0.0,222,0.06365368261295333,0.07030876515566317
6650,Spread_AUC,300,0.05549181558750263,0.050609972696130136,0.05273816802194213,0.05828085401141288,0.9966666666666667,0.0,222,0.05272847622273784,0.058432752118157696
6650,Hit8,300,0.20416666666666666,0.0,0.1475,0.2608333333333333,0.3566666666666667,0.54,222,0.14251289602786882,0.263205735289248
11970,PDMS,300,2.694314825747528,0.42396516706561727,1.5587201410248863,4.007515077430339,0.5733333333333334,0.3,222,1.5172055723305966,3.996848351815936
11970,feasible,300,0.012708333333333334,0.0,-0.004583333333333333,0.029895833333333333,0.07333333333333333,0.9166666666666666,222,-0.004584395559210526,0.03103615316583028
11970,EP,300,0.04014272248460733,0.006521878176370954,0.025972923983306,0.055059842996672374,0.5533333333333333,0.31,222,0.025787939909315074,0.054427768823502455
11970,TTC,300,0.002916666666666667,0.0,-0.008752604166666667,0.015,0.03666666666666667,0.9533333333333334,222,-0.00898933776821005,0.014868319072420644
11970,pairwise_ADE,300,0.026679658772786694,0.025828142242550076,0.025017172053089298,0.028321286829052647,0.98,0.0,222,0.025018149967581407,0.028323704390464003
11970,Spread_AUC,300,0.022593219424017198,0.02226804823635954,0.021206251214897418,0.02393373168248312,0.9766666666666667,0.0,222,0.021157218723106948,0.023942399681433493
11970,Hit8,300,0.21916666666666668,0.0,0.16333333333333333,0.2758333333333333,0.37666666666666665,0.5466666666666666,222,0.15667779680365296,0.28051712347135815
13300,PDMS,300,2.7620477679605937,0.10944018105666942,1.6319200683975466,4.108680728986315,0.52,0.3,222,1.6989957210553162,4.060937814606666
13300,feasible,300,0.021145833333333332,0.0,0.0082265625,0.036981770833333344,0.07333333333333333,0.92,222,0.008074410722017753,0.03568416337123085
13300,EP,300,0.03718497976438759,0.0,0.02265691213151204,0.05239917772876116,0.49666666666666665,0.31,222,0.023107627369118318,0.05156257605623071
13300,TTC,300,0.0075,0.0,-0.0011458333333333333,0.017294270833333344,0.03666666666666667,0.9566666666666667,222,-0.0005582568239351352,0.017454085457271364
13300,pairwise_ADE,300,0.021619568228355455,0.021244445038895686,0.019985341552737675,0.023185384354147496,0.9666666666666667,0.0,222,0.0200020499937824,0.023221026324090316
13300,Spread_AUC,300,0.01847607258586433,0.017930848901564808,0.017123626806807273,0.01992942394960367,0.9666666666666667,0.0,222,0.01702625020461322,0.019835296218808425
13300,Hit8,300,0.18333333333333332,0.0,0.1275,0.2350208333333334,0.32666666666666666,0.5933333333333334,222,0.1232638888888889,0.24363411496701953
