token,model,K,pairwise_ADE,Spread_AUC
23e39302332152b2,official_il,16,0.18228697448321196,0.14542429071450672
23e39302332152b2,official_il,32,0.18060310251945733,0.1434418623199847
23e39302332152b2,official_il,64,0.17876477256651246,0.14468568704357457
23e39302332152b2,mts_8692,16,0.04496581042748503,0.03758744018201407
23e39302332152b2,mts_8692,32,0.04672150044248679,0.03893780066132249
23e39302332152b2,mts_8692,64,0.09614202617053338,0.2101623576625407
23e39302332152b2,mts_8751,16,0.04664186193199789,0.03704355486471202
23e39302332152b2,mts_8751,32,0.0493107788776477,0.04040713913990171
23e39302332152b2,mts_8751,64,0.049487047172657554,0.040275512648299094
23e39302332152b2,grpo_9041,16,0.20077413185311835,0.16384022960269828
23e39302332152b2,grpo_9041,32,0.1950090842010456,0.15677247046790882
23e39302332152b2,grpo_9041,64,0.2003997581277407,0.16349091558473666
23e39302332152b2,apr_9145,16,0.20887877063272484,0.16814801057717726
23e39302332152b2,apr_9145,32,0.19941452083355815,0.16161572321562562
23e39302332152b2,apr_9145,64,0.21771352743709355,0.17757835886633588
411a748874035630,official_il,16,0.13144184388256738,0.10521558151557103
411a748874035630,official_il,32,0.13129505300244826,0.10737379658884014
411a748874035630,official_il,64,0.12548225981552721,0.1018974939259124
411a748874035630,mts_8692,16,0.194592300558209,0.21491575219188466
411a748874035630,mts_8692,32,0.23276899510250326,0.3572710464925869
411a748874035630,mts_8692,64,0.15952875001542133,0.2608091493003253
411a748874035630,mts_8751,16,0.07697377653753773,0.06420805444360295
411a748874035630,mts_8751,32,0.06413504539792961,0.05406089898092818
411a748874035630,mts_8751,64,0.0610648465204795,0.05155203876502142
411a748874035630,grpo_9041,16,0.14618180760011878,0.11713035307554154
411a748874035630,grpo_9041,32,0.14508408378829607,0.11836481587972644
411a748874035630,grpo_9041,64,0.1404364255659724,0.11382423586817558
411a748874035630,apr_9145,16,0.14391646024955246,0.11764075649191098
411a748874035630,apr_9145,32,0.14798112870707283,0.12278267872735582
411a748874035630,apr_9145,64,0.1450416976234121,0.1193477568726482
79ebfc1d85bf5a51,official_il,16,0.1282194593197733,0.10821314726091387
79ebfc1d85bf5a51,official_il,32,0.12209121552051515,0.10428289619258543
79ebfc1d85bf5a51,official_il,64,0.11241545676235172,0.0966040940626441
79ebfc1d85bf5a51,mts_8692,16,0.07111778657386554,0.07662781782445671
79ebfc1d85bf5a51,mts_8692,32,0.05881071423775385,0.061573191400881265
79ebfc1d85bf5a51,mts_8692,64,0.0864718158166692,0.1292179526450257
79ebfc1d85bf5a51,mts_8751,16,0.06221300465019198,0.057358669954446745
79ebfc1d85bf5a51,mts_8751,32,0.05446448114901246,0.04937366825397908
79ebfc1d85bf5a51,mts_8751,64,0.07122362892258023,0.07809724438187705
79ebfc1d85bf5a51,grpo_9041,16,0.16300326157142978,0.13490455996874437
79ebfc1d85bf5a51,grpo_9041,32,0.1556380327441302,0.13047750689872822
79ebfc1d85bf5a51,grpo_9041,64,0.14457383197661478,0.12223392820418931
79ebfc1d85bf5a51,apr_9145,16,0.1486819592760914,0.12301904384022891
79ebfc1d85bf5a51,apr_9145,32,0.13922582338301087,0.11638978194815244
79ebfc1d85bf5a51,apr_9145,64,0.13449056895006567,0.1133081095623192
40808270ce205b83,official_il,16,0.12534422777800155,0.10467549443636526
40808270ce205b83,official_il,32,0.125586975933532,0.10481470038533096
40808270ce205b83,official_il,64,0.1272163938213325,0.10598203101272871
40808270ce205b83,mts_8692,16,0.048916740778882445,0.039811816357071456
40808270ce205b83,mts_8692,32,0.05405744050075673,0.04454663186611055
40808270ce205b83,mts_8692,64,0.05543687712886124,0.04768420250921738
40808270ce205b83,mts_8751,16,0.06916822176623286,0.058011527712904916
40808270ce205b83,mts_8751,32,0.07152016834227683,0.06028840219582253
40808270ce205b83,mts_8751,64,0.06891970755035365,0.05840625512901533
40808270ce205b83,grpo_9041,16,0.16680019986314504,0.14092047322956236
40808270ce205b83,grpo_9041,32,0.16752929794729948,0.14180923673726253
40808270ce205b83,grpo_9041,64,0.16909002610425947,0.14307014147755043
40808270ce205b83,apr_9145,16,0.2162914428523766,0.19683903766552352
40808270ce205b83,apr_9145,32,0.20070315145300086,0.17909545942116395
40808270ce205b83,apr_9145,64,0.19439940231253286,0.16973630577396423
86208267d61253c0,official_il,16,0.14906309831344283,0.12339108471617481
86208267d61253c0,official_il,32,0.15149674709238642,0.12501508909977316
86208267d61253c0,official_il,64,0.1311409785304832,0.1086269954233351
86208267d61253c0,mts_8692,16,0.05017457897935852,0.04126915136499742
86208267d61253c0,mts_8692,32,0.04259517579337068,0.03535760325788177
86208267d61253c0,mts_8692,64,0.04207426185074489,0.03469368568401113
86208267d61253c0,mts_8751,16,0.047386514849913804,0.03919176147705812
86208267d61253c0,mts_8751,32,0.04160253787691499,0.03457120106718252
86208267d61253c0,mts_8751,64,0.04212157418066369,0.03464765080282766
86208267d61253c0,grpo_9041,16,0.179073241644956,0.14972538318820064
86208267d61253c0,grpo_9041,32,0.17446174365789516,0.14612369833205296
86208267d61253c0,grpo_9041,64,0.15816271519645625,0.1323221559448791
86208267d61253c0,apr_9145,16,0.18964043549664472,0.15844308547688418
86208267d61253c0,apr_9145,32,0.183515981591291,0.15275614826703326
86208267d61253c0,apr_9145,64,0.16240847684840476,0.13507089365509523
