model,group,n,median_spread_ratio,teacher_PDMS_weighted,teacher_feasible_weighted,teacher_best_PDMS,teacher_GT_PDMS,teacher_best_gain_over_GT,teacher_nonGT_PDMS,teacher_weighted_GT_distance,shift_teacher_cosine,output_to_weighted_teacher_center,il_to_weighted_teacher_center,official_il_teacher_nearest_ADE_weighted,official_il_teacher_mass_covered_0.25,official_il_nonGT_mass_covered_0.25,official_il_teacher_mass_covered_0.5,official_il_nonGT_mass_covered_0.5,official_il_teacher_mass_covered_1.0,official_il_nonGT_mass_covered_1.0,mts_8692_teacher_nearest_ADE_weighted,mts_8692_teacher_mass_covered_0.25,mts_8692_nonGT_mass_covered_0.25,mts_8692_teacher_mass_covered_0.5,mts_8692_nonGT_mass_covered_0.5,mts_8692_teacher_mass_covered_1.0,mts_8692_nonGT_mass_covered_1.0,mts_8751_teacher_nearest_ADE_weighted,mts_8751_teacher_mass_covered_0.25,mts_8751_nonGT_mass_covered_0.25,mts_8751_teacher_mass_covered_0.5,mts_8751_nonGT_mass_covered_0.5,mts_8751_teacher_mass_covered_1.0,mts_8751_nonGT_mass_covered_1.0,raw_count,support_count,unique_support_count,positive_weight_count,non_gt_count,nominal_GT_mass,expected_GT_mass_pre_budget,beta,scene_weight,target_ESS,weighted_pair_ADE,unweighted_pair_ADE,gt_archive_ADE,spread_ratio,Hit8,PDMS
mts_8692,1-2_nonGT,750,0.4750668193255007,95.69358017335712,0.9766666735808055,97.24546087796072,94.4793963879706,2.7660644899901237,96.90776253344862,0.6429905593035597,0.3525306248016784,0.5143106573052039,0.5823712674976256,0.6293653603722598,0.3910614035129547,0.012789473692576091,0.48838757594426474,0.07410848476051905,0.7304209036032359,0.4848418006276472,0.57358741868236,0.5083289477030436,0.027324561744928342,0.5401672160228094,0.08166776427254076,0.6836104119817416,0.3672208184955209,,,,,,,,42.833333333333336,2.368,2.368,2.368,1.368,0.5,0.5,0.5,1.0,2.241518555666474,0.7454500414914066,1.416499015207155,1.9530633592943608e-07,0.7375570991875817,0.23383333333333334,93.19683265868896
mts_8692,3-5_nonGT,175,0.3877671610396562,95.01176549459633,0.9791349993433272,95.88749091115142,95.33714394286984,0.5503469682816008,94.68638584235048,0.5212345121600871,0.8560007447368272,0.22370052219976908,0.4937521648973947,0.6187895833211651,0.30402597665786746,0.00233766222154939,0.46606568685599736,0.08070279614607592,0.8033941778966359,0.6239312016306943,0.516000698295887,0.48757055027144297,0.00942680660269051,0.5388374619824545,0.07767491602554343,0.7998798573017121,0.5997597030028425,,,,,,,,42.86857142857143,4.0,4.0,4.0,3.0,0.5000000041142857,0.5000000040871756,0.5,1.0,2.994603007102364,0.8047144160910404,1.3951442010600492,4.173268465344233e-07,0.8127008161229097,0.13,94.61946949026813
mts_8692,GT_only,75,0.41719810816962166,97.79604167582221,1.0,97.79604167582221,97.79604179596957,-1.201473511791562e-07,,8.784395239295382e-08,0.8611818953744065,0.21625431747862522,0.3928068030156244,0.26307917748653914,0.8133333333333334,,0.92,,0.9733333333333334,,0.15617522461310104,0.96,,0.9866666666666667,,0.9866666666666667,,,,,,,,,42.25333333333333,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,8.784395239295384e-08,0.5858034591617259,0.28833333333333333,96.7718609290249
mts_8751,1-2_nonGT,44,0.4561245073851785,93.51070461939044,1.0,95.70960551446264,92.84072260372433,2.868882910738299,95.57954490600304,0.25867456283657186,0.47226746994108276,0.41030492908315797,0.41506517409529115,0.37643402752998534,0.67269766912546,0.29545454545454547,0.8376583869331443,0.4406312328885449,0.8759905838825767,0.5856865194883563,,,,,,,,0.2943645429161672,0.8374600249893259,0.39494535940650105,0.892969873680075,0.47249584772317604,0.9051702752776734,0.5631686405887192,20.636363636363637,2.4545454545454546,2.4545454545454546,2.4545454545454546,1.4545454545454546,0.8672871497727275,0.8672871334055364,0.2030075552455938,1.0810037526217373,1.3482906938333983,0.3867797443970105,0.9946401734250006,1.5034527493213046e-07,0.7071405397836006,0.2215909090909091,92.45943254322536
mts_8751,3-5_nonGT,74,0.5016830122380083,92.10036347213115,0.9864864864864863,96.63697078775651,90.7525265424511,5.884444245305416,95.65299932843028,0.4426739871177453,0.2749344764557531,0.5715980589883897,0.5311521881051846,0.5482319166207515,0.6192251866414746,0.12407291540114362,0.7424084537370812,0.206073906005875,0.8276192687923234,0.3982173355364709,,,,,,,,0.4025569373251857,0.7103429892117988,0.19534810865769195,0.8193298218747603,0.29184325774331443,0.8788892431480761,0.54178696228812,21.85135135135135,5.094594594594595,5.094594594594595,5.094594594594595,4.094594594594595,0.7309734872972973,0.7762473697273715,0.3239193501051616,1.1661490073075165,1.6656952499504771,0.6700702805131411,1.0121065878961253,1.6692412024564859e-07,1.4686339506679311,0.3614864864864865,88.91222305791352
mts_8751,6plus_nonGT,849,0.414704171307188,96.10614819675259,0.9765758622805587,99.67683538400827,95.46300477880746,4.213830605200811,98.97873772196536,0.2553919745914593,0.5549679301712274,0.35360058476923995,0.45735505182770986,0.43955775759520477,0.6560299645577862,0.07865880207660562,0.8019394831717833,0.20159435922252097,0.9024791286240685,0.4277808043874984,,,,,,,,0.28183973789983546,0.8610794784324078,0.07009784915691704,0.9082968319805634,0.20329345542031102,0.932311731260834,0.44353636364321175,23.77856301531213,11.461719670200235,11.461719670200235,11.461719670200235,10.467608951707891,0.7317665683863368,0.8888995784628582,0.28433160887081155,1.1182287178837087,1.2611437924246676,0.39259565445708045,1.2275239408029064,2.3822119456815147e-07,0.8094802206118941,0.27223203769140164,94.88145710346964
mts_8751,GT_only,33,0.44307184005920053,91.8024484640637,0.9696969696969697,91.8024484640637,91.80244847773035,-1.3666642901541487e-08,,1.7340206868103867e-07,0.8220822635086793,0.21183993658375147,0.28962894051761695,0.16657899542201637,0.8484848484848485,,0.9696969696969697,,1.0,,,,,,,,,0.13585460999048712,0.8787878787878788,,1.0,,1.0,,17.96969696969697,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.7340206868103867e-07,0.5333267536898758,0.12121212121212122,90.32813069866769
