model,metric,epsilon,n,mean,median,ci_low,ci_high,win_fraction,tie_fraction,log_count,log_ci_low,log_ci_high
mts_8692,teacher_mass_coverage_gain,0.25,1000,0.1310709585249424,0.0,0.11548853602409362,0.14658547398224472,0.263,0.728,512,0.11397010472004156,0.1472761009172315
mts_8692,nonGT_mass_coverage_gain,0.25,925,0.013126396006447442,0.0,0.002186899252822798,0.02406934652664368,0.034594594594594595,0.9524324324324325,491,0.0018461679428359858,0.024280514968602326
mts_8692,teacher_mass_coverage_gain,0.5,1000,0.05656979070603847,0.0,0.04318940223976969,0.06910251101367175,0.173,0.761,512,0.04225597790282046,0.07117626742440532
mts_8692,nonGT_mass_coverage_gain,0.5,925,0.005556303365322256,0.0,-0.015821546582951467,0.02576005121382423,0.10486486486486486,0.7924324324324324,491,-0.014543873813883458,0.026314821021372174
mts_8692,teacher_mass_coverage_gain,1.0,1000,-0.03472287482023239,0.0,-0.05070075606554746,-0.01922669261023402,0.19,0.574,512,-0.05079060747080356,-0.018565982792636024
mts_8692,nonGT_mass_coverage_gain,1.0,925,-0.09994135011780407,0.0,-0.1299820614820111,-0.07080941771874771,0.19135135135135134,0.5502702702702703,491,-0.12973110062794163,-0.06855461061956783
mts_8751,teacher_mass_coverage_gain,0.25,1000,0.1890792983277678,0.0,0.16125677334293823,0.21561682858624134,0.353,0.432,512,0.15886493084108846,0.22018188049600404
mts_8751,nonGT_mass_coverage_gain,0.25,967,0.002465058000056881,0.0,-0.007864436822559752,0.013277018304681441,0.17269906928645296,0.5801447776628749,502,-0.007933532749693007,0.012379198453362805
mts_8751,teacher_mass_coverage_gain,0.5,1000,0.09942327579770742,0.0,0.08284522469638791,0.1167350828067508,0.299,0.414,512,0.07981385940056966,0.12187271802225684
mts_8751,nonGT_mass_coverage_gain,0.5,967,0.009505178648622575,0.0,-0.0048375721429308426,0.023501871734773586,0.25749741468459153,0.41985522233712513,502,-0.004821328702033938,0.024260762429892294
mts_8751,teacher_mass_coverage_gain,1.0,1000,0.030405764162323885,0.0,0.021261573287764526,0.04013852671768932,0.27,0.39,512,0.019197424403454833,0.043398000312921396
mts_8751,nonGT_mass_coverage_gain,1.0,967,0.023795072922583933,0.0,0.00506870665521355,0.04378721153990208,0.2730093071354705,0.3702171664943123,502,0.003423047896324917,0.04474248032537256
