model,protocol,split,positive_mass,positive_count,information_active,shadow_full_mass,shadow_full_positive_disappeared,shadow_full_positive_flipped,shadow_full_information_active,shadow_full_rank_changed,positive_loss_fraction,positive_flip_fraction,mass_change_fraction
a5_grpo_300,deployment,calibration,562.6873,2052,268,412.9820075035095,1644,1400,26,265,0.8011695906432749,0.682261208576998,-0.26605417413217103
a5_grpo_300,deployment,confirmation,765.18024,1891,248,636.4713384481292,1417,1092,42,233,0.7493389740877843,0.5774722369116869,-0.1682072957134657
a5_grpo_300,native_grpo,calibration,769.0583,2139,291,822.6477603912354,1736,1736,54,270,0.8115942028985508,0.8115942028985508,0.069681937784414
a5_grpo_300,native_grpo,confirmation,870.89905,1986,275,874.2161965370178,1557,1557,62,240,0.783987915407855,0.783987915407855,0.003808878530339843
a5_sft,deployment,calibration,367.3639,1519,305,75.15103340148926,1022,94,5,336,0.6728110599078341,0.06188281764318631,-0.7954316275509272
a5_sft,deployment,confirmation,235.10321,1620,258,42.26470756530762,1198,78,4,291,0.7395061728395061,0.04814814814814815,-0.8202291347508561
a5_sft,native_grpo,calibration,881.6062,1701,347,189.30881786346436,1401,296,11,342,0.8236331569664903,0.17401528512639625,-0.7852682778185707
a5_sft,native_grpo,confirmation,670.07544,2195,298,193.5882444381714,1816,246,14,303,0.8273348519362187,0.11207289293849658,-0.711094851355593
