model,protocol,split,metric,mean,low,high,scenes,logs
a5_grpo_300,deployment,calibration,PDMS,0.9652913319969778,0.9522377073017635,0.9766811815150646,256,162
a5_grpo_300,deployment,calibration,NC,0.998779296875,0.9969921583592812,0.9998838397528569,256,162
a5_grpo_300,deployment,calibration,DAC,0.9888916015625,0.9760405604284665,0.9992529880478087,256,162
a5_grpo_300,deployment,calibration,TTC,0.982177734375,0.9697496710526315,0.9927161903036192,256,162
a5_grpo_300,deployment,calibration,Comfort,1.0,1.0,1.0,256,162
a5_grpo_300,deployment,calibration,EP,0.9507011304976177,0.9367420433526674,0.9636820191561942,256,162
a5_grpo_300,deployment,calibration,raw_progress,21.842271822009508,20.199133817598803,23.72835741895675,256,162
a5_grpo_300,deployment,calibration,end_speed,5.727938586381378,5.21434819163602,6.260250833065495,256,162
a5_grpo_300,deployment,calibration,failure,0.0289306640625,0.013916301169590643,0.04565355386879127,256,162
a5_grpo_300,deployment,calibration,zero_score,0.0120849609375,0.0020831172199170123,0.025053220651362458,256,162
a5_grpo_300,deployment,calibration,pdms_below50,0.0126953125,0.002603008229537367,0.026178904137195758,256,162
a5_grpo_300,deployment,calibration,pdms_below95,0.149169921875,0.11093703680830039,0.18941202506744606,256,162
a5_grpo_300,deployment,confirmation,PDMS,0.9611211259023033,0.9491715773481622,0.9719312544743033,256,174
a5_grpo_300,deployment,confirmation,NC,0.9964599609375,0.9916188886088709,0.9995283082404847,256,174
a5_grpo_300,deployment,confirmation,DAC,0.9921875,0.9838619384533831,0.9980916030534351,256,174
a5_grpo_300,deployment,confirmation,TTC,0.9605712890625,0.9401671450875295,0.9778412086946332,256,174
a5_grpo_300,deployment,confirmation,Comfort,0.99609375,0.9878036336485814,1.0,256,174
a5_grpo_300,deployment,confirmation,EP,0.9593244061573662,0.9481379552871739,0.9693094378414164,256,174
a5_grpo_300,deployment,confirmation,raw_progress,20.5787635784536,18.941543632848486,22.267798318403216,256,174
a5_grpo_300,deployment,confirmation,end_speed,5.48963609851875,4.977234443621268,5.996162955850027,256,174
a5_grpo_300,deployment,confirmation,failure,0.046142578125,0.02805536257836872,0.0670152439364009,256,174
a5_grpo_300,deployment,confirmation,zero_score,0.0107421875,0.0034457941004760336,0.0195630081300813,256,174
a5_grpo_300,deployment,confirmation,pdms_below50,0.011962890625,0.004358800816616369,0.02123056445232749,256,174
a5_grpo_300,deployment,confirmation,pdms_below95,0.1370849609375,0.10559015030693307,0.1713153404515194,256,174
a5_grpo_300,native_grpo,calibration,PDMS,0.9604403821131935,0.9474908857563904,0.9711752744366717,256,162
a5_grpo_300,native_grpo,calibration,NC,0.9970703125,0.9938879903091126,0.9992055084745762,256,162
a5_grpo_300,native_grpo,calibration,DAC,0.98876953125,0.9776776640534263,0.9967633640058088,256,162
a5_grpo_300,native_grpo,calibration,TTC,0.9713134765625,0.9581747646028562,0.9833110430889215,256,162
a5_grpo_300,native_grpo,calibration,Comfort,0.9998779296875,0.9996076993820541,1.0,256,162
a5_grpo_300,native_grpo,calibration,EP,0.950749934176629,0.9373173929167449,0.9618803566095279,256,162
a5_grpo_300,native_grpo,calibration,raw_progress,21.984208436497454,20.30341854960313,23.7903596892684,256,162
a5_grpo_300,native_grpo,calibration,end_speed,5.752572445733778,5.243494969420625,6.286973876625351,256,162
a5_grpo_300,native_grpo,calibration,failure,0.039794921875,0.025228944085533726,0.057008169668692134,256,162
a5_grpo_300,native_grpo,calibration,zero_score,0.0137939453125,0.004868397766715382,0.025131293402777782,256,162
a5_grpo_300,native_grpo,calibration,pdms_below50,0.0147705078125,0.006118567136886102,0.026172360261842983,256,162
a5_grpo_300,native_grpo,calibration,pdms_below95,0.154541015625,0.12007856376823864,0.1913777906378601,256,162
a5_grpo_300,native_grpo,confirmation,PDMS,0.9529554733927763,0.9395051226834944,0.9647769549850352,256,174
a5_grpo_300,native_grpo,confirmation,NC,0.994384765625,0.9896422473909489,0.9979820575675515,256,174
a5_grpo_300,native_grpo,confirmation,DAC,0.9876708984375,0.9784768926942171,0.9947709163346613,256,174
a5_grpo_300,native_grpo,confirmation,TTC,0.9525146484375,0.9313220064551984,0.9710093784227821,256,174
a5_grpo_300,native_grpo,confirmation,Comfort,0.9962158203125,0.98875,1.0,256,174
a5_grpo_300,native_grpo,confirmation,EP,0.9548226678805927,0.9430295953816163,0.9650292245980726,256,174
a5_grpo_300,native_grpo,confirmation,raw_progress,20.748067426702328,19.082736722819895,22.48400093646115,256,174
a5_grpo_300,native_grpo,confirmation,end_speed,5.528091870031288,5.033343370778128,6.0615011606043465,256,174
a5_grpo_300,native_grpo,confirmation,failure,0.0582275390625,0.038587075042436816,0.08034170050370067,256,174
a5_grpo_300,native_grpo,confirmation,zero_score,0.0166015625,0.008439756960485385,0.026160441913368,256,174
a5_grpo_300,native_grpo,confirmation,pdms_below50,0.019287109375,0.010413804945054946,0.0298532012195122,256,174
a5_grpo_300,native_grpo,confirmation,pdms_below95,0.141845703125,0.11174921875,0.17473168214654286,256,174
a5_sft,deployment,calibration,PDMS,0.9398298612081546,0.927456293592108,0.9502029703845385,256,162
a5_sft,deployment,calibration,NC,1.0,1.0,1.0,256,162
a5_sft,deployment,calibration,DAC,0.9923095703125,0.981854741780397,0.9995978508087785,256,162
a5_sft,deployment,calibration,TTC,0.9996337890625,0.9988519231975577,1.0,256,162
a5_sft,deployment,calibration,Comfort,0.9984130859375,0.9949633205522787,1.0,256,162
a5_sft,deployment,calibration,EP,0.8673592450245708,0.8474070654730407,0.8859186780331141,256,162
a5_sft,deployment,calibration,raw_progress,18.859083309633803,17.373139311362642,20.43222672218895,256,162
a5_sft,deployment,calibration,end_speed,4.602868608668359,4.227527112502634,5.0207712541505405,256,162
a5_sft,deployment,calibration,failure,0.008056640625,0.0008253941161866932,0.019006194609317833,256,162
a5_sft,deployment,calibration,zero_score,0.0076904296875,0.0006223869344755366,0.01854283502982365,256,162
a5_sft,deployment,calibration,pdms_below50,0.0076904296875,0.00045758928571428583,0.019005908397841897,256,162
a5_sft,deployment,calibration,pdms_below95,0.4541015625,0.3898292639066496,0.5194621579806622,256,162
a5_sft,deployment,confirmation,PDMS,0.9465629254789643,0.9367872536822395,0.9558936003274487,256,174
a5_sft,deployment,confirmation,NC,0.9993896484375,0.998046875,1.0,256,174
a5_sft,deployment,confirmation,DAC,0.9957275390625,0.9897405220360462,0.9998798192049808,256,174
a5_sft,deployment,confirmation,TTC,0.992919921875,0.9820031851600868,1.0,256,174
a5_sft,deployment,confirmation,Comfort,0.99658203125,0.9896245059288538,1.0,256,174
a5_sft,deployment,confirmation,EP,0.8866736638930004,0.8675876756780059,0.9041147583865919,256,174
a5_sft,deployment,confirmation,raw_progress,17.872652178572853,16.362611507185658,19.36740636305145,256,174
a5_sft,deployment,confirmation,end_speed,4.4725811082281055,4.070078144140583,4.886069115119617,256,174
a5_sft,deployment,confirmation,failure,0.0113525390625,0.002074499592327688,0.02324157937577422,256,174
a5_sft,deployment,confirmation,zero_score,0.0042724609375,0.0001240079365079365,0.009821428571428571,256,174
a5_sft,deployment,confirmation,pdms_below50,0.0054931640625,0.0007074806710171656,0.011574978298611113,256,174
a5_sft,deployment,confirmation,pdms_below95,0.400146484375,0.3359360532407407,0.46382287779850745,256,174
a5_sft,native_grpo,calibration,PDMS,0.9358979918826567,0.9253002626931746,0.9451464851909933,256,162
a5_sft,native_grpo,calibration,NC,1.0,1.0,1.0,256,162
a5_sft,native_grpo,calibration,DAC,0.987060546875,0.9780540730337078,0.9940600424835031,256,162
a5_sft,native_grpo,calibration,TTC,0.997314453125,0.9929219563802083,0.9996294831121035,256,162
a5_sft,native_grpo,calibration,Comfort,0.9971923828125,0.9926173808004731,1.0,256,162
a5_sft,native_grpo,calibration,EP,0.867956938330876,0.8496919782264822,0.8849158486333856,256,162
a5_sft,native_grpo,calibration,raw_progress,18.980809478361998,17.542008525630212,20.609838802566514,256,162
a5_sft,native_grpo,calibration,end_speed,4.6416804075738245,4.251060427961316,5.064421627463686,256,162
a5_sft,native_grpo,calibration,failure,0.0155029296875,0.007683642104382737,0.025103708516593368,256,162
a5_sft,native_grpo,calibration,zero_score,0.012939453125,0.005925909237329734,0.021609206805567237,256,162
a5_sft,native_grpo,calibration,pdms_below50,0.012939453125,0.005997866110512786,0.02175027834008097,256,162
a5_sft,native_grpo,calibration,pdms_below95,0.4468994140625,0.3884109187215085,0.5093921703296703,256,162
a5_sft,native_grpo,confirmation,PDMS,0.94399538775722,0.9331948627695296,0.9543808626028,256,174
a5_sft,native_grpo,confirmation,NC,0.99853515625,0.995572453582636,1.0,256,174
a5_sft,native_grpo,confirmation,DAC,0.9915771484375,0.9844357407387168,0.997243399064171,256,174
a5_sft,native_grpo,confirmation,TTC,0.9921875,0.9830718994140625,0.9988038925160582,256,174
a5_sft,native_grpo,confirmation,Comfort,0.996826171875,0.9900510204081633,1.0,256,174
a5_sft,native_grpo,confirmation,EP,0.8875485760245357,0.8689207003750664,0.9058470877775953,256,174
a5_sft,native_grpo,confirmation,raw_progress,17.980870884933147,16.488416015115117,19.49406162900334,256,174
a5_sft,native_grpo,confirmation,end_speed,4.508461372946488,4.105730936294326,4.915031852531946,256,174
a5_sft,native_grpo,confirmation,failure,0.0162353515625,0.007202750337723742,0.027973936843585897,256,174
a5_sft,native_grpo,confirmation,zero_score,0.0086669921875,0.0031477378731343286,0.016130437925716494,256,174
a5_sft,native_grpo,confirmation,pdms_below50,0.01123046875,0.004035884864897036,0.01962287370548692,256,174
a5_sft,native_grpo,confirmation,pdms_below95,0.3914794921875,0.3288993247633964,0.4555583959525233,256,174
