source,split,selector,comparator,metric,mean,low,high,scenes,logs
native_within_group,calibration,A,B,evaluation_risk,0.0009889240506329115,0.0,0.0027935758666380187,158,112
native_within_group,calibration,A,B,selection_risk,0.0009889240506329115,0.0,0.0030241935483870967,158,112
native_within_group,calibration,A,B,evaluation_NC_fail,-0.00039556962025316455,-0.0012755102040816326,0.0,158,112
native_within_group,calibration,A,B,selection_NC_fail,-0.00039556962025316455,-0.0012586018274986395,0.0,158,112
native_within_group,calibration,A,B,evaluation_DAC_fail,0.0009889240506329115,0.0,0.002700617283950617,158,112
native_within_group,calibration,A,B,selection_DAC_fail,0.0009889240506329115,0.0,0.003043831168831169,158,112
native_within_group,calibration,A,B,evaluation_TTC_fail,-0.00039556962025316455,-0.0013111888111888112,0.0,158,112
native_within_group,calibration,A,B,selection_TTC_fail,-0.00039556962025316455,-0.001293103448275862,0.0,158,112
native_within_group,calibration,A,B,evaluation_hard_fail,0.0009889240506329115,0.0,0.002804547155688623,158,112
native_within_group,calibration,A,B,selection_hard_fail,0.0009889240506329115,0.0,0.0030843921553677257,158,112
native_within_group,calibration,A,B,nominal_PDMS,0.0007541006771830317,0.0005924357742142591,0.0009253253728735726,158,112
native_within_group,calibration,A,B,nominal_raw_progress,0.03836575715621288,0.030338223017153783,0.046780405858176215,158,112
native_within_group,calibration,A,B,nominal_end_speed,0.0205474829693691,0.012018026591457068,0.029691713608963707,158,112
native_within_group,calibration,A,B,nominal_EP,0.0018098416252392822,0.00143327003260159,0.0022094084028924216,158,112
native_within_group,calibration,A,B,evaluation_raw_progress,0.0383766725661877,0.030110860509120454,0.04679248027542793,158,112
native_within_group,calibration,A,B,evaluation_end_speed,0.02054160796101145,0.011521563434022426,0.030189227130135436,158,112
native_within_group,calibration,A,B,evaluation_PDMS,-0.0001914204421827577,-0.001855514586884462,0.0008223283666485973,158,112
native_within_group,calibration,C,A,evaluation_risk,-0.0037579113924050634,-0.007627711857769423,-0.0007861635220125787,158,112
