model,protocol,split,positive_mass,positive_count,information_active,shadow_fixed_mass,shadow_fixed_positive_disappeared,shadow_fixed_positive_flipped,shadow_fixed_information_active,shadow_fixed_rank_changed,positive_loss_fraction,positive_flip_fraction,mass_change_fraction
a5_grpo_300,deployment,calibration,562.6873,2052,268,202.56135147883748,1644,1554,26,255,0.8011695906432749,0.7573099415204678,-0.6400108099170021
a5_grpo_300,deployment,confirmation,765.18024,1891,248,358.836660119546,1417,1301,42,218,0.7493389740877843,0.6879957694341619,-0.5310429584374594
a5_grpo_300,native_grpo,calibration,769.0583,2139,291,395.1126720607281,1736,1736,54,251,0.8115942028985508,0.8115942028985508,-0.486238328185449
a5_grpo_300,native_grpo,confirmation,870.89905,1986,275,502.6627068221569,1557,1557,62,227,0.783987915407855,0.783987915407855,-0.4228232215178267
a5_sft,deployment,calibration,367.3639,1519,305,75.15107245269714,239,187,6,336,0.15734035549703754,0.12310730743910467,-0.795431521249767
a5_sft,deployment,confirmation,235.10321,1620,258,15.61769371382837,210,151,6,290,0.12962962962962962,0.09320987654320988,-0.9335709040978761
a5_sft,native_grpo,calibration,881.6062,1701,347,142.24305587044572,241,187,32,338,0.14168136390358613,0.10993533215755438,-0.8386546559207851
a5_sft,native_grpo,confirmation,670.07544,2195,298,68.730798152309,345,280,28,297,0.1571753986332574,0.1275626423690205,-0.897428268362734
