model,protocol,split,metric,mean,low,high,scenes,logs
a5_grpo_300,deployment,confirmation,shadow_fixed_positive_flipped,2.541015625,2.015934674002403,3.095057867381198,256,174
a5_grpo_300,deployment,confirmation,shadow_fixed_information_active,0.08203125,0.052845528455284556,0.11336088828018001,256,174
a5_grpo_300,deployment,confirmation,shadow_fixed_rank_changed,0.42578125,0.36446566998892577,0.49089740302829227,256,174
a5_grpo_300,deployment,confirmation,shadow_fixed_spearman,0.9004276707317498,0.8381506412952742,0.9535218107649818,39,38
a5_grpo_300,deployment,confirmation,shadow_full_mass,1.2431080829065024,0.7549688367839651,1.7899199442778775,256,174
a5_grpo_300,deployment,confirmation,shadow_full_positive_disappeared,2.767578125,2.2029176320066393,3.3443790584415587,256,174
a5_grpo_300,deployment,confirmation,shadow_full_positive_flipped,2.1328125,1.610639344262295,2.6820383116675717,256,174
a5_grpo_300,deployment,confirmation,shadow_full_information_active,0.08203125,0.053497942386831275,0.11344578215901746,256,174
a5_grpo_300,deployment,confirmation,shadow_full_rank_changed,0.455078125,0.3900362191433997,0.5231098044199887,256,174
a5_grpo_300,deployment,confirmation,shadow_full_spearman,0.8594044336389252,0.7944789321554162,0.9183448269032083,39,38
a5_grpo_300,native_grpo,calibration,all_infeasible,0.00390625,0.0,0.012876923930738499,256,162
a5_grpo_300,native_grpo,calibration,mixed_feasible,0.09765625,0.06583512830117999,0.1311860921333677,256,162
a5_grpo_300,native_grpo,calibration,all_feasible,0.8984375,0.86328125,0.9301897762176393,256,162
a5_grpo_300,native_grpo,calibration,all_full_pdms,0.400390625,0.34641989501540066,0.4547576031918985,256,162
a5_grpo_300,native_grpo,calibration,all_ep_saturated,0.435546875,0.3802991897972213,0.4893639464942993,256,162
a5_grpo_300,native_grpo,calibration,all_components_identical,0.392578125,0.33524904214559387,0.44930235903337173,256,162
a5_grpo_300,native_grpo,calibration,ep_only_components,0.458984375,0.40297989220563846,0.51400140562249,256,162
a5_grpo_300,native_grpo,calibration,ep_only_identical_gates,0.0,0.0,0.0,256,162
a5_grpo_300,native_grpo,calibration,positive_mass,1.5020670890808105,1.1076401362902406,1.9397365791983407,256,162
a5_grpo_300,native_grpo,calibration,ep_only_strict_mass,0.0,0.0,0.0,256,162
a5_grpo_300,native_grpo,calibration,ep_only_components_mass,0.5901716947555542,0.446205989906935,0.7435924184110118,256,162
a5_grpo_300,native_grpo,calibration,information_active,0.568359375,0.5043663375735713,0.6250118821292776,256,162
a5_grpo_300,native_grpo,calibration,positive_count,4.177734375,3.5230122950819673,4.825422491492688,256,162
a5_grpo_300,native_grpo,calibration,feasible_comparison,0.994140625,0.9835390946502057,1.0,256,162
a5_grpo_300,native_grpo,calibration,positive_ep_up_safety_or_comfort_down_vs_reference_count,0.0,0.0,0.0,256,162
a5_grpo_300,native_grpo,calibration,positive_ep_up_safety_or_comfort_down_vs_reference_mass,0.0,0.0,0.0,256,162
a5_grpo_300,native_grpo,calibration,positive_weighted_raw_progress_shift,0.6480484184220475,0.5256082796612287,0.7688352868573921,168,118
a5_grpo_300,native_grpo,calibration,positive_weighted_end_speed_shift,0.275047870257277,0.21711429606284022,0.33379937650079455,168,118
a5_grpo_300,native_grpo,calibration,shadow_fixed_mass,0.7717044376186095,0.43125923728538645,1.1334094915420718,256,162
a5_grpo_300,native_grpo,calibration,shadow_fixed_positive_disappeared,3.390625,2.786464567831338,4.083057232064452,256,162
a5_grpo_300,native_grpo,calibration,shadow_fixed_positive_flipped,3.390625,2.750918149436154,4.043310556797399,256,162
a5_grpo_300,native_grpo,calibration,shadow_fixed_information_active,0.10546875,0.07171399297423887,0.1446294179708106,256,162
a5_grpo_300,native_grpo,calibration,shadow_fixed_rank_changed,0.490234375,0.4319021221071055,0.5480406248419349,256,162
a5_grpo_300,native_grpo,calibration,shadow_fixed_spearman,0.8962148541609419,0.8485145893980073,0.9399110761126293,58,51
a5_grpo_300,native_grpo,calibration,shadow_full_mass,1.6067339070141315,0.9853323172275317,2.24315627020422,256,162
a5_grpo_300,native_grpo,calibration,shadow_full_positive_disappeared,3.390625,2.7376019204585034,4.029959912416451,256,162
a5_grpo_300,native_grpo,calibration,shadow_full_positive_flipped,3.390625,2.7728717225356787,4.043373834736175,256,162
a5_grpo_300,native_grpo,calibration,shadow_full_information_active,0.10546875,0.06876958962023472,0.14394013088079238,256,162
a5_grpo_300,native_grpo,calibration,shadow_full_rank_changed,0.52734375,0.468734437250996,0.5860821294810059,256,162
a5_grpo_300,native_grpo,calibration,shadow_full_spearman,0.8306538920108665,0.7778961208986062,0.8839958526910539,58,51
a5_grpo_300,native_grpo,confirmation,all_infeasible,0.0,0.0,0.0,256,174
a5_grpo_300,native_grpo,confirmation,mixed_feasible,0.119140625,0.08458085800922058,0.1565065577542568,256,174
a5_grpo_300,native_grpo,confirmation,all_feasible,0.880859375,0.8423053278688525,0.9173088842975207,256,174
a5_grpo_300,native_grpo,confirmation,all_full_pdms,0.4296875,0.3700747391332181,0.49042236992190924,256,174
a5_grpo_300,native_grpo,confirmation,all_ep_saturated,0.484375,0.4189673377948374,0.5498057768924303,256,174
a5_grpo_300,native_grpo,confirmation,all_components_identical,0.419921875,0.36,0.48221343873517786,256,174
a5_grpo_300,native_grpo,confirmation,ep_only_components,0.419921875,0.3591256435006435,0.4816217402953084,256,174
a5_grpo_300,native_grpo,confirmation,ep_only_identical_gates,0.005859375,0.0,0.015748031496062992,256,174
