protocol,split,metric,mean,low,high,scenes,logs
deployment,calibration,PDMS,0.025461470788823267,0.013768439079157568,0.03604670876279779,256,162
deployment,calibration,NC,-0.001220703125,-0.0030455508474576272,-0.00011704119850187266,256,162
deployment,calibration,DAC,-0.00341796875,-0.012854623588348713,0.0031890265948899253,256,162
deployment,calibration,TTC,-0.0174560546875,-0.030618781945965682,-0.007142517653449211,256,162
deployment,calibration,Comfort,0.0015869140625,0.0,0.005057053941908714,256,162
deployment,calibration,EP,0.08334188547304693,0.06891698600516084,0.09810933786282905,256,162
deployment,calibration,raw_progress,2.9831885123757074,2.6452678634517626,3.342345013446529,256,162
deployment,calibration,end_speed,1.1250699777130193,0.9684447635433956,1.2985136049081794,256,162
deployment,calibration,failure,0.0208740234375,0.008210663087177317,0.03668715892825194,256,162
deployment,calibration,zero_score,0.00439453125,-0.002458177432606475,0.014405271385898113,256,162
deployment,calibration,pdms_below50,0.0050048828125,-0.0023289611897390535,0.014575956701173124,256,162
deployment,calibration,pdms_below95,-0.304931640625,-0.36416840428824787,-0.24880310321938265,256,162
deployment,confirmation,PDMS,0.014558200423339003,0.003016329920742873,0.02531736459888577,256,174
deployment,confirmation,NC,-0.0029296875,-0.007967023271759298,0.000319112019807924,256,174
deployment,confirmation,DAC,-0.0035400390625,-0.009297925781883001,0.0010494402985074627,256,174
deployment,confirmation,TTC,-0.0323486328125,-0.05039785172981259,-0.01639310934548114,256,174
deployment,confirmation,Comfort,-0.00048828125,-0.0015001506024096385,0.0,256,174
deployment,confirmation,EP,0.07265074226436584,0.058632157005418926,0.08664222586299626,256,174
deployment,confirmation,raw_progress,2.706111399880749,2.342141429186661,3.081098117274096,256,174
deployment,confirmation,end_speed,1.0170549902906447,0.8527864030062688,1.214911486058667,256,174
deployment,confirmation,failure,0.0347900390625,0.01858384693562191,0.05282904565036132,256,174
deployment,confirmation,zero_score,0.0064697265625,0.0005120885113696458,0.013759574076456798,256,174
deployment,confirmation,pdms_below50,0.0064697265625,-0.00011669417336394945,0.014113573991168898,256,174
deployment,confirmation,pdms_below95,-0.2630615234375,-0.31898391812865495,-0.2070589079267618,256,174
native_grpo,calibration,PDMS,0.0245423902305368,0.011813310171893139,0.036408889044711956,256,162
native_grpo,calibration,NC,-0.0029296875,-0.006198422476444673,-0.0008534089097701335,256,162
native_grpo,calibration,DAC,0.001708984375,-0.009156720286821464,0.010906862745098039,256,162
native_grpo,calibration,TTC,-0.0260009765625,-0.03958498023715415,-0.014620032567330209,256,162
native_grpo,calibration,Comfort,0.002685546875,0.0,0.007338428792569661,256,162
native_grpo,calibration,EP,0.08279299584575303,0.06787300364953686,0.09781554689433353,256,162
native_grpo,calibration,raw_progress,3.003398958135457,2.694577434199554,3.3362397161187074,256,162
native_grpo,calibration,end_speed,1.1108920381599527,0.964419525855198,1.2705179809064615,256,162
native_grpo,calibration,failure,0.0242919921875,0.008717973602484472,0.041184455901711284,256,162
native_grpo,calibration,zero_score,0.0008544921875,-0.008785864612295335,0.011735159495214016,256,162
native_grpo,calibration,pdms_below50,0.0018310546875,-0.007658385545613806,0.013151703159926845,256,162
native_grpo,calibration,pdms_below95,-0.2923583984375,-0.3483081750339213,-0.2377305206992707,256,162
native_grpo,confirmation,PDMS,0.008960085635556307,-0.0034660051808639084,0.020797660992736545,256,174
native_grpo,confirmation,NC,-0.004150390625,-0.008567518230347177,-0.0004920298658956689,256,174
native_grpo,confirmation,DAC,-0.00390625,-0.010912847819850831,0.0023322272740627574,256,174
native_grpo,confirmation,TTC,-0.0396728515625,-0.057087856069308114,-0.02366228667392883,256,174
native_grpo,confirmation,Comfort,-0.0006103515625,-0.001736111111111111,0.0,256,174
native_grpo,confirmation,EP,0.06727409185605697,0.05330218705026102,0.08150174325667414,256,174
native_grpo,confirmation,raw_progress,2.7671965417691764,2.432424674632135,3.127837258182856,256,174
native_grpo,confirmation,end_speed,1.0196304970847987,0.8522215013341445,1.205469606787529,256,174
native_grpo,confirmation,failure,0.0419921875,0.02507490746583354,0.06144089319800309,256,174
native_grpo,confirmation,zero_score,0.0079345703125,0.0008749128486055778,0.015749109582357534,256,174
native_grpo,confirmation,pdms_below50,0.008056640625,0.0,0.016509602105602986,256,174
native_grpo,confirmation,pdms_below95,-0.2496337890625,-0.3081409985059761,-0.19528137020301778,256,174
