split,protocol,ep_component_positive_credit,metric,mean,low,high,scenes,logs
calibration,deployment,False,failure,0.023058252427184466,0.00114087412042398,0.04841028340948031,103,85
calibration,deployment,False,PDMS,-0.0011069812625662488,-0.015901747298505776,0.01383768391306427,103,85
calibration,deployment,False,EP,0.019883448619730005,0.00487680428273333,0.03521783782652625,103,85
calibration,deployment,False,raw_progress,1.4918671899827325,1.2252261188797473,1.7906991803794026,103,85
calibration,deployment,True,failure,0.01940359477124183,0.004901648159263705,0.038024727123205745,153,113
calibration,deployment,True,PDMS,0.043347422169824006,0.02672718857736746,0.05553793236801599,153,113
calibration,deployment,True,EP,0.1260622710671099,0.10830056436789857,0.14157400598564115,153,113
calibration,deployment,True,raw_progress,3.987149925489932,3.5713854729495194,4.45031281581057,153,113
calibration,native_grpo,False,failure,0.019662921348314606,-0.008075842696629214,0.053292922325976246,89,74
calibration,native_grpo,False,PDMS,-0.0018744178337418691,-0.023462562704139142,0.019807919056152413,89,74
calibration,native_grpo,False,EP,0.011512633154075682,-0.008433795376897944,0.032083598173165036,89,74
calibration,native_grpo,False,raw_progress,1.465857902996727,1.2262744890161745,1.7398190063435355,89,74
calibration,native_grpo,True,failure,0.026758982035928143,0.009866717922765493,0.04610430283224401,167,119
calibration,native_grpo,True,PDMS,0.0386208088995236,0.023934957586917025,0.05260740166241923,167,119
calibration,native_grpo,True,EP,0.12078073404670676,0.10513110046025372,0.13544705272482088,167,119
calibration,native_grpo,True,raw_progress,3.82280706536508,3.4489394584197357,4.2231957583224435,167,119
confirmation,deployment,False,failure,0.03993055555555555,0.014203948624904508,0.07026011867512964,126,99
confirmation,deployment,False,PDMS,-0.014182754512012492,-0.03321289136344939,0.0019296840487575137,126,99
confirmation,deployment,False,EP,0.011231481866234847,-0.00631586708416254,0.028233925166828825,126,99
confirmation,deployment,False,raw_progress,1.331941133214367,1.1064350639099028,1.5772927227855802,126,99
confirmation,deployment,True,failure,0.02980769230769231,0.008927712912087911,0.0558572494558607,130,101
confirmation,deployment,True,PDMS,0.042414818283756574,0.02736108121750592,0.05664318385885222,130,101
confirmation,deployment,True,EP,0.13218017926563122,0.11451641581071417,0.1497122084137727,130,101
confirmation,deployment,True,raw_progress,4.037999504495858,3.511891365157082,4.605355617081476,130,101
confirmation,native_grpo,False,failure,0.058772935779816515,0.028738273708976834,0.09344721144677531,109,89
confirmation,native_grpo,False,PDMS,-0.032409858835747686,-0.052964680978664844,-0.013792892447775944,109,89
confirmation,native_grpo,False,EP,-0.010619900544281196,-0.026079169405110646,0.0026104848830160975,109,89
confirmation,native_grpo,False,raw_progress,1.3451815890582506,1.1349667711650455,1.5771428777553296,109,89
confirmation,native_grpo,True,failure,0.029549319727891158,0.009631849315068493,0.05265515881009939,147,110
confirmation,native_grpo,True,PDMS,0.03963575874693134,0.02521291465104341,0.05402974246472232,147,110
confirmation,native_grpo,True,EP,0.1250322222753553,0.10780627993262079,0.14203601228896898,147,110
confirmation,native_grpo,True,raw_progress,3.8216157924187732,3.3659349807802723,4.300011280478574,147,110
