source,split,selector,comparator,metric,mean,low,high,scenes,logs
native_within_group,calibration,D,A,evaluation_TTC_fail,-0.001053370786516854,-0.0033482142857142855,0.0,89,73
native_within_group,calibration,D,A,selection_TTC_fail,-0.0007022471910112359,-0.002232142857142857,0.0,89,73
native_within_group,calibration,D,A,evaluation_hard_fail,-0.0035112359550561797,-0.006696428571428571,-0.0010190217391304348,89,73
native_within_group,calibration,D,A,selection_hard_fail,-0.0056179775280898875,-0.009766213290662651,-0.002044233797236895,89,73
native_within_group,calibration,D,A,nominal_PDMS,0.0,0.0,0.0,89,73
native_within_group,calibration,D,A,nominal_raw_progress,1.3779474013685013e-05,-0.0044812539457428635,0.0044241487508019685,89,73
native_within_group,calibration,D,A,nominal_end_speed,-0.0003356742949705144,-0.0028322255785209727,0.0017360206135195466,89,73
native_within_group,calibration,D,A,nominal_EP,0.0,0.0,0.0,89,73
native_within_group,calibration,D,A,evaluation_raw_progress,-8.534844408791072e-05,-0.004272758211258649,0.004164657035874562,89,73
native_within_group,calibration,D,A,evaluation_end_speed,-0.00032856234858733214,-0.0026219082070161742,0.0017810023321782734,89,73
native_within_group,calibration,D,A,evaluation_PDMS,0.003950140449438202,0.0011673850574712645,0.007140635724090598,89,73
native_within_group,calibration,D,B,evaluation_risk,-0.004564606741573034,-0.008609968771991555,-0.0014367816091954023,89,73
native_within_group,calibration,D,B,selection_risk,-0.006320224719101123,-0.011029411764705883,-0.0027161485949098577,89,73
native_within_group,calibration,D,B,evaluation_NC_fail,0.0,0.0,0.0,89,73
native_within_group,calibration,D,B,selection_NC_fail,0.0,0.0,0.0,89,73
native_within_group,calibration,D,B,evaluation_DAC_fail,-0.0035112359550561797,-0.006747159090909091,-0.0010416666666666667,89,73
native_within_group,calibration,D,B,selection_DAC_fail,-0.0056179775280898875,-0.009958791208791208,-0.002154908299526706,89,73
native_within_group,calibration,D,B,evaluation_TTC_fail,-0.001053370786516854,-0.00338855421686747,0.0,89,73
native_within_group,calibration,D,B,selection_TTC_fail,-0.0007022471910112359,-0.002259036144578313,0.0,89,73
native_within_group,calibration,D,B,evaluation_hard_fail,-0.0035112359550561797,-0.006671348314606741,-0.0007713696928635945,89,73
native_within_group,calibration,D,B,selection_hard_fail,-0.0056179775280898875,-0.010069724462365592,-0.001838235294117647,89,73
native_within_group,calibration,D,B,nominal_PDMS,0.0,0.0,0.0,89,73
native_within_group,calibration,D,B,nominal_raw_progress,1.3779474013685013e-05,-0.0042346180809573605,0.0041373492716003666,89,73
native_within_group,calibration,D,B,nominal_end_speed,-0.0003356742949705144,-0.0026059858907291696,0.0016714635747730722,89,73
native_within_group,calibration,D,B,nominal_EP,0.0,0.0,0.0,89,73
native_within_group,calibration,D,B,evaluation_raw_progress,-8.534844408791072e-05,-0.004378797789215339,0.004089612065606204,89,73
native_within_group,calibration,D,B,evaluation_end_speed,-0.00032856234858733214,-0.0027733992125927704,0.0017550032496655274,89,73
native_within_group,calibration,D,B,evaluation_PDMS,0.003950140449438202,0.0013020833333333333,0.007085755813953488,89,73
native_within_group,confirmation,A,B,evaluation_risk,0.0,0.0,0.0,100,82
native_within_group,confirmation,A,B,selection_risk,0.0,0.0,0.0,100,82
native_within_group,confirmation,A,B,evaluation_NC_fail,0.0,0.0,0.0,100,82
native_within_group,confirmation,A,B,selection_NC_fail,0.0,0.0,0.0,100,82
native_within_group,confirmation,A,B,evaluation_DAC_fail,0.0,0.0,0.0,100,82
native_within_group,confirmation,A,B,selection_DAC_fail,0.0,0.0,0.0,100,82
native_within_group,confirmation,A,B,evaluation_TTC_fail,0.0,0.0,0.0,100,82
native_within_group,confirmation,A,B,selection_TTC_fail,0.0,0.0,0.0,100,82
native_within_group,confirmation,A,B,evaluation_hard_fail,0.0,0.0,0.0,100,82
native_within_group,confirmation,A,B,selection_hard_fail,0.0,0.0,0.0,100,82
native_within_group,confirmation,A,B,nominal_PDMS,0.0,0.0,0.0,100,82
native_within_group,confirmation,A,B,nominal_raw_progress,0.0,0.0,0.0,100,82
native_within_group,confirmation,A,B,nominal_end_speed,0.0,0.0,0.0,100,82
native_within_group,confirmation,A,B,nominal_EP,0.0,0.0,0.0,100,82
native_within_group,confirmation,A,B,evaluation_raw_progress,0.0,0.0,0.0,100,82
native_within_group,confirmation,A,B,evaluation_end_speed,0.0,0.0,0.0,100,82
native_within_group,confirmation,A,B,evaluation_PDMS,0.0,0.0,0.0,100,82
native_within_group,confirmation,C,A,evaluation_risk,-0.003125,-0.008125,0.0010453869047619183,100,82
native_within_group,confirmation,C,A,selection_risk,-0.0040625,-0.008838383838383838,-0.00031887755102040814,100,82
