split,model,protocol,scope,tolerance_m,scenes,matched_scene,matched_groups,total_groups,high_score_groups,matched_high_score_groups,candidate_pairs,full_score_pairs,all_group_coverage,high_score_group_coverage,status,generated_candidates
confirmation,a5_grpo_300,native_grpo,within_group,0.25,256,225.0,441.0,512.0,486.0,441.0,11814.0,9012.0,0.861328125,0.9074074074074074,MEASURED,
confirmation,a5_grpo_300,native_grpo,within_group,0.5,256,225.0,444.0,512.0,486.0,444.0,19326.0,15045.0,0.8671875,0.9135802469135802,MEASURED,
confirmation,a5_grpo_300,native_grpo,within_group,1.0,256,227.0,447.0,512.0,486.0,447.0,27387.0,21602.0,0.873046875,0.9197530864197532,MEASURED,
confirmation,a5_sft,deployment,merged_two_groups,0.25,256,139.0,275.0,512.0,316.0,273.0,61712.0,41592.0,0.537109375,0.8639240506329114,MEASURED,
confirmation,a5_sft,deployment,merged_two_groups,0.5,256,139.0,275.0,512.0,316.0,273.0,63438.0,42901.0,0.537109375,0.8639240506329114,MEASURED,
confirmation,a5_sft,deployment,merged_two_groups,1.0,256,139.0,275.0,512.0,316.0,273.0,63828.0,43228.0,0.537109375,0.8639240506329114,MEASURED,
confirmation,a5_sft,deployment,within_group,0.25,256,137.0,270.0,512.0,316.0,270.0,29875.0,20126.0,0.52734375,0.8544303797468354,MEASURED,
confirmation,a5_sft,deployment,within_group,0.5,256,138.0,271.0,512.0,316.0,271.0,30695.0,20755.0,0.529296875,0.8575949367088608,MEASURED,
confirmation,a5_sft,deployment,within_group,1.0,256,139.0,272.0,512.0,316.0,272.0,30886.0,20915.0,0.53125,0.8607594936708861,MEASURED,
confirmation,a5_sft,native_grpo,merged_two_groups,0.25,256,150.0,297.0,512.0,344.0,293.0,35520.0,24147.0,0.580078125,0.8517441860465116,MEASURED,
confirmation,a5_sft,native_grpo,merged_two_groups,0.5,256,152.0,301.0,512.0,344.0,297.0,52643.0,36382.0,0.587890625,0.8633720930232558,MEASURED,
confirmation,a5_sft,native_grpo,merged_two_groups,1.0,256,156.0,309.0,512.0,344.0,301.0,58911.0,41247.0,0.603515625,0.875,MEASURED,
confirmation,a5_sft,native_grpo,within_group,0.25,256,146.0,286.0,512.0,344.0,286.0,17182.0,11669.0,0.55859375,0.8313953488372093,MEASURED,
confirmation,a5_sft,native_grpo,within_group,0.5,256,149.0,293.0,512.0,344.0,293.0,25469.0,17613.0,0.572265625,0.8517441860465116,MEASURED,
confirmation,a5_sft,native_grpo,within_group,1.0,256,151.0,295.0,512.0,344.0,295.0,28501.0,19963.0,0.576171875,0.8575581395348837,MEASURED,
calibration,external,constructed,external_constructed,0.5,64,,,,,,,,,,NOT_RUN_TRIGGER_FALSE,0.0
confirmation,external,constructed,external_constructed,0.5,64,,,,,,,,,,NOT_RUN_TRIGGER_FALSE,0.0
