protocol,rule,partition,scope,model,scenes,outcome_selected,pairwise_ADE,center_shift_m,feasible_rate,mean_PDMS
eval,directional,FULL64,selected_posthoc,official_il,138,True,0.16913668712790028,0.0,0.9051177536231884,94.08759495438221
eval,directional,FULL64,selected_posthoc,original_grpo_11970,138,True,0.16913510942696655,0.45236956544112467,0.9170063405797102,95.28551243466059
eval,directional,FULL64,selected_posthoc,psi_sft,138,True,0.3100128505864869,0.4526638049578321,0.9172327898550725,95.24291267251657
eval,directional,FULL64,all_available1000,official_il,1000,False,0.14487218555435538,0.0,0.939515625,92.17669863814972
eval,directional,FULL64,all_available1000,original_grpo_11970,1000,False,0.17028789751511067,0.49914172854274513,0.946046875,95.05681631343559
eval,directional,FULL64,all_available1000,psi_sft,1000,False,0.30701064643636344,0.44111512845009565,0.91871875,92.60146978191746
eval,directional,FULL64,unselected,official_il,862,True,0.14098761337668805,0.0,0.9450224767981439,91.87077788218673
eval,directional,FULL64,unselected,original_grpo_11970,862,True,0.17047245059650729,0.5066296154430046,0.9506960556844548,95.02020370934156
eval,directional,FULL64,unselected,psi_sft,862,True,0.3065300151455084,0.4392662684059337,0.9189566415313225,92.17859377390971
eval,directional,A,selected_posthoc,official_il,138,True,0.16934970064439636,0.0,0.9053442028985508,94.10502883701002
eval,directional,A,selected_posthoc,original_grpo_11970,138,True,0.16937427465682445,0.45234076462794043,0.9184782608695652,95.33584690378999
eval,directional,A,selected_posthoc,psi_sft,138,True,0.30939993753597356,0.4539270244970702,0.9193840579710145,95.36986363422398
eval,directional,A,all_available1000,official_il,1000,False,0.1446055865008384,0.0,0.939875,92.19134541563905
eval,directional,A,all_available1000,original_grpo_11970,1000,False,0.17018548591621221,0.49910549718886615,0.94625,95.06414482185762
eval,directional,A,all_available1000,psi_sft,1000,False,0.30649160701781514,0.44229540311545135,0.918375,92.55991188396513
eval,directional,A,unselected,official_il,862,True,0.1406442318003616,0.0,0.94540313225058,91.88497846418989
eval,directional,A,unselected,original_grpo_11970,862,True,0.17031535500414202,0.5065921945130051,0.9506960556844548,95.02064727277796
eval,directional,A,unselected,psi_sft,862,True,0.3060260042202445,0.44043326419356804,0.9182134570765661,92.11005881953854
eval,directional,B,selected_posthoc,official_il,138,True,0.16892367361140423,0.0,0.904891304347826,94.0701610717544
eval,directional,B,selected_posthoc,original_grpo_11970,138,True,0.1688959441971088,0.4524980902239896,0.9155344202898551,95.23517796553121
eval,directional,B,selected_posthoc,psi_sft,138,True,0.31062576363700023,0.45258526007334393,0.9150815217391305,95.11596171080915
eval,directional,B,all_available1000,official_il,1000,False,0.14513878460787236,0.0,0.93915625,92.16205186066037
eval,directional,B,all_available1000,original_grpo_11970,1000,False,0.17039030911400915,0.49925880499184133,0.94584375,95.04948780501354
eval,directional,B,all_available1000,psi_sft,1000,False,0.3075296858549118,0.4410620844811201,0.9190625,92.64302767986979
eval,directional,B,unselected,official_il,862,True,0.1413309949530146,0.0,0.9446418213457076,91.85657730018357
eval,directional,B,unselected,original_grpo_11970,862,True,0.17062954618887255,0.5067448590962074,0.9506960556844548,95.01976014590515
eval,directional,B,unselected,psi_sft,862,True,0.30703402607077235,0.43921730695011446,0.9196998259860789,92.24712872828088
eval,practical,FULL64,selected_posthoc,official_il,114,True,0.1724872687798843,0.0,0.881578947368421,92.20496257821759
eval,practical,FULL64,selected_posthoc,original_grpo_11970,114,True,0.1724871897808554,0.4402358599922113,0.9000822368421053,93.39489275755915
eval,practical,FULL64,selected_posthoc,psi_sft,114,True,0.3132376448627104,0.5420649602617088,0.9028234649122807,93.1386033025463
eval,practical,FULL64,all_available1000,official_il,1000,False,0.14487218555435538,0.0,0.939515625,92.17669863814972
eval,practical,FULL64,all_available1000,original_grpo_11970,1000,False,0.17028789751511067,0.49914172854274513,0.946046875,95.05681631343559
eval,practical,FULL64,all_available1000,psi_sft,1000,False,0.30701064643636344,0.44111512845009565,0.91871875,92.60146978191746
eval,practical,FULL64,unselected,official_il,886,True,0.14131900328831665,0.0,0.9469702313769752,92.17306196866015
