protocol,rule,partition,condition,selected_scenes,mean_margin,passes,interpretation
eval,practical,A,RL_center_small,114,0.05946466431283114,True,descriptive_only_selection_used_FULL64_including_both_halves
eval,practical,A,PSI_center_larger,114,0.0027957401646856684,True,descriptive_only_selection_used_FULL64_including_both_halves
eval,practical,A,RL_ADE_not_up,114,-0.00021611742283168592,False,descriptive_only_selection_used_FULL64_including_both_halves
eval,practical,A,PSI_ADE_up,114,0.1301323207507008,True,descriptive_only_selection_used_FULL64_including_both_halves
eval,practical,B,RL_PDMS_gain_min,114,0.13923838983627415,True,descriptive_only_selection_used_FULL64_including_both_halves
eval,practical,B,PSI_PDMS_gain_min,114,0.7141516136206075,True,descriptive_only_selection_used_FULL64_including_both_halves
eval,practical,B,PSI_PDMS_gain_max,114,0.18584838637939322,True,descriptive_only_selection_used_FULL64_including_both_halves
eval,practical,B,RL_feasible_gain_min,114,0.015721491228070192,True,descriptive_only_selection_used_FULL64_including_both_halves
eval,practical,B,RL_feasible_gain_max,114,0.0032785087719298324,True,descriptive_only_selection_used_FULL64_including_both_halves
eval,practical,B,PSI_feasible_gain_min,114,-0.0010855263157894823,False,descriptive_only_selection_used_FULL64_including_both_halves
eval,practical,B,PSI_feasible_gain_larger,114,0.001192982456140351,True,descriptive_only_selection_used_FULL64_including_both_halves
eval,practical,B,RL_center_small,114,0.05994572346670586,True,descriptive_only_selection_used_FULL64_including_both_halves
eval,practical,B,PSI_center_larger,114,0.001756694546917031,True,descriptive_only_selection_used_FULL64_including_both_halves
eval,practical,B,RL_ADE_not_up,114,0.0002162754208895198,True,descriptive_only_selection_used_FULL64_including_both_halves
eval,practical,B,PSI_ADE_up,114,0.13136843141495136,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,directional,FULL64,RL_PDMS_up,293,4.999743895728609,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,directional,FULL64,PSI_PDMS_up,293,1.0961471169549606,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,directional,FULL64,RL_PDMS_gain_larger,293,3.9025967787736486,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,directional,FULL64,RL_feasible_up,293,0.00020331058020477594,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,directional,FULL64,PSI_feasible_gain_larger,293,4.3327645051192115e-05,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,directional,FULL64,RL_ADE_not_up,293,0.002965489141770192,True,descriptive_only_selection_used_FULL64_including_both_halves
