comparison,n_tokens,safety_regression_fraction,safety_regression_contribution,nonregression_contribution,total_delta,worst5_contribution,zero_score_repairs,new_zero_scores,NC_repairs,NC_regressions,DAC_repairs,DAC_regressions,TTC_repairs,TTC_regressions,mean_trajectory_shift_ADE_m,mean_endpoint_x_shift_m,mean_endpoint_y_shift_m
official_core_pareto_300,12138,0.04341736694677871,-3.058043856453354,4.426607196248092,1.3685633397947377,-3.229457594256351,471,347,126,110,365,262,377,251,0.7017637913604656,-0.17954955641766476,-0.16648244237090518
official_core_pareto_1330,12138,0.03896852858790575,-2.617789884856817,5.375090432669374,2.7573005478125574,-2.8287306236017207,555,279,153,121,423,177,433,264,0.793131607303836,0.6227979301954537,0.07048109065250856
official_core_pareto_2660,12138,0.03649695172186522,-2.4763540685206116,5.699622536236735,3.2232684677161227,-2.744952437823476,615,264,167,123,470,157,483,259,1.0824625083723647,-0.9224428442188809,0.3008360701664843
official_core_pareto_3990,12138,0.03031800955676388,-2.044615354385804,5.565473465454205,3.5208581110684007,-2.382376493618498,580,217,145,102,456,124,407,216,0.703258038079053,-0.1656883743159322,0.05718226039168037
