family,step,checkpoint,protocol,n_valid,PDMS,NC,DAC,TTC,EP,DDC,Comfort,feasible,zero_score
a5_lfp,0,epoch_155.ckpt,historical_seed0_common_noise,12138,87.31108161586228,98.08040863404185,95.37815126050421,94.29065743944636,82.05859564207391,98.02685780194432,99.96704564178613,87.88103476684792,6.351952545724172
a5_lfp,300,step-step_300.ckpt,historical_seed0_common_noise,12138,86.72412392959149,96.07019278299556,95.02389190970506,89.52051408798813,86.52939237707503,96.87345526445873,99.95880705223266,82.03163618388531,8.6422804415884
a5_lfp,1614,epoch_0-step_1614.ckpt,historical_seed0_common_noise,12138,85.64140226452939,95.03624979403527,94.43071346185533,87.92222771461525,86.55014596932382,96.76635360026363,99.94232987312573,80.06261328060637,10.158180919426595
a5_lfp,3228,epoch_1-step_3228.ckpt,historical_seed0_common_noise,12138,87.00062384325525,95.33283901796013,95.34519690229033,88.88614269237107,87.58524774423881,97.14944801449991,99.98352282089307,82.11402207942,8.988301202834075
a5_lfp,4842,epoch_2-step_4842.ckpt,historical_seed0_common_noise,12138,87.66407967826864,95.8230350963915,95.44405997693195,89.69352446861097,88.0954322871938,97.09177788762564,100.0,82.88844949744603,8.411599934091283
a5_watcher,1614,epoch=0-step=1614.ckpt,historical_watcher_not_CRN,12138,85.45357932764419,95.07332344702589,94.24946449167902,87.93046630416873,86.3687068309641,96.77047289504036,99.90113692535839,,
a5_watcher,3228,epoch=1-step=3228.ckpt,historical_watcher_not_CRN,12138,86.8949360118157,95.28752677541604,95.3534354918438,88.71313231174824,87.52133366970732,97.08353929807217,99.98352282089307,,
a5_watcher,4842,epoch=2-step=4842.ckpt,historical_watcher_not_CRN,12138,87.38642416731668,95.74476849563356,95.24633382764873,89.66880869995056,87.78269060351832,97.07942000329544,99.99176141044653,,
a5_watcher,6456,epoch=3-step=6456.ckpt,historical_watcher_not_CRN,12138,86.50915692245707,95.13511286867688,94.98269896193771,88.30944142362827,87.56443454635264,96.98467622343054,99.95880705223266,,
a5_watcher,8070,epoch=4-step=8070.ckpt,historical_watcher_not_CRN,12138,87.03266911155917,95.20102158510464,95.39462843961114,88.7460866699621,87.76434935767456,97.0753007085187,100.0,,
v6_lfp,0,eval_baseline-epoch_165,historical_seed0_common_noise,12138,87.21567393965404,98.16279452957653,95.3534354918438,94.65315537979897,81.47354159392052,98.10512440270226,99.98352282089307,88.21881693854013,6.277805239742956
v6_lfp,300,eval_lfp-step_300,historical_seed0_common_noise,12138,86.90459377936264,97.18652166749052,95.40286702916461,92.05799967045641,83.56459225105613,97.91151754819575,99.98352282089307,85.60718405009062,7.1922886801779535
