run,path,step_from_name,bytes,sha256,epoch,global_step,state_dict_key_count
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/lightning_logs/version_0/checkpoints/epoch=0-step=1614.ckpt,1614,596153385,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/lightning_logs/version_0/checkpoints/epoch=1-step=3228.ckpt,3228,596153385,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/lightning_logs/version_0/checkpoints/epoch=2-step=4842.ckpt,4842,596153385,f8df21e4b3ee3ae7cc6f50f4b3d6065d7631784885dd4e9bf96409cd3ec2e4c8,2.0,4842.0,785.0
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/lightning_logs/version_0/checkpoints/epoch=3-step=6456.ckpt,6456,596153385,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/lightning_logs/version_0/checkpoints/epoch=4-step=8070.ckpt,8070,596153385,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=1200.ckpt,1200,583034729,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=1500.ckpt,1500,583137961,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=1800.ckpt,1800,596216617,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=2100.ckpt,2100,596315625,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=2400.ckpt,2400,596410665,,,,
