comparison,metric,unit,baseline_mean,after_mean,mean_difference,median_difference,ci_low,ci_high,token_win_fraction,scene_win_fraction,n_tokens,n_scene_clusters,seed_protocol
official_core_pareto_300,PDMS,points,85.95052234512293,87.31908568491767,1.3685633397947377,0.0,0.7295614298159445,2.006165592502112,0.41843796342066236,0.5045719035743973,12138,1203,CRN_seed0_historical_long_run
official_core_pareto_300,NC,percentage_points,97.94859120118635,98.08864722359532,0.1400560224089636,0.0,-0.17465434983691155,0.4648886713971128,0.010380622837370242,0.05901911886949293,12138,1203,CRN_seed0_historical_long_run
official_core_pareto_300,DAC,percentage_points,94.38952051408799,95.23809523809523,0.84857472400725,0.0,0.2772348690377288,1.4224825401972845,0.03007085187015983,0.13050706566916043,12138,1203,CRN_seed0_historical_long_run
official_core_pareto_300,TTC,percentage_points,93.73043334981051,94.76849563354753,1.0380622837370241,0.0,0.49321436992322426,1.6283308287177385,0.031059482616576043,0.1487946799667498,12138,1203,CRN_seed0_historical_long_run
official_core_pareto_300,EP,percentage_points,80.6867373520872,81.90385753767112,1.2171201855839067,0.0,0.6282357833041099,1.83780749080708,0.4092107431207777,0.49625935162094764,12138,1203,CRN_seed0_historical_long_run
official_core_pareto_300,DDC,percentage_points,97.98566485417697,97.1700444883836,-0.8156203657933762,0.0,-1.0476672779242286,-0.5844880195459592,0.00461361014994233,0.029093931837073983,12138,1203,CRN_seed0_historical_long_run
official_core_pareto_300,Comfort,percentage_points,99.90937551491184,98.97017630581645,-0.9391992090954029,0.0,-1.1358863167302782,-0.7510595830822493,0.0005767012687427913,0.004987531172069825,12138,1203,CRN_seed0_historical_long_run
official_core_pareto_300,feasible,percentage_points,86.40632723677706,87.86455758774098,1.458230350963915,0.0,0.6392468158227267,2.275205041472891,0.05874114351623002,0.2344139650872818,12138,1203,CRN_seed0_historical_long_run
official_core_pareto_300,zero_score,percentage_points,7.464162135442412,6.442577030812324,-1.0215851046300872,0.0,-1.6512160776570355,-0.4013284089090486,0.03880375679683638,0.17040731504571904,12138,1203,CRN_seed0_historical_long_run
official_core_pareto_1330,PDMS,points,85.95052234512293,88.7078228929355,2.7573005478125574,0.0,2.007838456932883,3.496439759559392,0.46482122260668973,0.5785536159600998,12138,1203,CRN_seed0_historical_long_run
official_core_pareto_1330,NC,percentage_points,97.94859120118635,98.20398747734387,0.2553962761575218,0.0,-0.1386270804264921,0.6510695257753275,0.012605042016806723,0.06400665004156277,12138,1203,CRN_seed0_historical_long_run
official_core_pareto_1330,DAC,percentage_points,94.38952051408799,96.41621354424123,2.026693030153238,0.0,1.3894059922076945,2.667619533544612,0.034849233811171526,0.16791354945968412,12138,1203,CRN_seed0_historical_long_run
official_core_pareto_1330,TTC,percentage_points,93.73043334981051,95.12275498434668,1.3923216345361673,0.0,0.7231404821874562,2.0763955166192445,0.03567309276651837,0.1512884455527847,12138,1203,CRN_seed0_historical_long_run
official_core_pareto_1330,EP,percentage_points,80.6867373520872,83.33400788433033,2.6472705322431156,0.0,1.9171920173932058,3.3775289415243748,0.45262811006755643,0.572734829592685,12138,1203,CRN_seed0_historical_long_run
official_core_pareto_1330,DDC,percentage_points,97.98566485417697,96.68396770472894,-1.3016971494480145,0.0,-1.6597514330274228,-0.9677302517635544,0.0046959960454770145,0.02826267664172901,12138,1203,CRN_seed0_historical_long_run
official_core_pareto_1330,Comfort,percentage_points,99.90937551491184,99.5304003954523,-0.37897511945954854,0.0,-0.5018518642771356,-0.2661510035901091,0.0004119294776734223,0.004156275976724855,12138,1203,CRN_seed0_historical_long_run
official_core_pareto_1330,feasible,percentage_points,86.40632723677706,88.64722359532048,2.2408963585434174,0.0,1.2758549610391718,3.1604799247436666,0.06739166254737189,0.2543640897755611,12138,1203,CRN_seed0_historical_long_run
