run,tag,phase,step,mean,n
a5_lfp,epoch,steps_0_300,299,0.0,30
a5_lfp,epoch,steps_301_1613,1613,0.0,132
a5_lfp,epoch,steps_1614_plus,8199,2.5483383685800605,662
a5_lfp,lr-AdamW,steps_0_300,0,9.999999747378752e-06,1
a5_lfp,lr-AdamW,steps_1614_plus,8070,8.541446550225374e-06,5
a5_lfp,train/bc_coeff_epoch,epoch_observation,1613,0.0,1
a5_lfp,train/bc_coeff_epoch,epoch_observation,3227,0.0,1
a5_lfp,train/bc_coeff_epoch,epoch_observation,4841,0.0,1
a5_lfp,train/bc_coeff_epoch,epoch_observation,6455,0.0,1
a5_lfp,train/bc_coeff_epoch,epoch_observation,8069,0.0,1
a5_lfp,train/bc_coeff_step,steps_0_300,299,0.0,30
a5_lfp,train/bc_coeff_step,steps_301_1613,1609,0.0,131
a5_lfp,train/bc_coeff_step,steps_1614_plus,8199,0.0,659
a5_lfp,train/bc_loss_epoch,epoch_observation,1613,0.0,1
a5_lfp,train/bc_loss_epoch,epoch_observation,3227,0.0,1
a5_lfp,train/bc_loss_epoch,epoch_observation,4841,0.0,1
a5_lfp,train/bc_loss_epoch,epoch_observation,6455,0.0,1
a5_lfp,train/bc_loss_epoch,epoch_observation,8069,0.0,1
a5_lfp,train/bc_loss_step,steps_0_300,299,0.0,30
a5_lfp,train/bc_loss_step,steps_301_1613,1609,0.0,131
a5_lfp,train/bc_loss_step,steps_1614_plus,8199,0.0,659
a5_lfp,train/lfp_advantage_clip_ratio_epoch,epoch_observation,1613,0.022695641964673996,1
a5_lfp,train/lfp_advantage_clip_ratio_epoch,epoch_observation,3227,0.024737263098359108,1
a5_lfp,train/lfp_advantage_clip_ratio_epoch,epoch_observation,4841,0.02158104069530964,1
a5_lfp,train/lfp_advantage_clip_ratio_epoch,epoch_observation,6455,0.01896457001566887,1
a5_lfp,train/lfp_advantage_clip_ratio_epoch,epoch_observation,8069,0.01729206182062626,1
a5_lfp,train/lfp_advantage_clip_ratio_step,steps_0_300,299,0.025130208333333334,30
a5_lfp,train/lfp_advantage_clip_ratio_step,steps_301_1613,1609,0.022118022423664122,131
