scope,policy,protocol,origin,kind,scenes,teachers,nearest_rollout_ADE,weighted_nearest_rollout_ADE,mean_rollout_ADE,weighted_mean_rollout_ADE,epsilon_mse,weighted_epsilon_mse,teacher_PDMS,weighted_teacher_PDMS,teacher_GT_ADE,weighted_teacher_GT_ADE,hit16_0p25,weighted_hit16_0p25,hit64_0p25,weighted_hit64_0p25,mass64_0p25,weighted_mass64_0p25,hit16_0p5,weighted_hit16_0p5,hit64_0p5,weighted_hit64_0p5,mass64_0p5,weighted_mass64_0p5,hit16_1p0,weighted_hit16_1p0,hit64_1p0,weighted_hit64_1p0,mass64_1p0,weighted_mass64_1p0
COMMON_TRAIN835,a5_sft,eval,a5_sft,NON_GT,809,7748,1.2778998157653991,1.3984537687738632,1.5946193693801085,1.7412241047546124,0.1596148557923144,0.1619746007284771,98.07185381893314,98.60899065071644,1.540263324338052,1.6927838524147722,0.0864038919122355,0.0792457642476264,0.1077611716672285,0.0976096982821352,0.059678225811666,0.0552354075330176,0.2190420784750203,0.1955530393648425,0.2612261588157756,0.2332117091530078,0.1758510283280447,0.155515866471174,0.4578930863464238,0.4073173884394491,0.5199628725895722,0.4693179860707182,0.3925764632462716,0.3463866475278778
COMMON_TRAIN835,a5_sft,eval,psi_sft,NON_GT,767,962,1.3515133348814512,1.3394155013162483,1.4889270416171538,1.4762427760789645,1.469268542114835,1.459530049087927,98.53742712308288,98.53742712308288,1.4252046007545534,1.4126920877850948,0.0231421121251629,0.0233376792582259,0.0280312907431551,0.0285528030979897,0.0130174380704041,0.0130337353314927,0.0784984789222077,0.0793350716613262,0.0847457627118644,0.0857887874215336,0.0641127498913515,0.0640991688408491,0.1792698826597131,0.1882170791090545,0.2090395480225988,0.2180573659350384,0.1545489732724902,0.1612512219923085
COMMON_TRAIN835,a5_sft,eval,v6_sft,NON_GT,769,1257,1.0896633513849898,1.0820046344824077,1.326195105425868,1.317603821335588,0.1417595090258359,0.1426545028829891,96.76167072362382,96.74973268339174,1.2520641871720284,1.2458040424596664,0.0061768530559167,0.0061768530559167,0.0208062418725617,0.0208062418725617,0.0004266905071521,0.0004266905071521,0.0270914607715648,0.0280660323727588,0.0658864325964456,0.0671630471989793,0.0032204973992197,0.0035378595538977,0.2846770697876029,0.2952463675622968,0.3777633289986996,0.3884091418941784,0.1940425877763329,0.2039434445565706
COMMON_TRAIN835,official_il,eval,a5_sft,NON_GT,809,7748,1.329094097345636,1.4670353388994628,1.540050279517824,1.6835203658885896,0.0222076214940673,0.0253628355953974,98.07185381893314,98.60899065071644,1.540263324338052,1.6927838524147722,0.0913754688862847,0.0827501827998457,0.1076365366538419,0.0977606617835727,0.0433027402033312,0.0389543817980429,0.2363335366734625,0.2091438886592482,0.2566860553263519,0.2275799301334646,0.1665546979094762,0.1473114518049222,0.4871566628674169,0.4319695378858147,0.5084176124658202,0.451605464927207,0.4095748298921583,0.3620735635471905
COMMON_TRAIN835,official_il,eval,psi_sft,NON_GT,767,962,1.2761983065026083,1.2624210202772832,1.4108940309536089,1.3971624964852267,0.0365078439662517,0.0362650789571728,98.53742712308288,98.53742712308288,1.4252046007545534,1.4126920877850948,0.0290634506736201,0.0305736635506852,0.0373750543242068,0.0393741850436433,0.0091875814863103,0.0096479791132769,0.0723598435462842,0.0761408081576908,0.0769230769230769,0.0807040415344835,0.051193774445893,0.0534529822855469,0.2073011734028683,0.2193937412957324,0.2225119513255106,0.2347457621445711,0.1630269448066058,0.1710346720783669
COMMON_TRAIN835,official_il,eval,v6_sft,NON_GT,769,1257,1.0133728405475249,1.0087291376194132,1.240409997542557,1.2351716747733033,0.0126694875780041,0.0126562933320802,96.76167072362382,96.74973268339174,1.2520641871720284,1.2458040424596664,0.0100780234070221,0.0101379097980702,0.0117035110533159,0.0119430566175086,0.0042567457737321,0.0043259894133815,0.0486020806241872,0.0495599779759795,0.0602514087559601,0.0613783948970961,0.0205556458604247,0.0208752611682952,0.4484178586909406,0.4548886487001516,0.5039011703511054,0.5100122231589093,0.2759942566103164,0.2819796559384732
COMMON_TRAIN835,psi_sft,eval,a5_sft,NON_GT,809,7748,1.1764519925293242,1.3013274715172185,1.5152159823208375,1.6507573652707452,0.0156706162645196,0.0173923416102584,98.07185381893314,98.60899065071644,1.540263324338052,1.6927838524147722,0.0951737933814571,0.0833070889916507,0.1293495167104561,0.1137515477879837,0.0284295168932838,0.0253585597781407,0.2773199280461332,0.245104118963149,0.318865593958301,0.2813908237970671,0.1521347585146449,0.1346387174543716,0.5489344709678455,0.4957766551611827,0.5820102847296914,0.5278668573777616,0.4325248563520157,0.3861038470648387
COMMON_TRAIN835,psi_sft,eval,psi_sft,NON_GT,767,962,1.129820206292825,1.1176362240853943,1.3559261486031398,1.3433068680385352,0.0227108859500054,0.022529384324089,98.53742712308288,98.53742712308288,1.4252046007545534,1.4126920877850948,0.0262929161234245,0.0288135591976956,0.0373750543242068,0.0401564535758952,0.0069433126901347,0.0081404823472303,0.083496305953933,0.0881681875113247,0.0956106040851803,0.1003911340563051,0.0502329150369404,0.0535375242828205,0.3075836592785745,0.3227020853637405,0.3428943937418514,0.3580834412901156,0.1984157703172533,0.2099932768549697
COMMON_TRAIN835,psi_sft,eval,v6_sft,NON_GT,769,1257,0.8367563368478894,0.830845472631631,1.1829770806584206,1.1762212442972018,0.0105674948304714,0.0105225201403874,96.76167072362382,96.74973268339174,1.2520641871720284,1.2458040424596664,0.0324013870827915,0.0328834350162388,0.0509319462505418,0.0517115437494971,0.0065899978326831,0.0067711057856995,0.1696467273515387,0.1721209672622304,0.2206328565236237,0.2238954401484601,0.0601227243172951,0.0611256177815668,0.6176853055916776,0.6241417016199394,0.6922410056350238,0.6982765234960465,0.3938285652362375,0.3998747012121164
COMMON_TRAIN835,v6_sft,eval,a5_sft,NON_GT,809,7748,1.4068457249926198,1.555846946081927,1.5721942555475508,1.7281108594290024,0.2986802434195471,0.3127449186057771,98.07185381893314,98.60899065071644,1.540263324338052,1.6927838524147722,0.1012920347747294,0.0918057112632805,0.1208111487468718,0.1091242014543576,0.0722253290397797,0.0672146540655779,0.2219434767951455,0.193160499005328,0.2483655199353592,0.2177171028996385,0.1819222354716599,0.1583004921873984,0.4520781606458368,0.3964641699663844,0.481672320949206,0.4258614370775468,0.4070491739474473,0.3562471288577902
