model,common_train,mean_PDMS,max_PDMS,min_PDMS,std_PDMS,range_PDMS,P10_PDMS,CVaR25_PDMS,feasible_rate,safe_count,hard_failure_rate,zero_score_rate,all_safe_group,no_safe_group,best_safe_PDMS,pairwise_ADE,Spread_AUC,endpoint_spread,nonredundant_0p1m,HQ_mass,Hit16,D_HQ,zero_variance_group,train_reward_mean,train_reward_min,train_reward_max,vanilla_proxy_positive_infeasible_count,infeasible_count,vanilla_proxy_positive_count,best_is_unsafe,NC,DAC,EP,TTC,Comfort,DDC,center_shift_IL_eval,center_shift_own_eval,CRN_shift_own_eval,GT_center_distance,HQ_threshold,HQ_threshold_above_100,center_shift_SFT_parent,CRN_shift_SFT_parent,step,protocol
official_il,0.835,92.17669863814972,94.17751149856419,88.86524877226607,1.9445068494326425,5.312262726298098,90.16006278856867,90.0549760890667,0.939515625,15.03225,0.02121875,0.02121875,0.90225,0.04025,95.42932911736838,0.14487218555435535,0.12118399973213669,0.2679278821796178,4.53775,0.08275,0.28125,0.09584656667085326,0.328,90.28723263621136,86.95241003143447,92.43148682150238,0.173,0.96775,5.64475,0.04225,99.271875,98.4328125,85.75251423155932,97.6359375,100.0,98.253125,0.0,0.0,0.0,0.3798191663697763,93.17669863814972,0.353,,,0,eval
original_grpo_11970,0.835,95.05681631343559,95.81506055090433,94.12360895126473,0.5279809855892313,1.6914515996396087,94.54871260370572,94.5047856708735,0.946046875,15.13675,0.008453125,0.008453125,0.93525,0.04125,96.67066387067882,0.17028789751511064,0.14250931847095485,0.2669012134745717,5.657,0.40921875,0.48325,0.16199530700505743,0.40625,93.64197597190906,92.55538910766784,94.48743842480611,0.1765,0.86325,4.996,0.04625,99.2328125,99.871875,90.24635915224539,98.25625,100.0,97.30546875,0.49914172897,0.0,0.0,0.638511818881881,93.17669863814972,0.353,0.49914172854274513,0.5017840150743723,11970,eval
official_il,0.835,69.22866064523296,96.71847800711924,21.982802566256197,27.2758538059418,74.73567544086306,36.483130134654694,35.78225153882502,0.690859375,11.05375,0.18165625,0.177546875,0.16675,0.02125,96.98368101305017,1.995544300764799,1.597042635679245,1.6758402483463288,16.0,0.106140625,0.552,1.828919814081713,0.0035,69.63908341091712,24.463148823976752,95.5875739371092,0.866,4.94625,9.718,0.04725,95.034375,86.1921875,70.74599110318096,83.4078125,69.35625,96.89609375,0.17659184979599998,0.17659184979599998,1.3909118868,0.4483149904824999,93.17669863814972,0.353,,,0,native_grpo
original_grpo_11970,0.835,79.05744500932043,97.76261424366905,30.844208924487763,22.27929210688456,66.91840531918128,52.01083086475957,50.067933068740814,0.770484375,12.32775,0.093875,0.091359375,0.2115,0.0215,97.9566646979721,1.9950876265764237,1.5967101004123687,1.6725672088861465,16.0,0.213203125,0.60175,1.869808169157127,0.004,79.73505104257003,34.53798811946136,97.03340791446294,0.9255,3.67225,10.43925,0.06975,96.57421875,93.84375,81.4322258855639,87.2390625,71.04375,95.21171875,0.5234722017200001,0.177819540054,1.3882830107,0.6644553266768691,93.17669863814972,0.353,0.4981897150427103,0.5090448278486729,11970,native_grpo
a5_sft,0.835,94.17319825242177,95.30818835752576,93.09610213711134,0.7526741699251479,2.2120862204144234,93.53314872702967,93.4738488746301,0.967515625,15.48025,0.007390625,0.006640625,0.95575,0.025,95.56371158270973,0.08584314150409769,0.08920366160757835,0.16532024090737102,1.96475,0.226046875,0.301,0.20109391368232285,0.368,92.15582032694839,91.0503794876866,93.52038356356579,0.0855,0.51975,4.54675,0.027,99.96171875,99.3359375,87.32917274298156,99.6703125,99.9359375,98.565625,0.462592045459,0.0,0.0,0.21020030863530667,93.17669863814972,0.353,,,0,eval
a5_grpo_300,0.835,96.40391538203961,98.49923458601457,92.27708877709989,2.271432878900627,6.222145808914669,94.0066018722759,93.84651341964774,0.937078125,14.99325,0.010828125,0.009609375,0.875,0.03125,99.12564525459561,0.4747352197021246,0.43015068769454956,0.8258688579741865,7.84075,0.58259375,0.62475,0.5413082018653552,0.46275,96.11324818640888,92.00956650884693,98.24009588613822,0.2015,1.00675,5.32575,0.04325,99.70390625,99.271875,95.4502775628173,97.13125,99.8828125,98.0734375,1.604797903669,0.0,0.0,1.6042792744691265,93.17669863814972,0.353,1.668959041416645,1.6710927176885306,300,eval
a5_grpo_4842,0.835,98.22579975034284,99.05672060086131,96.46522895377473,0.9325791127811976,2.591491647086588,97.24713720911588,97.18378531998513,0.96259375,15.4015,0.0064375,0.00553125,0.93675,0.024,99.28315874642563,0.3230410411406774,0.2808756393045187,0.4726310213394463,7.9,0.616921875,0.631,0.3490236237358815,0.61475,97.91215847107225,96.14944087591725,98.78007614239245,0.0675,0.5985,3.71125,0.02975,99.92421875,99.4640625,97.19581738566427,99.33125,100.0,98.1515625,1.952645544942,0.0,0.0,1.9623827119060342,93.17669863814972,0.353,2.020070169115439,2.023104396812618,4842,eval
a5_sft,0.835,93.99749063529812,96.90439486673182,89.08778354093376,2.4709769888643605,7.816611325798052,92.03123145886615,91.54736051597516,0.962625,15.402,0.010390625,0.009765625,0.90375,0.02025,96.9243797946846,0.32019979351572686,0.3211317261457443,0.5669375097453594,9.9155,0.24575,0.4635,0.6136168380370028,0.33625,92.08368163218557,87.19594955835257,95.65032216479786,0.11275,0.598,4.749,0.028,99.94453125,99.0375,87.50434180068842,99.4828125,99.934375,98.52109375,0.44885516967,0.07245754912869999,0.178830973053,0.21000684345962448,93.17669863814972,0.353,,,0,native_grpo
a5_grpo_300,0.835,95.78215050605928,98.9007307575887,87.1027958665551,4.021655044507013,11.79793489103362,92.1065397255615,91.27689346974181,0.924609375,14.79375,0.0153125,0.013828125,0.8025,0.02675,99.30435003418424,0.6786888293549418,0.5970548459887505,1.0863315725922584,13.645,0.575109375,0.63125,0.728842428615302,0.4105,95.60853233208368,87.14806475278365,98.65985518718406,0.276,1.20625,6.27425,0.04125,99.5390625,98.99375,95.23693830375842,96.2734375,99.8890625,97.91015625,1.739348820865,0.17329201899899999,0.28124042203,1.7545733109655688,93.17669863814972,0.353,1.758803582046181,1.762539928343147,300,native_grpo
a5_grpo_4842,0.835,97.73493784113185,99.19573409165055,92.88537956699669,2.1343780958455563,6.310354524653852,95.77177308603963,95.33362466628996,0.955796875,15.29275,0.009984375,0.00903125,0.886,0.02325,99.38277563413757,0.5097597999162972,0.43631489285081626,0.6988170245438814,13.72575,0.6121875,0.633,0.5374928926079525,0.53675,97.4404085698332,92.72935938870121,98.9469187176243,0.10675,0.70725,4.8495,0.03025,99.85546875,99.171875,96.77182377877548,98.9953125,99.9953125,98.103125,2.007412640368,0.0962854478072,0.21335778378200002,2.0215926116385186,93.17669863814972,0.353,2.015513783087954,2.0222105947155504,4842,native_grpo
