model,protocol,common_train,mean_PDMS,max_PDMS,min_PDMS,std_PDMS,range_PDMS,P10_PDMS,CVaR25_PDMS,feasible_rate,safe_count,hard_failure_rate,zero_score_rate,all_safe_group,no_safe_group,best_safe_PDMS,pairwise_ADE,Spread_AUC,endpoint_spread,nonredundant_0p1m,HQ_mass,Hit16,D_HQ,zero_variance_group,train_reward_mean,train_reward_min,train_reward_max,vanilla_proxy_positive_infeasible_count,infeasible_count,vanilla_proxy_positive_count,best_is_unsafe,NC,DAC,EP,TTC,Comfort,DDC,center_shift_IL_eval,center_shift_own_eval,CRN_shift_own_eval,GT_center_distance,HQ_threshold,HQ_threshold_above_100,center_shift_SFT_parent,CRN_shift_SFT_parent
a5_sft,clip_only,0.80078125,95.22835072464132,97.09183772572916,93.14173304621751,1.1983206271272437,3.9501046795116554,94.4033209906077,94.14885694757243,0.97625732421875,15.6201171875,0.00250244140625,0.00244140625,0.943359375,0.015625,97.0847648898145,0.20864180653734363,0.24478016195644156,0.45889100115164183,3.4609375,0.23541259765625,0.431640625,0.5334096103695652,0.3896484375,93.45419906989804,91.43791540348353,95.89435914220587,0.0751953125,0.3798828125,3.6708984375,0.0234375,99.9847412109375,99.76806640625,89.19812555803472,99.6826171875,100.0,98.8525390625,0.4592929172460937,0.06265290996484375,0.08168471914648437,0.20198916162694708,92.93519311787456,0.37890625,,
a5_sft,eval,0.80078125,95.11488959911745,95.97668805463537,94.2195368642611,0.6541062603457425,1.7571511903742767,94.3971406552853,94.38149795317524,0.977294921875,15.63671875,0.002685546875,0.002685546875,0.9658203125,0.015625,95.97547337104609,0.08578170244618373,0.08783247158862646,0.16047690452251115,1.955078125,0.21636962890625,0.291015625,0.16659069752126038,0.40234375,93.26601429158492,92.36209432307449,94.32003019477935,0.0615234375,0.36328125,4.2919921875,0.0185546875,100.0,99.7314453125,88.82871355350689,99.822998046875,100.0,98.8800048828125,0.47571702213281253,0.0,0.0,0.2042247877239394,92.93519311787456,0.37890625,,
a5_sft,floor_and_clip,0.80078125,94.8274655203801,97.16598278081264,89.1774248821685,2.3890383775015054,7.988557898644154,93.18095607816899,92.42168875025378,0.97186279296875,15.5498046875,0.0062255859375,0.00616455078125,0.8984375,0.013671875,97.15549327078494,0.3160759747042902,0.31624279331299476,0.5543033499270678,9.9267578125,0.234619140625,0.4501953125,0.6207041170448064,0.357421875,93.07601635046308,87.5416127012967,95.99903451408844,0.0751953125,0.4501953125,4.7373046875,0.0234375,99.9664306640625,99.4140625,88.8744178296864,99.554443359375,99.981689453125,98.8494873046875,0.45768330417187497,0.0686649427796875,0.17593487287109374,0.2014258979289044,92.93519311787456,0.37890625,,
a5_sft,floor_only,0.80078125,94.99739607742342,96.09903089914648,92.69600248722845,1.1049978480997291,3.4030284119180285,94.12770502195843,93.82568105816655,0.9764404296875,15.623046875,0.0037841796875,0.0037841796875,0.94921875,0.015625,96.09653398589263,0.16957254918088435,0.15361700844368895,0.251768066547811,5.4560546875,0.2156982421875,0.3076171875,0.2249937012525541,0.3876953125,93.15507272511248,90.83162667314605,94.49274950467739,0.0625,0.376953125,4.794921875,0.01953125,99.993896484375,99.627685546875,88.73349667956622,99.786376953125,99.993896484375,98.883056640625,0.4749203225703125,0.010728679715625,0.08604879466015625,0.20424982070791944,92.93519311787456,0.37890625,,
a5_sft,native_grpo,0.80078125,94.82746553782715,97.16598287483849,89.17742492651347,2.3890383967224342,7.988557948325015,93.18095604315604,92.42168874541606,0.97186279296875,15.5498046875,0.0062255859375,0.00616455078125,0.8984375,0.013671875,97.15549336679055,0.3160759811216849,0.31624279695097357,0.5543033619178459,9.9267578125,0.234619140625,0.4501953125,0.6207040810957551,0.357421875,93.07601637509421,87.54161276390137,95.99903464683081,0.0751953125,0.4501953125,4.7373046875,0.0234375,99.9664306640625,99.4140625,88.8744178715512,99.554443359375,99.981689453125,98.8494873046875,0.457683305453125,0.06866495435976562,0.1759348791015625,0.201425892591834,92.93519311787456,0.37890625,,
official_il,clip_only,0.80078125,91.67843723205596,94.15761160277117,87.00127483436286,2.3901686375994395,7.156336768408311,89.55640069633203,89.16518956353245,0.92822265625,14.8515625,0.02764892578125,0.02764892578125,0.8701171875,0.044921875,96.1226571849993,0.20764693837554657,0.17454712363542055,0.38304362673079595,7.294921875,0.08782958984375,0.3232421875,0.13789262671378394,0.3349609375,90.10127662080694,85.45745233968874,92.69401785097106,0.140625,1.1484375,5.7236328125,0.044921875,98.42529296875,98.651123046875,86.3160911538093,96.00830078125,100.0,98.2696533203125,0.015090169743359375,0.015090169743359375,0.0565079987578125,0.4166872698610552,92.93519311787456,0.37890625,,
official_il,eval,0.80078125,91.93519311787456,93.50640016039692,89.51462291566799,1.3878250411549808,3.991777244728941,90.5501817830173,90.4568743537824,0.93170166015625,14.9072265625,0.0252685546875,0.0252685546875,0.90234375,0.05078125,95.86791653389974,0.14678151235420953,0.12263387584243897,0.27328873332589865,4.5576171875,0.0672607421875,0.2353515625,0.09256381519459263,0.3701171875,90.34240326659497,87.89702279270774,91.98146199114859,0.1396484375,1.0927734375,5.19140625,0.05078125,98.4375,98.870849609375,86.51970762352394,96.099853515625,100.0,98.2513427734375,0.0,0.0,0.0,0.4140892789874818,92.93519311787456,0.37890625,,
official_il,floor_and_clip,0.80078125,69.81205534811922,96.45709886141681,23.956662967894836,26.564384409478112,72.50043589352197,38.297616051891175,37.513035547568315,0.69384765625,11.1015625,0.18011474609375,0.1751708984375,0.1767578125,0.0224609375,97.22886284193996,1.9965957938693464,1.598325829487294,1.6690312190912664,16.0,0.09765625,0.5185546875,1.8696394592103824,0.0068359375,70.40375529844772,26.89499852183171,95.43932520074982,0.83203125,4.8984375,9.6708984375,0.0556640625,95.477294921875,85.931396484375,71.97938494681489,84.4482421875,68.39599609375,96.4080810546875,0.17739894957421876,0.17739894957421876,1.39142181015625,0.48064489527970256,92.93519311787456,0.37890625,,
official_il,floor_only,0.80078125,77.98331493692447,96.33048346681588,37.864411858962676,21.171199635456524,58.4660716078532,53.461280490359485,52.155297127244765,0.77734375,12.4375,0.1231689453125,0.12054443359375,0.322265625,0.0244140625,97.30480035639795,1.4602598183555529,1.1536962953396142,1.2027228637598455,16.0,0.124267578125,0.5576171875,1.367308771411578,0.0146484375,77.77884868393014,41.362968702795975,95.26757592374007,0.505859375,3.5625,10.2568359375,0.0439453125,97.3358154296875,90.093994140625,77.37532506144893,89.263916015625,82.965087890625,97.5799560546875,0.12418982211328125,0.12418982211328125,1.06389010859375,0.44835242364542116,92.93519311787456,0.37890625,,
official_il,native_grpo,0.80078125,69.81205530960237,96.45709881268341,23.95666305222984,26.56438439769759,72.50043576045357,38.29761597674877,37.51303552428095,0.69384765625,11.1015625,0.18011474609375,0.1751708984375,0.1767578125,0.0224609375,97.22886282038678,1.9965957928216085,1.5983258225023746,1.66903120232746,16.0,0.09765625,0.5185546875,1.8696394633379338,0.0068359375,70.403755244071,26.894998612428708,95.43932512687901,0.83203125,4.8984375,9.6708984375,0.0556640625,95.477294921875,85.931396484375,71.97938485505871,84.4482421875,68.39599609375,96.4080810546875,0.17739895146484375,0.17739895146484375,1.391421809765625,0.48064489205036753,92.93519311787456,0.37890625,,
psi_sft,clip_only,0.80078125,91.26728191884483,96.3941362477388,75.99427978322328,7.113883962755087,20.399856464515523,84.01800611207855,83.11705092339913,0.89715576171875,14.3544921875,0.04388427734375,0.04217529296875,0.6875,0.0322265625,97.89506433623373,0.5111280984274345,0.41881035995902494,0.6168700787238777,15.916015625,0.40118408203125,0.576171875,0.5306907617011849,0.279296875,90.4356313440677,75.94413028219756,95.587218085043,0.271484375,1.6455078125,7.103515625,0.0458984375,98.0224609375,97.589111328125,88.52327858287084,94.64111328125,99.91455078125,97.784423828125,0.45173007783203123,0.0732609921328125,0.2127963224609375,0.6433579946300026,92.93519311787456,0.37890625,,
psi_sft,eval,0.80078125,92.8878081417134,95.5291557342845,85.71810155123381,3.413121424773198,9.811054183050697,89.39533572333455,88.92473051358878,0.92352294921875,14.7763671875,0.0311279296875,0.02984619140625,0.818359375,0.0400390625,97.45553168205225,0.31272022461052984,0.2549991913256235,0.4147946842131205,15.421875,0.3961181640625,0.5341796875,0.31151886701871806,0.3359375,91.82585724326452,84.96714520468302,94.55563713957812,0.2099609375,1.2236328125,6.0302734375,0.046875,98.2757568359375,98.638916015625,89.3412620010497,96.19140625,100.0,97.882080078125,0.43216992937890625,0.0,0.0,0.6234370092157555,92.93519311787456,0.37890625,,
psi_sft,floor_and_clip,0.80078125,66.05343082408905,97.11287970413574,17.643377636325578,29.397112707458692,79.46950206781017,31.770406207009334,30.818139059412346,0.625732421875,10.01171875,0.2193603515625,0.21319580078125,0.11328125,0.025390625,97.8467943592896,2.2609934241045266,1.8091263631358743,1.8859995603561401,16.0,0.143310546875,0.5576171875,2.088911303857557,0.0078125,67.54963901268454,20.009601600577817,96.44146778840846,1.23046875,5.98828125,9.458984375,0.083984375,92.5048828125,84.649658203125,71.34895219711208,79.52880859375,62.701416015625,94.2657470703125,0.5317156375,0.2439165165234375,1.552842111328125,0.7157323088349112,92.93519311787456,0.37890625,,
