source,unique_candidates,covered_scenes,scene_denominator,mean_unique_per_covered_scene,raw_mean_PDMS,raw_median_PDMS,raw_mean_p_A,raw_mean_p_B,raw_hard_safe_fraction,raw_conservative_feasible_fraction,raw_local_gain_primary,PDMS_P10,PDMS_P25,PDMS_P50,PDMS_P75,PDMS_P90,p_A_P10,p_A_P25,p_A_P50,p_A_P75,p_A_P90,p_B_P10,p_B_P25,p_B_P50,p_B_P75,p_B_P90,score_selected_count,score_selected_scene_count,score_selected_fraction,score_PDMS,score_p_B,score_local_gain,score_strict_fraction,score_fallback_fraction,pareto_selected_count,pareto_selected_scene_count,pareto_selected_fraction,pareto_PDMS,pareto_p_B,pareto_local_gain,pareto_strict_fraction,pareto_fallback_fraction,gt_geometry_selected_count,gt_geometry_selected_scene_count,gt_geometry_selected_fraction,gt_geometry_PDMS,gt_geometry_p_B,gt_geometry_local_gain,gt_geometry_strict_fraction,gt_geometry_fallback_fraction,grpo_mass_pc_selected_count,grpo_mass_pc_selected_scene_count,grpo_mass_pc_selected_fraction,grpo_mass_pc_PDMS,grpo_mass_pc_p_B,grpo_mass_pc_local_gain,grpo_mass_pc_strict_fraction,grpo_mass_pc_fallback_fraction,generated_pre_dedup,table,variant,pool_type,method,full_scene_denominator,observed_scene_count,nonempty_scene_count,candidate_denominator,local_gain_candidate_denominator,local_gain_scene_denominator,valid_unique_count,unique_parent_count,strict_count,strict_16_scene_fraction,empty_scene,insufficient_scene,candidate_PDMS,median_PDMS,min_PDMS,PDMS_gain_over_b_s,conservative_feasible_fraction,hard_safe_fraction,mean_candidate_p_B,median_candidate_p_B,P10_candidate_p_B,fraction_candidate_p_B_ge_3percent,mean_candidate_p_B_safe,mean_candidate_p_B_quality,candidate_local_gain,candidate_local_gain_median,fraction_local_gain_ge_0_5point,local_gain_defined_candidate_count,local_gain_defined_scene_count,local_gain_all_hits_descriptive,zero_hit_fraction,external_source_fraction,C_overlap_fraction,near_duplicate_representatives_0_02m,near_duplicate_representatives_0_10m,fallback_fraction,selection_optimism,sum_individual_mass,pairwise_ADE,PoolMass,GroupPoolHit,GroupPoolHit_ci_low,GroupPoolHit_ci_high,QualityMatchedPoolMass,source_GT_fraction,source_GT_structured_fraction,source_ddv2_fraction,source_drivor_fraction,source_IL_native_C_fraction,level_0_fraction,level_1_fraction,level_2_fraction,level_3_fraction,NC,DAC,EP,TTC,Comfort,DDC,epsilon,pmin,gt_geometry_radius
GT,1000.0,1000.0,1000.0,1.0,94.87825061567789,96.3091867475377,1.46484375e-05,8.7890625e-06,1.0,0.978,,86.42614774233915,90.933245608334,96.3091867475377,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.25e-05,100.0,0.0,,1.0,0.0,1.0,1.0,6.25e-05,100.0,0.0,,1.0,0.0,3.0,3.0,0.0001875,100.0,0.0,,1.0,0.0,1.0,1.0,6.25e-05,100.0,0.0,,0.0,1.0,1000.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GT_structured,128000.0,1000.0,1000.0,128.0,80.70825669085497,94.23404458991358,8.880615234375e-06,7.48443603515625e-06,0.8631328125,0.8059453125,,0.0,86.18488761198037,94.23404458991358,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.0,537.0,0.061875,99.02309034942664,5.455656424581006e-06,,1.0,0.0,932.0,520.0,0.05825,98.35853045270878,4.6950120192307695e-06,,1.0,0.0,5833.0,999.0,0.3645625,96.8172063772922,6.608198882504439e-06,,1.0,0.0,990.0,537.0,0.061875,99.02309034942664,5.455656424581006e-06,,0.0,1.0,128000.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL_native_C,64000.0,1000.0,1000.0,64.0,69.02954826018919,83.33333333333334,1.068115234375e-07,9.1552734375e-08,0.815921875,0.687703125,,0.0,57.3298656194162,83.33333333333334,95.95338721050832,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5474.0,722.0,0.342125,99.2891432391188,0.0,,1.0,0.0,5632.0,736.0,0.352,97.1494578618864,0.0,,1.0,0.0,1007.0,482.0,0.0629375,97.91715397587632,2.0260632780082988e-06,,1.0,0.0,5474.0,722.0,0.342125,99.2891432391188,0.0,,0.0,1.0,64000.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ddv2,64000.0,1000.0,1000.0,64.0,59.299064693433415,86.105834119769,3.326416015625e-06,3.0059814453125e-06,0.655578125,0.561171875,,0.0,0.0,86.105834119769,97.5373009943966,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3210.0,840.0,0.200625,99.307252610835,0.0,,1.0,0.0,3197.0,842.0,0.1998125,97.7270743797292,0.0,,1.0,0.0,3828.0,912.0,0.23925,96.79042721215644,5.321242423550196e-06,,1.0,0.0,3210.0,840.0,0.200625,99.307252610835,0.0,,0.0,1.0,64000.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drivor,64000.0,1000.0,1000.0,64.0,83.9147860888344,96.21326361720304,4.302978515625e-06,5.4168701171875e-06,0.90334375,0.817546875,,48.45160609087964,85.44763955321842,96.21326361720304,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6325.0,907.0,0.3953125,99.20388184199724,1.8205547734988888e-06,,1.0,0.0,6238.0,903.0,0.389875,98.493797203376,1.584431414684737e-06,,1.0,0.0,5329.0,984.0,0.3330625,96.78830232862276,8.280585851803458e-06,,1.0,0.0,6325.0,907.0,0.3953125,99.20388184199724,1.8205547734988888e-06,,0.0,1.0,64000.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,primary,operational,score,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,16.0,1.0,0.0,0.0,99.23711672669108,99.23297819821492,98.68291526285124,30.20756846650189,0.9438125,1.0,1.28173828125e-06,0.0,0.0,0.0,6.7138671875e-07,6.7138671875e-07,,,,0.0,0.0,28.08957525665725,0.9986875,0.5959375,0.0,15.941,15.502,0.0,-7.9345703125e-07,2.05078125e-05,2.0098191141542934,9.765625e-06,7.8125e-05,1.3804318928742413e-05,0.0292748493051619,5.859375e-06,6.25e-05,0.061875,0.200625,0.3953125,0.342125,1.0,0.0,0.0,0.0,1.0,1.0,0.981690801440586,1.0,1.0,0.9579375,0.5,0.03,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,primary,strict,score,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,16.0,1.0,0.0,0.0,99.23711672669108,99.23297819821492,98.68291526285124,30.20756846650189,0.9438125,1.0,1.28173828125e-06,0.0,0.0,0.0,6.7138671875e-07,6.7138671875e-07,,,,0.0,0.0,28.08957525665725,0.9986875,0.5959375,0.0,15.941,15.502,0.0,-7.9345703125e-07,2.05078125e-05,2.0098191141542934,9.765625e-06,7.8125e-05,1.3804318928742413e-05,0.0292748493051619,5.859375e-06,6.25e-05,0.061875,0.200625,0.3953125,0.342125,1.0,0.0,0.0,0.0,1.0,1.0,0.981690801440586,1.0,1.0,0.9579375,0.5,0.03,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,primary,operational,pareto,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,16.0,1.0,0.0,0.0,98.13329020385088,98.3991789936332,94.52062762522804,29.10374194366169,0.946125,1.0,8.544921875e-07,0.0,0.0,0.0,3.662109375e-07,3.662109375e-07,,,,0.0,0.0,24.99677925917896,0.999125,0.5896875,0.0,15.958,15.579,0.0,-5.4931640625e-07,1.3671875e-05,2.0288415896352,8.7890625e-06,7.03125e-05,1.2423887035868172e-05,0.0292610600019965,5.859375e-06,6.25e-05,0.05825,0.1998125,0.389875,0.352,1.0,0.0,0.0,0.0,1.0,1.0,0.9838864648924212,0.9778125,0.98375,0.97821875,0.5,0.03,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,primary,strict,pareto,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,16.0,1.0,0.0,0.0,98.13329020385088,98.3991789936332,94.52062762522804,29.10374194366169,0.946125,1.0,8.544921875e-07,0.0,0.0,0.0,3.662109375e-07,3.662109375e-07,,,,0.0,0.0,24.99677925917896,0.999125,0.5896875,0.0,15.958,15.579,0.0,-5.4931640625e-07,1.3671875e-05,2.0288415896352,8.7890625e-06,7.03125e-05,1.2423887035868172e-05,0.0292610600019965,5.859375e-06,6.25e-05,0.05825,0.1998125,0.389875,0.352,1.0,0.0,0.0,0.0,1.0,1.0,0.9838864648924212,0.9778125,0.98375,0.97821875,0.5,0.03,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,primary,operational,gt_geometry,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,16.0,1.0,0.0,0.0,96.78550848219804,96.72514048674238,96.0895338364997,27.755960222008827,0.9670625,1.0,6.4697265625e-06,4.8828125e-07,0.0,0.0,5.31005859375e-06,4.94384765625e-06,,,,0.0,0.0,11.286626080862993,0.9935,0.5723125,0.0,15.192,13.492,0.0,4.8828125e-07,0.000103515625,0.6442813260376261,5.46875e-05,0.0004375,8.03733578497487e-05,0.0299060880789193,4.296875e-05,0.0001875,0.3645625,0.23925,0.3330625,0.0629375,1.0,0.0,0.0,0.0,1.0,1.0,0.9228522035727524,1.0,1.0,0.9786875,0.5,0.03,1.0
