token,method,pool_type,candidate_PDMS,mean_candidate_p_B,strict_count,empty_scene
23e39302332152b2,score,operational,99.99975031238397,0.0,16,0
23e39302332152b2,score,strict,99.99975031238397,0.0,16,0
23e39302332152b2,pareto,operational,99.99407900465368,0.0,16,0
23e39302332152b2,pareto,strict,99.99407900465368,0.0,16,0
23e39302332152b2,gt_geometry,operational,95.1967284506193,0.0,16,0
23e39302332152b2,gt_geometry,strict,95.1967284506193,0.0,16,0
23e39302332152b2,grpo_mass_pc,operational,99.99975031238397,0.0,0,0
23e39302332152b2,grpo_mass_pc,strict,,,0,1
411a748874035630,score,operational,100.0,0.0,16,0
411a748874035630,score,strict,100.0,0.0,16,0
411a748874035630,pareto,operational,100.0,0.0,16,0
411a748874035630,pareto,strict,100.0,0.0,16,0
411a748874035630,gt_geometry,operational,100.0,0.0,16,0
411a748874035630,gt_geometry,strict,100.0,0.0,16,0
411a748874035630,grpo_mass_pc,operational,100.0,0.0,0,0
411a748874035630,grpo_mass_pc,strict,,,0,1
79ebfc1d85bf5a51,score,operational,93.06850842474272,0.0,16,0
79ebfc1d85bf5a51,score,strict,93.06850842474272,0.0,16,0
79ebfc1d85bf5a51,pareto,operational,71.74378997084256,0.0,16,0
79ebfc1d85bf5a51,pareto,strict,71.74378997084256,0.0,16,0
79ebfc1d85bf5a51,gt_geometry,operational,84.76725737995613,0.0,16,0
79ebfc1d85bf5a51,gt_geometry,strict,84.76725737995613,0.0,16,0
79ebfc1d85bf5a51,grpo_mass_pc,operational,93.06850842474272,0.0,0,0
79ebfc1d85bf5a51,grpo_mass_pc,strict,,,0,1
40808270ce205b83,score,operational,100.0,0.0,16,0
40808270ce205b83,score,strict,100.0,0.0,16,0
40808270ce205b83,pareto,operational,100.0,0.0,16,0
40808270ce205b83,pareto,strict,100.0,0.0,16,0
40808270ce205b83,gt_geometry,operational,95.99535102181866,0.0,16,0
40808270ce205b83,gt_geometry,strict,95.99535102181866,0.0,16,0
40808270ce205b83,grpo_mass_pc,operational,100.0,0.0,0,0
40808270ce205b83,grpo_mass_pc,strict,,,0,1
