variant,pool_type,comparator,metric,interpretation,n,mean_difference,median_difference,ci_low,ci_high,median_ci_low,median_ci_high,scene_win_fraction,p_value,bootstrap_replicates,cluster_count
eps0.25_p0.01,operational,score,mean_candidate_p_B,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.01,operational,score,PoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.01,operational,score,candidate_PDMS,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.01,operational,score,strict_16_scene_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000
eps0.25_p0.01,operational,score,conservative_feasible_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.01,operational,score,QualityMatchedPoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.01,operational,pareto,mean_candidate_p_B,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.01,operational,pareto,PoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.01,operational,pareto,candidate_PDMS,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,1.1038265228401956,0.0,0.8546755064749166,1.3733168251230883,0.0,0.0,0.182,0.0003332222592469177,3000,1000
eps0.25_p0.01,operational,pareto,strict_16_scene_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000
eps0.25_p0.01,operational,pareto,conservative_feasible_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-0.0023125,0.0,-0.01075,0.006876562500000006,0.0,0.0,0.068,0.6101299566811063,3000,1000
eps0.25_p0.01,operational,pareto,QualityMatchedPoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.01,operational,gt_geometry,mean_candidate_p_B,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.01,operational,gt_geometry,PoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
