pool_type,comparator,exact_source,matched_pair_count,matched_scene_count,score_gap_mean,score_gap_median,score_gap_max,p_B_delta_mean
operational,gt_geometry,GT_structured,277,195,0.0014245273654582523,0.0,0.18965324137854012,-3.525496389891697e-06
operational,gt_geometry,IL_native_C,771,294,0.0004936608328173887,0.0,0.1308413105266304,-3.799854085603113e-06
operational,gt_geometry,ddv2,941,389,0.0032015400415893805,0.0,0.22863521363447603,-4.151168969181721e-06
operational,gt_geometry,drivor,776,399,0.005669516352846734,0.0,0.24522215825913962,-6.292284149484536e-06
operational,pareto,GT_structured,9,9,0.002301795803674425,0.0,0.009317448951207119,0.0
operational,pareto,IL_native_C,103,45,0.00011487741951280773,0.0,0.007300523851583307,0.0
operational,pareto,ddv2,81,47,0.0001660515769492309,0.0,0.007579400316470863,0.0
operational,pareto,drivor,163,67,0.003917340120904763,0.0,0.24772480221413318,0.0
