variant,pool_type,comparator,metric,full_scene_denominator,pc_defined_scenes,baseline_defined_scenes,n,mean_difference,median_difference,ci_low,ci_high,median_ci_low,median_ci_high,scene_win_fraction,p_value,bootstrap_replicates,cluster_count,log_cluster_ci_low,log_cluster_ci_high,log_cluster_count,Holm_p_primary_family12
primary,operational,gt_geometry,QualityMatchedPoolMass,1000,1000,1000,1000,-3.7109375e-05,0.0,-4.98046875e-05,-2.5390625e-05,0.0,0.0,0.001,0.0003332222592469177,3000,1000,-4.9774391736188716e-05,-2.5363738311532514e-05,512,
primary,operational,gt_geometry,external_source_fraction,1000,1000,1000,1000,0.023625,0.0,0.0043125,0.0434375,-0.03125,0.0625,0.473,0.01866044651782739,3000,1000,0.0009181501816348862,0.04559085697440267,512,
primary,operational,gt_geometry,near_duplicate_representatives_0_10m,1000,1000,1000,1000,2.01,2.0,1.880975,2.15,1.0,2.0,0.569,0.0003332222592469177,3000,1000,1.8666545643153527,2.156607898976848,512,
primary,operational,gt_geometry,fallback_fraction,1000,1000,1000,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0003332222592469177,3000,1000,1.0,1.0,512,
primary,strict,score,mean_candidate_p_B,1000,0,1000,0,,,,,,,,,3000,0,,,0,
primary,strict,score,PoolMass,1000,1000,1000,1000,-9.765625e-06,0.0,-1.5625e-05,-3.90625e-06,0.0,0.0,0.0,0.0026657780739753416,3000,1000,-1.6277241964724678e-05,-4.128901994588717e-06,512,
primary,strict,score,candidate_PDMS,1000,0,1000,0,,,,,,,,,3000,0,,,0,
primary,strict,score,strict_16_scene_fraction,1000,1000,1000,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000,-1.0,-1.0,512,
primary,strict,score,conservative_feasible_fraction,1000,0,1000,0,,,,,,,,,3000,0,,,0,
primary,strict,score,mean_candidate_p_B_quality,1000,0,1000,0,,,,,,,,,3000,0,,,0,
primary,strict,score,QualityMatchedPoolMass,1000,1000,1000,1000,-5.859375e-06,0.0,-1.07421875e-05,-1.953125e-06,0.0,0.0,0.0,0.022659113628790403,3000,1000,-1.1063300062309554e-05,-1.892517181906954e-06,512,
primary,strict,score,external_source_fraction,1000,0,1000,0,,,,,,,,,3000,0,,,0,
primary,strict,score,near_duplicate_representatives_0_10m,1000,1000,1000,1000,-15.502,-16.0,-15.569025000000002,-15.433,-16.0,-16.0,0.0,0.0003332222592469177,3000,1000,-15.564134708047886,-15.43602987197724,512,
primary,strict,score,fallback_fraction,1000,0,1000,0,,,,,,,,,3000,0,,,0,
primary,strict,pareto,mean_candidate_p_B,1000,0,1000,0,,,,,,,,,3000,0,,,0,
primary,strict,pareto,PoolMass,1000,1000,1000,1000,-8.7890625e-06,0.0,-1.46484375e-05,-3.90625e-06,0.0,0.0,0.0,0.004665111629456847,3000,1000,-1.4649539438628384e-05,-3.8561204343534055e-06,512,
primary,strict,pareto,candidate_PDMS,1000,0,1000,0,,,,,,,,,3000,0,,,0,
primary,strict,pareto,strict_16_scene_fraction,1000,1000,1000,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000,-1.0,-1.0,512,
primary,strict,pareto,conservative_feasible_fraction,1000,0,1000,0,,,,,,,,,3000,0,,,0,
primary,strict,pareto,mean_candidate_p_B_quality,1000,0,1000,0,,,,,,,,,3000,0,,,0,
primary,strict,pareto,QualityMatchedPoolMass,1000,1000,1000,1000,-5.859375e-06,0.0,-1.07421875e-05,-1.953125e-06,0.0,0.0,0.0,0.023992002665778073,3000,1000,-1.0840018937801324e-05,-1.8852103417518977e-06,512,
primary,strict,pareto,external_source_fraction,1000,0,1000,0,,,,,,,,,3000,0,,,0,
primary,strict,pareto,near_duplicate_representatives_0_10m,1000,1000,1000,1000,-15.579,-16.0,-15.636,-15.516,-16.0,-16.0,0.0,0.0003332222592469177,3000,1000,-15.638257298047085,-15.519957041581574,512,
primary,strict,pareto,fallback_fraction,1000,0,1000,0,,,,,,,,,3000,0,,,0,
primary,strict,gt_geometry,mean_candidate_p_B,1000,0,1000,0,,,,,,,,,3000,0,,,0,
primary,strict,gt_geometry,PoolMass,1000,1000,1000,1000,-5.46875e-05,0.0,-6.93359375e-05,-4.1015625e-05,0.0,0.0,0.0,0.0003332222592469177,3000,1000,-6.982350299310627e-05,-4.0532808702011e-05,512,
primary,strict,gt_geometry,candidate_PDMS,1000,0,1000,0,,,,,,,,,3000,0,,,0,
