token,pool_type,comparator,pc_different_count,other_different_count,shared_count,unmatched_pc,unmatched_other,matched_pair_count
23e39302332152b2,strict,score,0,16,0,0,16,0
23e39302332152b2,strict,pareto,0,16,0,0,16,0
23e39302332152b2,strict,gt_geometry,0,16,0,0,16,0
23e39302332152b2,operational,score,0,0,16,0,0,0
23e39302332152b2,operational,pareto,6,6,10,0,0,6
23e39302332152b2,operational,gt_geometry,16,16,0,16,16,0
411a748874035630,strict,score,0,16,0,0,16,0
411a748874035630,strict,pareto,0,16,0,0,16,0
411a748874035630,strict,gt_geometry,0,16,0,0,16,0
411a748874035630,operational,score,0,0,16,0,0,0
411a748874035630,operational,pareto,0,0,16,0,0,0
411a748874035630,operational,gt_geometry,16,16,0,8,8,8
79ebfc1d85bf5a51,strict,score,0,16,0,0,16,0
79ebfc1d85bf5a51,strict,pareto,0,16,0,0,16,0
79ebfc1d85bf5a51,strict,gt_geometry,0,16,0,0,16,0
79ebfc1d85bf5a51,operational,score,0,0,16,0,0,0
79ebfc1d85bf5a51,operational,pareto,10,10,6,10,10,0
79ebfc1d85bf5a51,operational,gt_geometry,16,16,0,16,16,0
40808270ce205b83,strict,score,0,16,0,0,16,0
40808270ce205b83,strict,pareto,0,16,0,0,16,0
40808270ce205b83,strict,gt_geometry,0,16,0,0,16,0
40808270ce205b83,operational,score,0,0,16,0,0,0
40808270ce205b83,operational,pareto,0,0,16,0,0,0
40808270ce205b83,operational,gt_geometry,16,16,0,16,16,0
86208267d61253c0,strict,score,0,16,0,0,16,0
86208267d61253c0,strict,pareto,0,16,0,0,16,0
86208267d61253c0,strict,gt_geometry,0,16,0,0,16,0
86208267d61253c0,operational,score,0,0,16,0,0,0
86208267d61253c0,operational,pareto,0,0,16,0,0,0
86208267d61253c0,operational,gt_geometry,16,16,0,6,6,10
f8268857204e554e,strict,score,0,16,0,0,16,0
f8268857204e554e,strict,pareto,0,16,0,0,16,0
f8268857204e554e,strict,gt_geometry,0,16,0,0,16,0
f8268857204e554e,operational,score,0,0,16,0,0,0
f8268857204e554e,operational,pareto,0,0,16,0,0,0
f8268857204e554e,operational,gt_geometry,16,16,0,16,16,0
1bf169a6aaf65858,strict,score,0,16,0,0,16,0
1bf169a6aaf65858,strict,pareto,0,16,0,0,16,0
1bf169a6aaf65858,strict,gt_geometry,0,16,0,0,16,0
1bf169a6aaf65858,operational,score,0,0,16,0,0,0
