token,raw_index,candidate_id,PDMS,q,r_knn,source,global_rank,conditional_rank,dominator_count,far_dominator_count,far_dominator_poisoning
23e39302332152b2,145,bridge_mts_8751_05_0.4,93.55198611032073,91.40625,1.4729044083948986,Bridge-0.4_mts_8751,118,1,117,117,True
23e39302332152b2,149,bridge_mts_8751_13_0.4,93.53603202064899,94.53125,1.5602586226306214,Bridge-0.4_mts_8751,119,2,118,117,True
79ebfc1d85bf5a51,41,il_native_09,84.43468145418359,89.0625,1.2499803846309656,IL-native,66,2,65,64,True
79ebfc1d85bf5a51,63,il_native_31,84.61695686895993,85.9375,1.1963554922717838,IL-native,64,1,63,63,True
40808270ce205b83,41,il_native_09,95.96708957015406,50.0,0.9969981817329233,IL-native,64,1,63,63,True
40808270ce205b83,53,il_native_21,95.92894305425149,35.9375,0.9071132007188554,IL-native,66,2,65,64,True
f8268857204e554e,34,il_native_02,90.96948044241304,89.84375,1.3840226929395987,IL-native,57,2,56,55,True
f8268857204e554e,144,bridge_mts_8751_14_0.2,91.00418491717717,94.53125,1.4978998062632807,Bridge-0.2_mts_8751,47,1,46,46,True
3764407c90d65df3,46,il_native_14,90.22754345933085,88.28125,1.3845261950656211,IL-native,7,2,6,5,True
3764407c90d65df3,61,il_native_29,90.23770939258003,87.5,1.3328191175133848,IL-native,6,1,5,5,True
38cfd81687975661,47,il_native_15,94.94377573397784,72.65625,1.1106898781053283,IL-native,65,1,64,64,True
38cfd81687975661,60,il_native_28,94.91846516319907,59.375,1.040584967536779,IL-native,66,2,65,64,True
b34272d337d350d2,44,il_native_12,80.72825118172608,94.53125,1.6336068701147146,IL-native,163,2,162,161,True
b34272d337d350d2,49,il_native_17,80.92578349392919,79.6875,1.2794622148715984,IL-native,161,1,160,160,True
b23ede9a183b5b71,55,il_native_23,89.88321624603647,31.25,0.8899699826091683,IL-native,161,2,160,159,True
b23ede9a183b5b71,63,il_native_31,89.93976518757415,22.65625,0.8473210089730326,IL-native,159,1,158,158,True
fff951eab9f45288,8,gt_07,91.15666347113746,94.53125,1.6283826362336624,GT,81,2,82,81,True
fff951eab9f45288,12,gt_11,91.35012896862543,94.53125,1.7970959368766237,GT,64,1,65,65,True
988785170de957da,47,il_native_15,94.16265779426843,90.625,1.4965088302714553,IL-native,47,1,46,46,True
988785170de957da,58,il_native_26,94.08316450074246,89.84375,1.4893225796334435,IL-native,57,2,56,55,True
