stage,step,method,metric,n,mean,median,ci_low,ci_high,median_ci_low,median_ci_high,win_fraction
E,20,gt_only,hard_failure,300,-0.006432291666666667,0.0,-0.011354817708333333,-0.0022910156249999975,0.0,0.0,0.006666666666666667
E,20,score,hard_failure,300,-0.006354166666666667,0.0,-0.015130859375,0.0016933593750000024,0.0,0.0,0.023333333333333334
E,20,pareto,hard_failure,300,-0.008229166666666666,0.0,-0.016667317708333334,-0.0012239583333333334,0.0,0.0,0.02
E,20,gt_distance,hard_failure,300,-0.006796875,0.0,-0.012526041666666666,-0.0028125,0.0,0.0,0.0
E,20,old_pc,hard_failure,300,-0.0027083333333333334,0.0,-0.005885416666666666,-0.0005989583333333333,0.0,0.0,0.013333333333333334
E,20,gt_only,EP,300,0.004797145191033217,0.0,0.001032668661761708,0.009687640607305061,0.0,0.0,0.37666666666666665
E,20,score,EP,300,-0.01943826140224224,-0.03081579986126909,-0.027828950899566718,-0.009924196471897183,-0.034419279656915935,-0.01817422539506211,0.043333333333333335
E,20,pareto,EP,300,-0.018551878881894097,-0.03121324198176456,-0.02587824627603388,-0.009354282237533436,-0.03471720232543196,-0.016172585727309948,0.03666666666666667
E,20,gt_distance,EP,300,-0.00584921985426517,-0.009330748372354647,-0.009829392518220492,-0.000603970624965758,-0.01240370632421739,-0.0053569552851985835,0.056666666666666664
E,20,old_pc,EP,300,-0.0028274340767258685,-0.0033188869726163417,-0.00456251064688048,-0.0006237712166830098,-0.004192188135290875,-0.0021967132674760026,0.04666666666666667
E,20,gt_only,TTC,300,0.0027604166666666667,0.0,-0.00013020833333333333,0.006614583333333333,0.0,0.0,0.04666666666666667
E,20,score,TTC,300,0.020130208333333333,0.0,0.009765625,0.03197981770833334,0.0,0.0,0.10333333333333333
E,20,pareto,TTC,300,0.019609375,0.0,0.009426432291666668,0.031328776041666666,0.0,0.0,0.10333333333333333
E,20,gt_distance,TTC,300,0.009036458333333334,0.0,0.0034368489583333334,0.015704427083333337,0.0,0.0,0.06333333333333334
E,20,old_pc,TTC,300,0.00484375,0.0,0.001692057291666667,0.008646484375000003,0.0,0.0,0.04666666666666667
E,20,gt_only,zero_score_rate,300,-0.00640625,0.0,-0.011067708333333334,-0.0021614583333333334,0.0,0.0,0.006666666666666667
E,20,score,zero_score_rate,300,-0.006197916666666667,0.0,-0.014949869791666666,0.002266276041666669,0.0,0.0,0.023333333333333334
E,20,pareto,zero_score_rate,300,-0.007942708333333333,0.0,-0.016537109375,-0.0009635416666666667,0.0,0.0,0.02
E,20,gt_distance,zero_score_rate,300,-0.006744791666666666,0.0,-0.012396484374999999,-0.0028378906249999975,0.0,0.0,0.0
E,20,old_pc,zero_score_rate,300,-0.0027083333333333334,0.0,-0.005833333333333334,-0.000546875,0.0,0.0,0.013333333333333334
E,100,gt_only,PDMS,300,0.026897059603744063,0.0,-0.40606217668506084,0.4262970617908954,0.0,0.0,0.3333333333333333
E,100,score,PDMS,300,-0.2974284865941234,-1.0110390089940609,-1.0547318059979358,0.4869767700400403,-1.2925853914165089,-0.3044628181933575,0.11333333333333333
E,100,pareto,PDMS,300,-0.5319644458721098,-1.0269481322153595,-1.2307108630145684,0.23150549921759409,-1.3267379478808152,-0.4287920478898215,0.09666666666666666
E,100,gt_distance,PDMS,300,-0.4841623346501492,-0.40305518061103385,-0.9197251604890975,-0.020743866368174914,-0.474902493364781,-0.25026093203432254,0.07
E,100,old_pc,PDMS,300,0.13719997195476014,-0.1523939546646389,-0.14490409911931504,0.4669755959113516,-0.20788461295331473,-0.08419202908323342,0.08
E,100,gt_only,feasible_rate,300,0.00028645833333333333,0.0,-0.004661458333333333,0.004791666666666666,0.0,0.0,0.07666666666666666
E,100,score,feasible_rate,300,0.023072916666666665,0.0,0.011796875,0.035444661458333346,0.0,0.0,0.12333333333333334
E,100,pareto,feasible_rate,300,0.01825520833333333,0.0,0.00801953125,0.02953710937500002,0.0,0.0,0.11666666666666667
E,100,gt_distance,feasible_rate,300,0.0027604166666666667,0.0,-0.0026041666666666665,0.008359375,0.0,0.0,0.06666666666666667
E,100,old_pc,feasible_rate,300,0.005052083333333333,0.0,0.0015885416666666667,0.009244791666666667,0.0,0.0,0.07
E,100,gt_only,hard_failure,300,0.00010416666666666667,0.0,-0.003958333333333334,0.004636067708333336,0.0,0.0,0.03
E,100,score,hard_failure,300,-0.0032291666666666666,0.0,-0.010026041666666667,0.003386067708333336,0.0,0.0,0.03333333333333333
E,100,pareto,hard_failure,300,-0.0020572916666666665,0.0,-0.008490885416666667,0.0040885416666666665,0.0,0.0,0.03666666666666667
E,100,gt_distance,hard_failure,300,0.0011458333333333333,0.0,-0.0030989583333333333,0.005598958333333333,0.0,0.0,0.04
E,100,old_pc,hard_failure,300,-0.003046875,0.0,-0.00698046875,0.00010416666666666667,0.0,0.0,0.02
E,100,gt_only,EP,300,0.0006012585971564998,0.0,-0.0035765351097522807,0.004472558853241265,0.0,0.0,0.32666666666666666
E,100,score,EP,300,-0.02963567951159232,-0.028148768144668934,-0.03664897838699759,-0.022412909411796408,-0.03250891068084195,-0.0198063371457724,0.03666666666666667
E,100,pareto,EP,300,-0.030795792534263965,-0.02896127580654989,-0.0376172317830568,-0.023715285134656545,-0.033006005513969955,-0.01871942858008624,0.03333333333333333
E,100,gt_distance,EP,300,-0.013971458531603587,-0.009750219558403384,-0.018314045057411507,-0.00961790240375816,-0.011471506973713241,-0.007575687704048817,0.02666666666666667
E,100,old_pc,EP,300,-0.003160325673085774,-0.003849175065223309,-0.006286035770938078,0.0005656565316257088,-0.005123049621021225,-0.0021509309380176034,0.04666666666666667
E,100,gt_only,TTC,300,0.00140625,0.0,-0.0007291666666666667,0.004427734375000002,0.0,0.0,0.03666666666666667
E,100,score,TTC,300,0.018229166666666668,0.0,0.00921875,0.028543619791666672,0.0,0.0,0.09333333333333334
E,100,pareto,TTC,300,0.015286458333333334,0.0,0.00606640625,0.025182942708333333,0.0,0.0,0.09
E,100,gt_distance,TTC,300,0.0050260416666666665,0.0,0.0012760416666666666,0.009869791666666667,0.0,0.0,0.05333333333333334
E,100,old_pc,TTC,300,0.003828125,0.0,0.0013541666666666667,0.007109375,0.0,0.0,0.04666666666666667
E,100,gt_only,zero_score_rate,300,0.00013020833333333333,0.0,-0.0041152343749999995,0.004635416666666667,0.0,0.0,0.03
E,100,score,zero_score_rate,300,-0.002734375,0.0,-0.009974609374999999,0.0035162760416666693,0.0,0.0,0.03333333333333333
E,100,pareto,zero_score_rate,300,-0.0015104166666666666,0.0,-0.0081015625,0.004583333333333333,0.0,0.0,0.03666666666666667
E,100,gt_distance,zero_score_rate,300,0.0012239583333333334,0.0,-0.00296875,0.005495442708333336,0.0,0.0,0.04
E,100,old_pc,zero_score_rate,300,-0.003046875,0.0,-0.0069791666666666665,0.00015625,0.0,0.0,0.02
E,200,gt_only,PDMS,300,0.014079405000217354,0.0,-0.3919912373826462,0.36408358355153825,0.0,0.0,0.41333333333333333
E,200,score,PDMS,300,-0.35723624149014055,-0.8650565745903265,-0.9791772293795394,0.33679370078456,-1.1526795512604073,-0.20334419295720352,0.10666666666666667
E,200,pareto,PDMS,300,-0.6514147257245543,-0.9602260491799015,-1.2519454845335567,-0.006075937958861661,-1.2246894848004493,-0.34596321315265754,0.1
E,200,gt_distance,PDMS,300,-0.31756784738341737,-0.28257974007828324,-0.6405241127961647,0.023836781987200586,-0.3445050466064572,-0.12276309174140465,0.08
E,200,old_pc,PDMS,300,-0.004254344044233041,-0.14550998516429559,-0.29331850104112667,0.3109666082084989,-0.19627367138841123,-0.08168270725489199,0.07333333333333333
