method,metric,n,mean,median,ci_low,ci_high,median_ci_low,median_ci_high,win_fraction
conditional_pc,loss,251,0.0014428380387266982,0.0001114552494527743,0.0008512076727733499,0.0021341615376180632,8.850770973367617e-05,0.00012988286289328244,1.0
conditional_pc,gradient_norm,251,0.3381004635155557,0.15394170582294464,0.2728165952149274,0.4102188685827284,0.13728591799736023,0.18083974719047546,1.0
conditional_pc,cosine,251,0.5549991180863655,0.8501374269364149,0.486140172134064,0.6225147967879435,0.7748247742200335,0.8925546767384926,0.8047808764940239
conditional_pc,dot,251,0.31868716894333116,0.011584986001253128,0.15057894300199945,0.5527960115188255,0.007458020001649857,0.015658456832170486,0.8047808764940239
conditional_pc,predicted_delta_L_ref,251,-3.1868716894333125e-06,-1.1584986001253129e-07,-5.3884179123998035e-06,-1.5169120551270107e-06,-1.5658456832170488e-07,-7.458020001649857e-08,0.1952191235059761
gt_distance,loss,256,0.00750728657539675,0.0003404745980333246,0.00360236836894335,0.013758508348070056,0.0002647038332952434,0.0005086365154056693,1.0
gt_distance,gradient_norm,256,0.7359538498640177,0.3168138563632965,0.5866707962253713,0.9090913809694031,0.2595444321632385,0.3592039976269008,1.0
gt_distance,cosine,256,0.5115310892336014,0.7722396699867999,0.4392426703842578,0.5809221993392313,0.7007003424878591,0.8347159735372747,0.78125
gt_distance,dot,256,0.6069024595176984,0.016132370568811893,0.2522984129639667,1.1197975615238633,0.011557741090655327,0.030333522707223892,0.78125
gt_distance,predicted_delta_L_ref,256,-6.069024595176984e-06,-1.6132370568811894e-07,-1.1316484265740782e-05,-2.4285434771084907e-06,-3.0333522707223895e-07,-1.1557741090655327e-07,0.21875
old_pc,loss,256,0.0014203759942147027,0.00011229426434056222,0.0008184351056388075,0.0021469608998540128,8.649008537986447e-05,0.00013285284899211547,1.0
old_pc,gradient_norm,256,0.33832165472995257,0.15787626802921295,0.2741998975889146,0.41001346084412943,0.13760051131248474,0.18328428268432617,1.0
old_pc,cosine,256,0.5436366018607208,0.8458722652481343,0.47036390509554116,0.6130325393379619,0.7671174261997664,0.8914367937621068,0.80078125
old_pc,dot,256,0.3117482927754054,0.011242946609854698,0.14958197525361072,0.516628034873861,0.007176834158599377,0.0151035777409561,0.80078125
old_pc,predicted_delta_L_ref,256,-3.117482927754055e-06,-1.1242946609854699e-07,-5.312465480785278e-06,-1.475864876950908e-06,-1.5310783404856922e-07,-7.456946599995714e-08,0.19921875
pareto,loss,256,0.01808506420087045,0.0010868692588701379,0.010846984056808071,0.026634193025571018,0.0006745684177076328,0.0014607931771024596,1.0
pareto,gradient_norm,256,1.3032062474521808,0.5187710523605347,1.036212647231514,1.5817100544882126,0.42501211166381836,0.6209138929843903,1.0
pareto,cosine,256,0.2875285401150132,0.5863189031713196,0.20613549750451635,0.36855944970174487,0.449712581325207,0.655468416478846,0.6484375
pareto,dot,256,0.5785038309446691,0.008353146724402905,0.1542812948825542,1.1305386315513462,0.005150941899046302,0.017768728244118397,0.6484375
pareto,predicted_delta_L_ref,256,-5.785038309446691e-06,-8.353146724402906e-08,-1.1311006305119491e-05,-1.6020764463956709e-06,-1.7900949344038963e-07,-5.049106810474763e-08,0.3515625
score,loss,256,0.01709670912884949,0.0008471424398521776,0.010284019114002932,0.025800976198805864,0.000565670272862917,0.0012639936182949896,1.0
score,gradient_norm,256,1.3397686019234243,0.5613267719745636,1.0869140526556293,1.6393186104871347,0.46105247735977173,0.724226713180542,1.0
score,cosine,256,0.3457217952218385,0.6728738697577675,0.2615839320097687,0.42581167093337363,0.5153907526980409,0.77519456102888,0.67578125
score,dot,256,0.6177444884050942,0.014284329488873482,0.19516188094952866,1.200648053685224,0.007130528334528208,0.02147230040282011,0.67578125
score,predicted_delta_L_ref,256,-6.177444884050943e-06,-1.4284329488873483e-07,-1.159478483431849e-05,-1.8546222745380867e-06,-2.147230040282011e-07,-7.026419043540956e-08,0.32421875
