method,seed,source,total_candidate_weight,candidate_weight_fraction,GT_retention_coefficient
pareto,2903,Bridge-0.2_grpo_9041,17.375,0.010859375,0.25
pareto,2903,Bridge-0.6_mts_8692,8.0625,0.0050390625,0.25
pareto,2903,Bridge-0.8_mts_8692,11.1875,0.0069921875,0.25
pareto,2903,Bridge-0.2_mts_8751,3.875,0.002421875,0.25
pareto,2903,Bridge-0.4_mts_8751,5.125,0.003203125,0.25
pareto,2903,Bridge-0.2_mts_8692,8.75,0.00546875,0.25
pareto,2903,Bridge-0.4_mts_8692,7.4375,0.0046484375,0.25
gt_distance,1701,Bridge-0.8_grpo_9041,56.1875,0.0351171875,0.25
gt_distance,1701,grpo_9041,179.625,0.112265625,0.25
gt_distance,1701,Bridge-0.6_grpo_9041,71.9375,0.0449609375,0.25
gt_distance,1701,GT,288.0,0.18,0.25
gt_distance,1701,Bridge-0.4_grpo_9041,80.3125,0.0501953125,0.25
gt_distance,1701,Bridge-0.2_grpo_9041,67.3125,0.0420703125,0.25
gt_distance,1701,Bridge-0.8_apr_9145,21.625,0.013515625,0.25
gt_distance,1701,IL-native,347.8125,0.2173828125,0.25
gt_distance,1701,Bridge-0.2_apr_9145,63.6875,0.0398046875,0.25
gt_distance,1701,Bridge-0.4_apr_9145,54.5625,0.0341015625,0.25
gt_distance,1701,mts_8751,75.1875,0.0469921875,0.25
gt_distance,1701,Bridge-0.8_mts_8751,19.0,0.011875,0.25
gt_distance,1701,Bridge-0.6_mts_8751,15.75,0.00984375,0.25
gt_distance,1701,apr_9145,57.5625,0.0359765625,0.25
gt_distance,1701,Bridge-0.6_apr_9145,35.125,0.021953125,0.25
gt_distance,1701,Bridge-0.8_mts_8692,18.0625,0.0112890625,0.25
gt_distance,1701,Bridge-0.6_mts_8692,14.5625,0.0091015625,0.25
gt_distance,1701,mts_8692,58.4375,0.0365234375,0.25
gt_distance,1701,Bridge-0.4_mts_8692,17.0,0.010625,0.25
gt_distance,1701,Bridge-0.2_mts_8751,19.0,0.011875,0.25
gt_distance,1701,Bridge-0.4_mts_8751,17.625,0.011015625,0.25
gt_distance,1701,Bridge-0.2_mts_8692,21.625,0.013515625,0.25
gt_distance,2903,GT,288.75,0.18046875,0.25
gt_distance,2903,IL-native,347.875,0.217421875,0.25
gt_distance,2903,mts_8692,56.0625,0.0350390625,0.25
gt_distance,2903,grpo_9041,180.3125,0.1126953125,0.25
gt_distance,2903,mts_8751,74.4375,0.0465234375,0.25
gt_distance,2903,Bridge-0.4_grpo_9041,80.6875,0.0504296875,0.25
gt_distance,2903,apr_9145,58.875,0.036796875,0.25
gt_distance,2903,Bridge-0.6_apr_9145,34.875,0.021796875,0.25
gt_distance,2903,Bridge-0.8_apr_9145,21.625,0.013515625,0.25
gt_distance,2903,Bridge-0.2_grpo_9041,66.75,0.04171875,0.25
gt_distance,2903,Bridge-0.2_apr_9145,63.0,0.039375,0.25
gt_distance,2903,Bridge-0.4_apr_9145,54.9375,0.0343359375,0.25
gt_distance,2903,Bridge-0.8_grpo_9041,55.3125,0.0345703125,0.25
gt_distance,2903,Bridge-0.6_grpo_9041,71.125,0.044453125,0.25
gt_distance,2903,Bridge-0.4_mts_8751,17.75,0.01109375,0.25
gt_distance,2903,Bridge-0.2_mts_8692,21.9375,0.0137109375,0.25
gt_distance,2903,Bridge-0.2_mts_8751,19.3125,0.0120703125,0.25
gt_distance,2903,Bridge-0.6_mts_8692,14.9375,0.0093359375,0.25
gt_distance,2903,Bridge-0.8_mts_8692,17.75,0.01109375,0.25
gt_distance,2903,Bridge-0.6_mts_8751,16.4375,0.0102734375,0.25
gt_distance,2903,Bridge-0.4_mts_8692,17.5625,0.0109765625,0.25
gt_distance,2903,Bridge-0.8_mts_8751,19.6875,0.0123046875,0.25
old_pc,1701,IL-native,1383.924405887723,0.8649527536798268,0.25
old_pc,1701,Bridge-0.4_mts_8751,13.25,0.00828125,0.25
old_pc,1701,Bridge-0.8_mts_8751,0.5,0.0003125,0.25
old_pc,1701,Bridge-0.2_mts_8751,50.5,0.0315625,0.25
old_pc,1701,GT,21.875,0.013671875,0.25
old_pc,1701,Bridge-0.6_mts_8751,3.75,0.00234375,0.25
old_pc,1701,Bridge-0.2_mts_8692,67.84583336114883,0.04240364585071802,0.25
old_pc,1701,Bridge-0.2_grpo_9041,27.19642859697342,0.016997767873108388,0.25
old_pc,1701,Bridge-0.6_mts_8692,4.125,0.002578125,0.25
old_pc,1701,Bridge-0.8_mts_8692,1.5,0.0009375,0.25
old_pc,1701,mts_8692,3.9375,0.0024609375,0.25
old_pc,1701,Bridge-0.4_mts_8692,12.079166680574417,0.007549479175359011,0.25
old_pc,1701,Bridge-0.2_apr_9145,4.829166680574417,0.0030182291753590106,0.25
old_pc,1701,mts_8751,3.9375,0.0024609375,0.25
old_pc,1701,Bridge-0.6_grpo_9041,0.125,7.8125e-05,0.25
old_pc,1701,Bridge-0.4_grpo_9041,0.25,0.00015625,0.25
old_pc,1701,grpo_9041,0.25,0.00015625,0.25
old_pc,1701,Bridge-0.8_grpo_9041,0.125,7.8125e-05,0.25
old_pc,2903,Bridge-0.4_mts_8692,11.962500020861626,0.007476562513038516,0.25
old_pc,2903,IL-native,1383.801191560924,0.8648757447255775,0.25
old_pc,2903,GT,21.4375,0.0133984375,0.25
old_pc,2903,Bridge-0.2_mts_8692,66.05000004172325,0.041281250026077035,0.25
old_pc,2903,Bridge-0.2_grpo_9041,25.54464289546013,0.01596540180966258,0.25
old_pc,2903,Bridge-0.4_mts_8751,14.1875,0.0088671875,0.25
old_pc,2903,mts_8751,4.125,0.002578125,0.25
old_pc,2903,Bridge-0.8_mts_8692,1.5,0.0009375,0.25
old_pc,2903,Bridge-0.2_mts_8751,52.9375,0.0330859375,0.25
old_pc,2903,Bridge-0.8_mts_8751,0.5,0.0003125,0.25
old_pc,2903,Bridge-0.6_mts_8692,4.0625,0.0025390625,0.25
old_pc,2903,Bridge-0.2_apr_9145,5.641666680574417,0.0035260416753590106,0.25
old_pc,2903,Bridge-0.6_mts_8751,3.6875,0.0023046875,0.25
old_pc,2903,mts_8692,3.8125,0.0023828125,0.25
old_pc,2903,grpo_9041,0.25,0.00015625,0.25
old_pc,2903,Bridge-0.8_grpo_9041,0.125,7.8125e-05,0.25
old_pc,2903,Bridge-0.4_grpo_9041,0.25,0.00015625,0.25
old_pc,2903,Bridge-0.6_grpo_9041,0.125,7.8125e-05,0.25
conditional_pc,1701,IL-native,1285.0321894660592,0.803145118416287,0.25
conditional_pc,1701,Bridge-0.2_mts_8692,61.24761913716793,0.038279761960729956,0.25
conditional_pc,1701,Bridge-0.2_mts_8751,53.6875,0.0335546875,0.25
conditional_pc,1701,Bridge-0.6_mts_8751,8.125,0.005078125,0.25
conditional_pc,1701,Bridge-0.4_mts_8751,20.375,0.012734375,0.25
conditional_pc,1701,Bridge-0.8_mts_8751,3.0625,0.0019140625,0.25
conditional_pc,1701,GT,96.8125,0.0605078125,0.25
conditional_pc,1701,Bridge-0.4_mts_8692,24.516666680574417,0.01532291667535901,0.25
conditional_pc,1701,Bridge-0.8_mts_8692,4.0625,0.0025390625,0.25
conditional_pc,1701,mts_8692,3.25,0.00203125,0.25
conditional_pc,1701,Bridge-0.6_mts_8692,9.75,0.00609375,0.25
conditional_pc,1701,Bridge-0.2_grpo_9041,18.337500020861626,0.011460937513038515,0.25
conditional_pc,1701,Bridge-0.2_apr_9145,3.566025659441948,0.0022287660371512175,0.25
conditional_pc,1701,Bridge-0.6_apr_9145,0.5,0.0003125,0.25
