token,method,source,count
23e39302332152b2,conditional_pc,Bridge-0.4_mts_8751,4
23e39302332152b2,conditional_pc,Bridge-0.2_mts_8751,4
23e39302332152b2,conditional_pc,IL-native,3
23e39302332152b2,conditional_pc,Bridge-0.4_mts_8692,2
23e39302332152b2,conditional_pc,Bridge-0.2_mts_8692,1
23e39302332152b2,conditional_pc,Bridge-0.6_mts_8692,1
23e39302332152b2,conditional_pc,Bridge-0.8_mts_8692,1
23e39302332152b2,quality_only,Bridge-0.4_mts_8751,4
23e39302332152b2,quality_only,Bridge-0.2_mts_8751,4
23e39302332152b2,quality_only,IL-native,3
23e39302332152b2,quality_only,Bridge-0.4_mts_8692,2
23e39302332152b2,quality_only,Bridge-0.2_mts_8692,1
23e39302332152b2,quality_only,Bridge-0.6_mts_8692,1
23e39302332152b2,quality_only,Bridge-0.8_mts_8692,1
23e39302332152b2,score,apr_9145,12
23e39302332152b2,score,Bridge-0.8_apr_9145,4
23e39302332152b2,pareto,apr_9145,12
23e39302332152b2,pareto,Bridge-0.8_apr_9145,4
23e39302332152b2,gt_distance,Bridge-0.6_grpo_9041,4
23e39302332152b2,gt_distance,Bridge-0.4_grpo_9041,4
23e39302332152b2,gt_distance,Bridge-0.2_apr_9145,4
23e39302332152b2,gt_distance,Bridge-0.2_grpo_9041,3
23e39302332152b2,gt_distance,GT,1
23e39302332152b2,old_pc,Bridge-0.4_mts_8751,1
411a748874035630,conditional_pc,IL-native,16
411a748874035630,quality_only,IL-native,16
411a748874035630,score,GT,16
411a748874035630,pareto,apr_9145,4
411a748874035630,pareto,grpo_9041,3
411a748874035630,pareto,GT,3
411a748874035630,pareto,IL-native,3
411a748874035630,pareto,mts_8692,1
411a748874035630,pareto,Bridge-0.2_apr_9145,1
411a748874035630,pareto,mts_8751,1
411a748874035630,gt_distance,GT,3
411a748874035630,gt_distance,grpo_9041,3
411a748874035630,gt_distance,apr_9145,3
411a748874035630,gt_distance,IL-native,2
411a748874035630,gt_distance,mts_8751,1
411a748874035630,gt_distance,Bridge-0.2_apr_9145,1
411a748874035630,gt_distance,Bridge-0.8_mts_8692,1
411a748874035630,gt_distance,Bridge-0.6_grpo_9041,1
411a748874035630,gt_distance,Bridge-0.2_mts_8692,1
411a748874035630,old_pc,IL-native,16
79ebfc1d85bf5a51,conditional_pc,IL-native,16
79ebfc1d85bf5a51,quality_only,IL-native,16
79ebfc1d85bf5a51,score,grpo_9041,11
79ebfc1d85bf5a51,score,apr_9145,3
79ebfc1d85bf5a51,score,Bridge-0.8_grpo_9041,1
79ebfc1d85bf5a51,score,Bridge-0.8_apr_9145,1
79ebfc1d85bf5a51,pareto,grpo_9041,11
79ebfc1d85bf5a51,pareto,apr_9145,3
79ebfc1d85bf5a51,pareto,Bridge-0.8_grpo_9041,1
79ebfc1d85bf5a51,pareto,Bridge-0.8_apr_9145,1
79ebfc1d85bf5a51,gt_distance,Bridge-0.2_mts_8692,4
79ebfc1d85bf5a51,gt_distance,Bridge-0.2_mts_8751,4
79ebfc1d85bf5a51,gt_distance,Bridge-0.4_mts_8692,2
79ebfc1d85bf5a51,gt_distance,Bridge-0.4_mts_8751,2
