method,step,token,PDMS,feasible_rate,hard_failure,zero_score_rate,EP,NC,DAC,TTC,DDC,pairwise_ADE,Spread_AUC,spread_ratio_IL,center_shift,mean_center_shift,CRN_policy_change_ADE,D_positive,positive_count,IL_retention_loss,candidate_fitting_loss,Hit1,Hit8,Hit16,Hit64
conditional_pc,0,046b1cc13f0d5f9d,100.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.11809628079439617,0.10488546537106656,0.944776958379121,0.02767506241798401,0.013457067776471376,0.0,0.0,0.0,0.00021454882316618296,0.00035554837164042397,0.0,0.0,0.0,0.0
conditional_pc,0,053ae221b0d351f5,84.02455767964547,1.0,0.0,0.0,0.6165893843114915,1.0,1.0,1.0,1.0,0.12219292851088816,0.10155862434516698,0.959281326893157,0.043849388137459755,0.03519445285201073,0.0,0.11034347862005234,55.5,0.0017085409155441766,0.0022862781684622746,0.265625,0.9016565963289602,0.9892230055044009,1.0
conditional_pc,0,05f01335f6e15d86,98.61524065600805,1.0,0.0,0.0,0.9667657757441932,1.0,1.0,1.0,1.0,0.15214072788068675,0.1265629933911539,0.945554028415506,0.05280078202486038,0.057752372696995735,0.0,0.13370691239833832,57.0,0.00023530308688179957,0.00028156829795022986,0.578125,0.9990534652116052,0.9999996921506993,1.0
conditional_pc,0,06f781885ea25f20,96.47480528398509,1.0,0.0,0.0,0.915395326815642,1.0,1.0,1.0,1.0,0.10782377286099531,0.0901813015337211,0.97381528116003,0.08551652356982231,0.08237716183066368,0.0,0.08898275718092918,56.0,0.00026922281346486443,0.00022047794119828268,0.015625,0.11805555555555558,0.22023809523809523,0.5
conditional_pc,0,071d2ff38b4855ed,84.0086727090173,1.0,0.0,0.0,0.6162081450164154,1.0,1.0,1.0,1.0,0.10574929626005736,0.09012908344449364,0.9574168003412594,0.0643161740154028,0.048285387456417084,0.0,0.09478429704904556,56.0,0.002084133080543893,0.00101873968134214,0.4140625,0.9824309757917749,0.9997279748469994,1.0
conditional_pc,0,076f5a91273050e6,100.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.13592824962115369,0.11287875873547538,0.96211124157572,0.05231807008385658,0.04739605262875557,0.0,0.0,0.0,0.0014137215935789982,0.0014618233314678264,0.0,0.0,0.0,0.0
conditional_pc,0,07bd6c8c7de152a6,100.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1591073570724998,0.1378885415679063,0.947960999507611,0.12040031142532825,0.1100112684071064,0.0,0.0,0.0,0.0005358683048228841,0.0004883859188424822,0.0,0.0,0.0,0.0
conditional_pc,0,0827c1c05e0e5596,60.61197916666667,0.0546875,0.0,0.0,1.0,1.0,1.0,0.0546875,1.0,0.15107627693739806,0.12727696469973937,0.9440675510760402,0.07051965408027172,0.12004377692937851,0.0,0.16001036018133163,3.5,0.0012512642466084856,0.0013854528174590541,0.0546875,0.3783051295610788,0.6393127848706908,1.0
conditional_pc,0,089107cd2d6354e0,100.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.12077414490840692,0.0991723074474993,0.9637182905607904,0.06362421065568924,0.06348145194351673,0.0,0.0,0.0,0.00042614398022422506,0.0005648524290418067,0.0,0.0,0.0,0.0
conditional_pc,0,089b0ec6d7d35c09,100.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.16045655013499321,0.12926428085393693,0.9564657469091121,0.13877370208501816,0.10775317251682281,0.0,0.0,0.0,0.0009449698802974638,0.0011360181274859826,0.0,0.0,0.0,0.0
conditional_pc,0,095eafbb5c8f5b02,91.25133069582213,1.0,0.0,0.0,0.790031936699731,1.0,1.0,1.0,1.0,0.12522783910529825,0.10379025955166175,0.9069863909896346,0.1124344915151596,0.0865405909717083,0.0,0.10337794572114944,20.5,0.0023081605336443545,0.002427467672447392,0.0390625,0.2495042305658382,0.3877105839691773,0.5
conditional_pc,0,09c3d9dbca6455e5,100.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1502717105731453,0.1317381849167992,0.9682946030877333,0.03679080680012703,0.03458133339881897,0.0,0.0,0.0,0.0004832331786701616,0.00023248506099804445,0.0,0.0,0.0,0.0
conditional_pc,0,0a02ef840f2d5d8e,95.08157019749044,1.0,0.0,0.0,0.8819576847397705,1.0,1.0,1.0,1.0,0.1641911617909672,0.14312040433571807,0.9576087243343497,0.09444480948150158,0.1294807530939579,0.0,0.14704541116952896,60.0,0.0018758928897142368,0.0012930885805673142,0.5390625,0.9930357642706132,0.9999614030844846,1.0
conditional_pc,0,0a87bb919dbb58b6,95.87614425983966,1.0,0.0,0.0,0.9010274622361523,1.0,1.0,1.0,1.0,0.09449962762487524,0.08189749864145626,0.9648171053918477,0.07244512438774109,0.07092497497797012,0.0,0.05984531156718731,31.0,0.0007980431699756707,0.0013078830933004326,0.0,0.0,0.0,0.0
conditional_pc,0,0b9f2aceebbf5003,100.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1105586223729981,0.09068409119139137,0.9121872622147733,0.03225783258676529,0.04190969746559858,0.0,0.0,0.0,0.00045205027214834104,0.0004679319357130396,0.0,0.0,0.0,0.0
conditional_pc,0,0eea4103d56352dd,100.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1017414220559286,0.08489020149862744,0.9774454000697006,0.048529304563999176,0.04204288125038147,0.0,0.0,0.0,0.0007744946635881433,0.0006745397150496046,0.0,0.0,0.0,0.0
conditional_pc,0,12115c5ca1215fb7,92.69952072887094,1.0,0.0,0.0,0.8247884974929024,1.0,1.0,1.0,1.0,0.12760871671183996,0.10843274633750766,0.909944586162941,0.0676253642886877,0.060633584856987,0.0,0.11785698309540749,57.0,0.0004955651780989001,0.000646829495316581,0.0,0.0,0.0,0.0
