method,contrast,train_scenes,jointly_defined_scene_rates,conditional_PIA_rate,baseline_PIA_rate,mean_count_ratio_difference,median_scene_rate_difference,ci_low,ci_high,scene_positive_fraction,inference
gt_only,conditional_minus_baseline,700,590,0.1963174919134113,0.19122636936500242,0.005091122548408877,0.0,-0.006518249522545126,0.0168328234707775,0.18983050847457628,3000 paired scene-cluster resamples of numerator/denominator counts; both seeds included
score,conditional_minus_baseline,700,583,0.1963174919134113,0.19732685297691374,-0.0010093610635024397,0.0,-0.013022432913407158,0.011089394326780746,0.21269296740994853,3000 paired scene-cluster resamples of numerator/denominator counts; both seeds included
pareto,conditional_minus_baseline,700,584,0.1963174919134113,0.20322423058133854,-0.006906738667927237,0.0,-0.020623523422622247,0.006135853817517219,0.21232876712328766,3000 paired scene-cluster resamples of numerator/denominator counts; both seeds included
gt_distance,conditional_minus_baseline,700,588,0.1963174919134113,0.19322366805794255,0.003093823855468747,0.0,-0.008891510165851402,0.01482627059254098,0.1989795918367347,3000 paired scene-cluster resamples of numerator/denominator counts; both seeds included
old_pc,conditional_minus_baseline,700,598,0.1963174919134113,0.18940688308518427,0.006910608828227027,0.0,-0.005025088015822656,0.01879602951669541,0.19063545150501673,3000 paired scene-cluster resamples of numerator/denominator counts; both seeds included
