token,original_V2_primary_unique_count,original_V2_qualified_unique_count,original_V2_zero_qualified,frozen_16_slot_PDMS,frozen_filler_count
23e39302332152b2,0,0,1,93.55189428551876,15
411a748874035630,16,16,0,100.0,0
79ebfc1d85bf5a51,0,0,1,84.61669922151891,15
40808270ce205b83,0,0,1,95.96710209233028,15
86208267d61253c0,16,16,0,99.9995232412908,0
f8268857204e554e,0,0,1,91.00420947033469,15
1bf169a6aaf65858,16,16,0,100.0,0
3764407c90d65df3,0,0,1,90.23936222102995,15
38cfd81687975661,0,0,1,94.94368401088167,15
42e6895442ab5601,16,16,0,100.0,0
b34272d337d350d2,0,0,1,80.92585926538499,15
b23ede9a183b5b71,0,0,1,89.87126647411347,15
fff951eab9f45288,0,0,1,91.35035796745939,15
4fa9113617d254d4,16,16,0,100.0,0
988785170de957da,0,0,1,94.1626941653908,15
046b1cc13f0d5f9d,14,16,0,100.0,0
d7fbd35a0f315447,0,0,1,96.77890586986584,15
951957b841e05cfa,0,0,1,90.1095679764349,15
61db822891625c3b,0,0,1,92.16568532943803,15
759e9e451eba5b47,0,0,1,98.13038277186304,15
9c05edf9d6e85716,0,0,1,95.12657636591196,15
467bbee636b65c84,0,0,1,91.79014351622902,15
4f6409df56a85592,1,1,0,88.60219526514314,15
16ddb1838af755e3,0,0,1,85.2082827327915,15
2ce59f70a15b5ddf,16,16,0,100.0,0
461fb854eaa3583e,16,16,0,100.0,0
8b800af555d35794,16,16,0,100.0,0
2ab1b3941f7153cb,0,0,1,95.79197382374748,15
4bc510a669d8549f,3,3,0,99.95447675660903,13
3387bab95d41528a,8,16,0,100.0,0
e5acc98f52f458cc,0,0,1,98.39545538910033,15
3e9026530c475726,0,0,1,96.68105082860997,15
2ae0a44cc4de5c4a,16,16,0,100.0,0
cc94486698ff58d1,0,0,1,93.09648999964037,15
969763763ce754a4,15,16,0,100.0,0
ff6ab495a139534e,0,0,1,81.54501394429326,15
70248e0bb43a503b,16,16,0,100.0,0
2a2403c9b08b53ac,0,0,1,95.986358790206,15
854169aa74e95251,0,0,1,95.89956925272894,15
93a9927586995095,16,16,0,100.0,0
af62d866653053f6,0,0,1,88.0608678720144,15
17d296a87fb45380,0,0,1,96.69011223999749,15
5370751917315916,16,16,0,100.0,0
adaf33e4ba555709,0,0,1,99.78690196944385,15
1aa0acb229945e9b,0,0,1,99.08768658125643,15
fad9e78a17825042,0,0,1,92.09587013237477,15
4eaf32face4b5ece,14,16,0,100.0,0
2db045daf25c5bb7,0,0,1,93.86034540909058,15
b23f3d728c08529f,16,16,0,100.0,0
dc76a771066b5553,0,0,1,92.66379378361246,15
d76b0458667c59a2,12,16,0,100.0,0
8cf3b1868b2f5262,4,7,0,100.0,9
990bd9b32e5d5f60,1,1,0,93.47448559961875,15
6320ecb991675a39,0,0,1,87.44100422362182,15
66243e185353563a,0,0,1,89.24673179024033,15
cde84b97e6505437,0,0,1,91.24855322458765,15
d968f9c81b945be1,16,16,0,100.0,0
0a87bb919dbb58b6,0,0,1,96.9194950432264,15
fe5811497ace53af,0,0,1,95.01019757249567,15
1734440b807a58ef,0,0,1,91.8685188593112,15
480434fc72d455af,0,0,1,95.10223125217495,15
cb8e247140d55ab2,0,0,1,96.21412874228601,15
095770e79ccf5d82,15,16,0,100.0,0
d7f25a0ac141583a,0,0,1,99.0037828386561,15
4b0df2804f165dda,0,0,1,89.62369479630293,15
ab6ba1da1dd8592b,1,7,0,99.99894628018305,9
3feb7781f83754a7,13,16,0,100.0,0
6f471ee76c595c92,16,16,0,100.0,0
32516745ea1b59ef,0,1,0,99.2636391174706,15
a65dd6d24f575771,0,0,1,98.30325608444656,15
9ce305abb88f5ad0,0,0,1,87.24859293303801,15
7af6867add5b5f2c,0,0,1,88.20913815070827,15
b65e09c4d8125da0,0,0,1,87.28677156281648,15
cbe1e93e188f5490,2,2,0,84.9365756033618,14
