protocol,near_region,metric,contrast,near_mean,far_mean,n,mean,median,ci_low,ci_high,median_ci_low,median_ci_high,win_fraction,cluster_scenes,cluster_ci_low,cluster_ci_high,scene_win_fraction
primary,all,diffusion_loss,far_minus_compatible,0.0012200814671814442,0.0025756622198969126,3274,0.0013555809549034466,5.472088741953485e-05,0.0010053681227285224,0.0017410319380318326,4.936651766911382e-05,6.172364755911988e-05,0.7810018326206475,890,0.0008579724740913315,0.0019252368710932165,0.8089887640449438
primary,all,loss_t20,far_minus_compatible,0.0003508561057969928,0.0008792013395577669,3274,0.0005283452191144093,7.431991980411112e-05,0.0004410369036054932,0.0006240568977830728,6.913796096341684e-05,8.176333030860406e-05,0.7981062919975566,890,0.0003553562077212359,0.0007266622152699499,0.8617977528089887
primary,all,loss_t50,far_minus_compatible,6.682328967144713e-05,0.0001281302684219554,3274,6.130698995446073e-05,8.161708137777168e-06,5.096444799029385e-05,7.261517604785684e-05,7.374827055173227e-06,8.92659772944171e-06,0.7632864996945632,890,4.19357474601434e-05,8.357621205860771e-05,0.8056179775280898
primary,all,loss_t80,far_minus_compatible,2.55056638707174e-05,3.1715895602246746e-05,3274,6.2102359182884794e-06,8.178631105693057e-07,5.175224232188688e-06,7.381546692643207e-06,7.211882916635659e-07,9.229652278008871e-07,0.6750152718387293,890,4.290429910702498e-06,8.383631684134712e-06,0.7460674157303371
primary,all,E_rec,far_minus_compatible,0.21277306973934174,0.24925559759140015,3274,0.0364825193319076,0.023351609706878662,0.03456158385735526,0.038452426703173434,0.021387946791946888,0.0248792065307498,0.8414783139890043,890,0.03425820440894173,0.038858517685894677,0.8932584269662921
primary,all,return_rate,far_minus_compatible,0.9347892486255345,0.8864793321115862,3274,-0.048309916513948274,0.0,-0.05268784361637141,-0.04398289554062309,0.0,0.0,0.04031765424557117,890,-0.053389169376104405,-0.043226505072954925,0.05730337078651685
primary,boundary,diffusion_loss,far_minus_compatible,0.0012262408854439855,0.0026018719654530287,3209,0.0013756310437620374,5.398067878559232e-05,0.0010146243261679503,0.0017689319513361898,4.77395806228742e-05,6.1030290089547656e-05,0.7793705204113431,885,0.0008676816042972531,0.001956579344940843,0.8112994350282486
primary,boundary,loss_t20,far_minus_compatible,0.0003531089751049876,0.0008894475176930428,3209,0.0005363385267029324,7.318393909372389e-05,0.0004463993705788171,0.0006283786060394832,6.830687925685197e-05,8.049627649597824e-05,0.7961981925833593,885,0.0003599608784304254,0.0007169367604011943,0.8576271186440678
primary,boundary,loss_t50,far_minus_compatible,6.711279274895787e-05,0.00012932447134517133,3209,6.221166956361884e-05,8.119493941194378e-06,5.180725921811651e-05,7.328821993704492e-05,7.292648660950363e-06,8.901068213162944e-06,0.7616079775631037,885,4.281738043788369e-05,8.385247749212927e-05,0.8022598870056498
primary,boundary,loss_t80,far_minus_compatible,2.5591014491510577e-05,3.189354538335465e-05,3209,6.302532299165961e-06,8.153874659910798e-07,5.204706602868144e-06,7.4843319163411e-06,7.143808034015819e-07,9.154982762993313e-07,0.6749766282330945,885,4.3193141874794835e-06,8.53314810952776e-06,0.7435028248587571
primary,boundary,E_rec,far_minus_compatible,0.2130434662103653,0.2491556704044342,3209,0.036112192144049184,0.022582530975341797,0.03416636205464369,0.0381924757448943,0.020988001488149166,0.02420949935913086,0.8392022436896229,885,0.03388733928800044,0.03860303469187712,0.8892655367231639
primary,boundary,return_rate,far_minus_compatible,0.9344032408850109,0.8867767736574219,3209,-0.047626467227589064,0.0,-0.05219694608912434,-0.043159862885634157,0.0,0.0,0.040511062636335304,885,-0.05290517447595822,-0.04277571044164194,0.0576271186440678
primary,core,diffusion_loss,far_minus_compatible,0.0009159973706118762,0.0012817209353670478,65,0.0003657234911000929,9.898902499116957e-05,0.00013348086150192384,0.0006859256253336264,5.553093069465831e-05,0.0001272966619580984,0.8615384615384616,57,0.00013372754404281315,0.0006818621494476834,0.8596491228070176
primary,core,loss_t20,far_minus_compatible,0.00023963244166225195,0.0003733542107511312,65,0.000133721772167169,9.922457684297115e-05,9.469103433450353e-05,0.00017963360626219163,8.238479495048523e-05,0.0001399912580382079,0.8923076923076924,57,9.482297339878465e-05,0.00018424843528097682,0.9122807017543859
primary,core,loss_t50,far_minus_compatible,5.253035487839952e-05,6.917401333339512e-05,65,1.664365355771644e-05,8.944729415816255e-06,9.996309939267052e-06,2.5073808704012036e-05,6.360933184623718e-06,1.2144912034273148e-05,0.8461538461538461,57,1.0122507770964668e-05,2.57498954082481e-05,0.8771929824561403
primary,core,loss_t80,far_minus_compatible,2.129196946043521e-05,2.294560727023054e-05,65,1.6536345915833058e-06,1.26142731460277e-06,3.7233136481518157e-07,2.900445178616232e-06,2.289780240971595e-07,2.877512997656595e-06,0.676923076923077,57,3.827544420078038e-07,2.971733669882741e-06,0.7017543859649122
primary,core,E_rec,far_minus_compatible,0.19942376017570496,0.25418904423713684,65,0.05476528772941003,0.05555695295333862,0.04568400506503307,0.06378345034729976,0.043330028653144836,0.06492547690868378,0.9538461538461539,57,0.04458663157816889,0.06465592705376104,0.9473684210526315
primary,core,return_rate,far_minus_compatible,0.9538461538461539,0.8717948717948718,65,-0.08205128205128205,0.0,-0.12051282051282051,-0.04871794871794872,0.0,0.0,0.03076923076923077,57,-0.11971830985915492,-0.04427083333333334,0.03508771929824561
sensitivity,all,diffusion_loss,far_minus_compatible,0.0011357972398400307,0.0027284410316497087,3571,0.001592643715198439,5.722776404581964e-05,0.001135804800599448,0.0021646462677436364,5.150962533662096e-05,6.53069368127035e-05,0.7838140576869225,911,0.0008455642298112768,0.0025468952546606545,0.8090010976948409
sensitivity,all,loss_t20,far_minus_compatible,0.00034683418925851583,0.0008989134803414345,3571,0.0005520792355994121,8.452663314528763e-05,0.0004619374521725806,0.0006510709498993807,7.828948182577732e-05,9.159647743217647e-05,0.8146177541304956,911,0.000366293031077709,0.0007691519878888105,0.8836443468715697
sensitivity,all,loss_t50,far_minus_compatible,6.637503247475252e-05,0.0001297303388128057,3571,6.335530823001102e-05,9.118364687310532e-06,5.290179157965271e-05,7.460482113702202e-05,8.336035534739494e-06,9.947187209036201e-06,0.7720526463175581,911,4.157736393623881e-05,8.943404748792735e-05,0.8342480790340285
sensitivity,all,loss_t80,far_minus_compatible,2.637405850691721e-05,3.280815508333035e-05,3571,6.43409907249346e-06,8.424631232628599e-07,5.311743385604995e-06,7.602263551744006e-06,7.491180440410972e-07,9.623572623240761e-07,0.6796415569868384,911,4.2661837128472304e-06,9.001858661844907e-06,0.756311745334797
sensitivity,all,E_rec,far_minus_compatible,0.21217598021030426,0.2522326707839966,3571,0.04005669574017236,0.026763826608657837,0.03819558166894092,0.041942866335736934,0.025032394379377366,0.02846875786781311,0.8583029963595632,911,0.03780041238354736,0.04226648399457062,0.9154774972557629
sensitivity,all,return_rate,far_minus_compatible,0.9315317838140577,0.8777653318398208,3571,-0.053766451974236906,0.0,-0.058013628302062914,-0.04942593111173341,0.0,0.0,0.03948473816858023,911,-0.05908207908866123,-0.048626659578852496,0.06805708013172337
sensitivity,boundary,diffusion_loss,far_minus_compatible,0.0011386557016521692,0.0027397519443184137,3533,0.001601096298499128,5.660454917233437e-05,0.0011490484299645596,0.0022059589108152046,5.108013283461332e-05,6.523437332361937e-05,0.7820549108406454,907,0.0008462330486850786,0.002579459321619285,0.8103638368246968
sensitivity,boundary,loss_t20,far_minus_compatible,0.00034852256067097187,0.0009047564235515893,3533,0.0005562338704943211,8.419385994784534e-05,0.00046513173092957184,0.0006548606254173712,7.752401870675385e-05,9.125930955633521e-05,0.813189923577696,907,0.00036754504188595883,0.000780951436934757,0.8798235942668137
sensitivity,boundary,loss_t50,far_minus_compatible,6.659778591711074e-05,0.00013037586177233607,3533,6.3778059145931e-05,8.951348718255758e-06,5.309856951363187e-05,7.537167532890958e-05,8.243645424954593e-06,9.821983894653387e-06,0.7710161335975092,907,4.193563130420721e-05,8.969077681659396e-05,0.8313120176405733
sensitivity,boundary,loss_t80,far_minus_compatible,2.6445495677762665e-05,3.291994289611466e-05,3533,6.474446648276703e-06,8.351198630407453e-07,5.396517027648923e-06,7.695314117961482e-06,7.413000275846571e-07,9.454124665353447e-07,0.6784602320973677,907,4.180886307749156e-06,9.19687357068728e-06,0.75303197353914
sensitivity,boundary,E_rec,far_minus_compatible,0.2122442126274109,0.25208786129951477,3533,0.03984366429080259,0.026378825306892395,0.03797423800453807,0.0418538832770117,0.024626348912715913,0.028095804154872894,0.8567789414095669,907,0.03761459453912376,0.04223755912595592,0.9128996692392503
