step,loss,candidate_or_policy_loss,GT_or_BC_loss,gradient_norm_before_clip,lr,seconds
1,0.007004233470070176,0.006927084723429289,0.0003085948079615264,0.5903783440589905,1.0000000000000002e-06,6.31607985496521
2,0.012410072115017101,0.011569485082873143,0.0033623472804720222,0.8062723278999329,2.0000000000000003e-06,8.218294382095337
3,0.005967428631265648,0.005939394082815852,0.0001121382713336061,0.39601069688796997,3e-06,10.16879153251648
4,0.027953892549703596,0.025050775566342054,0.011612470509135164,1.312278151512146,4.000000000000001e-06,12.121271133422852
5,0.006131756032118574,0.006016777449985966,0.00045991462411620887,0.43376320600509644,5e-06,14.06625747680664
6,0.006228867219761014,0.0060526070519699715,0.0007050409622024745,0.3347170948982239,6e-06,16.009657382965088
7,0.0072375914842268685,0.007054355999571271,0.0007329424370254856,0.9747480750083923,7e-06,17.950947284698486
8,0.003076315053476719,0.002991352532262681,0.0003398499211471062,0.6810292601585388,8.000000000000001e-06,19.90058469772339
9,0.010123532862053253,0.00591917967540212,0.016817412240925478,0.3733724355697632,9e-06,21.849610805511475
10,0.011536303456523456,0.010880184592679143,0.0026244755499647,0.5729448199272156,1e-05,23.804957389831543
11,0.004684687461121939,0.004305894166463986,0.0015151732568483567,0.6576648354530334,9.999316524962347e-06,25.761970043182373
12,0.005362032279663254,0.005282537065795623,0.0003179811565132695,0.3365578055381775,9.99726628670463e-06,27.702428579330444
13,0.009606645020539872,0.009465632829233073,0.0005640496015075769,0.76157546043396,9.993849845741525e-06,29.609434127807617
14,0.0038435459573520347,0.0034059759927913547,0.0017502800646980177,0.4764474630355835,9.989068136093873e-06,31.50727105140686
15,0.006846005853731185,0.006789325372665189,0.0002267224599563633,0.4539516866207123,9.98292246503335e-06,33.37997102737427
16,0.00884487402800005,0.008782680393778719,0.0002487737583578564,0.24717894196510315,9.975414512725058e-06,35.26602864265442
17,0.027397488822316518,0.023461207121727057,0.01574512908109682,1.2762203216552734,9.966546331768192e-06,37.13192319869995
18,0.008472232959320536,0.007728871307335794,0.002973446481519204,0.22751756012439728,9.956320346634877e-06,39.051719665527344
19,0.010230546065940871,0.009924778350978158,0.001223071058120695,0.6052807569503784,9.944739353007344e-06,40.98125195503235
20,0.0020830202010984067,0.001976957288206904,0.000424251721597102,0.30733522772789,9.931806517013612e-06,42.94086265563965
21,0.021241095499135554,0.02077150484910817,0.0018783653213176876,0.5083231329917908,9.917525374361913e-06,45.811495780944824
22,0.0033958442327275407,0.0030227324459701777,0.0014924471770427772,0.26247507333755493,9.901899829374048e-06,47.72613334655762
23,0.010451323956658598,0.006403429080819478,0.016191579540645762,0.40067893266677856,9.884934153917998e-06,49.674598932266235
24,0.0036486394637904596,0.0031073852951521985,0.0021650164107995806,0.2921702563762665,9.86663298624003e-06,51.61349940299988
25,0.0024649078332004137,0.002022879787546117,0.0017681121817076928,0.30204829573631287,9.847001329696653e-06,53.55419445037842
26,0.005994253064272925,0.003780462735448964,0.008855161417159252,0.46463754773139954,9.826044551386743e-06,55.50590777397156
27,0.002160410789656453,0.0020212526724208146,0.0005566323834500508,0.21079705655574799,9.803768380684242e-06,57.45235538482666
28,0.006914579251315445,0.006824825672083534,0.00035901509090763284,0.5677225589752197,9.780178907671788e-06,59.37019348144531
29,0.005644009455863852,0.005219907165155746,0.0016964094120339723,0.7143183350563049,9.755282581475769e-06,61.312514781951904
30,0.0022336754700518213,0.0019013526689377613,0.0013292911680764519,0.3924787938594818,9.729086208503174e-06,63.26124286651611
31,0.007584467806736939,0.007539330195868388,0.0001805505262382212,0.7800980806350708,9.701596950580807e-06,65.19016218185425
32,0.009801230044104159,0.007324246835196391,0.009907933528438662,0.6359590291976929,9.672822322997305e-06,67.14236402511597
33,0.005599023988906993,0.005260309404548025,0.0013548584429372568,0.22855839133262634,9.642770192448537e-06,69.09456706047058
34,0.006583104446690413,0.005986302736346261,0.0023872071401456196,0.8089916110038757,9.611448774886925e-06,71.01394367218018
35,0.007694492946029641,0.00724076246842742,0.0018149216894016718,0.2342701107263565,9.578866633275289e-06,72.93549990653992
36,0.0043056470713054296,0.0035355215568415588,0.003080501806380198,0.3187522292137146,9.545032675245814e-06,74.84741735458374
37,0.002944684185422375,0.0028577520579347038,0.00034772834351315396,0.2576826810836792,9.509956150664796e-06,76.77004551887512
38,0.0039032238664731267,0.002497262008546386,0.005623847519473202,0.31454306840896606,9.473646649103819e-06,78.69842338562012
39,0.009643719364248682,0.007001862024480943,0.010567429449793053,0.580351710319519,9.43611409721806e-06,80.65921545028687
40,0.004219941729388665,0.002754525292402832,0.005861665780230396,0.3126663565635681,9.397368756032445e-06,82.583820104599
41,0.015170042686804663,0.014843048702459782,0.0013079749091957638,0.7230722308158875,9.357421218136387e-06,84.51101732254028
42,0.0068890305956301745,0.003482546810118947,0.013625935221625696,0.43454211950302124,9.31628240478787e-06,86.42057752609253
43,0.007501756626879796,0.005830272464663722,0.006685936749818211,0.36231884360313416,9.273963562927695e-06,88.31005668640137
44,0.005620432646537665,0.005269468158076052,0.0014038583553883655,0.2912876307964325,9.230476262104678e-06,90.19958591461182
45,0.005672173083439702,0.005609148352959892,0.0002520990224184061,0.6290822625160217,9.185832391312644e-06,92.09135937690735
46,0.006049948986401432,0.005520524257008219,0.0021176989166633575,0.5574163198471069,9.140044155740102e-06,93.9849202632904
47,0.007922400160168763,0.007472616314771585,0.0017991354354762734,0.5008935332298279,9.093124073433462e-06,95.88157224655151
48,0.0033318526511720847,0.003265144678152865,0.00026683227906687534,0.20896585285663605,9.045084971874738e-06,97.8062858581543
49,0.005727436597226188,0.003983845432230737,0.006974365277073957,0.2722626328468323,8.995939984474624e-06,99.72628378868103
50,0.005189547511690762,0.005111239246616606,0.0003132326010018005,0.47933071851730347,8.94570254698197e-06,101.69162583351135
