stage,method,metric,mean,log_clusters,log_cluster_ci_low,log_cluster_ci_high
E,gt_only,PDMS,0.014079405000217354,223,-0.3717028913592724,0.3539302281080279
E,score,PDMS,-0.35723624149014055,223,-0.959629289416275,0.3253653953700522
E,pareto,PDMS,-0.6514147257245543,223,-1.2521077852286187,-0.01984617753476165
E,gt_distance,PDMS,-0.31756784738341737,223,-0.6544706779144636,0.047868826200621474
E,old_pc,PDMS,-0.004254344044233041,223,-0.29209433727298284,0.3099825024577981
E,gt_only,feasible_rate,0.001328125,223,-0.003628747005511244,0.006123004485252261
E,score,feasible_rate,0.019114583333333334,223,0.009298666686574296,0.030314203896982053
E,pareto,feasible_rate,0.015598958333333333,223,0.0062056693753366554,0.0255175358495671
E,gt_distance,feasible_rate,0.0053125,223,0.00031809102194389484,0.011072244047120858
E,old_pc,feasible_rate,0.003411458333333333,223,-0.00010682658480058671,0.00730200302208262
E,gt_only,center_shift,-0.054138274571547906,223,-0.06049281440581475,-0.04775747241900213
E,score,center_shift,-0.29011610033766677,223,-0.3164006852415888,-0.26541241822728573
E,pareto,center_shift,-0.30577224162252,223,-0.3347883013819872,-0.2805239288887103
E,gt_distance,center_shift,-0.08119266458010922,223,-0.0882513756474766,-0.07427807577549854
E,old_pc,center_shift,-0.02407811674910287,223,-0.029147881091120164,-0.018872659753063327
E,gt_only,CRN_policy_change_ADE,-0.05467067713383585,223,-0.06079493190090449,-0.04840772662666683
E,score,CRN_policy_change_ADE,-0.29097927204798907,223,-0.3156328424129797,-0.26617600184121837
E,pareto,CRN_policy_change_ADE,-0.3071017375293498,223,-0.3357725993908668,-0.27954762562055724
E,gt_distance,CRN_policy_change_ADE,-0.08164486947314192,223,-0.088653827432874,-0.07511616668277227
E,old_pc,CRN_policy_change_ADE,-0.025035471972078085,223,-0.030312556546187808,-0.019885247567305957
E,gt_only,IL_retention_loss,-0.00037066179043853775,223,-0.00042011943487644333,-0.00032534166995065223
E,score,IL_retention_loss,-0.0014052527126893794,223,-0.0015605424890807393,-0.0012539091587871175
E,pareto,IL_retention_loss,-0.001570468739582513,223,-0.0017510994633168906,-0.0014140472776682659
E,gt_distance,IL_retention_loss,-0.0005270713765222196,223,-0.000582283996485711,-0.00047512246262817353
E,old_pc,IL_retention_loss,1.8579207006969327e-06,223,-1.861176289550525e-05,2.1619754023956423e-05
E,gt_only,Hit8,0.0023761586431083346,223,-0.016415899494113206,0.020069593922771984
E,score,Hit8,-0.2678531516376759,223,-0.3180484790179787,-0.2203463088467906
E,pareto,Hit8,-0.27130612101243723,223,-0.3224011810728339,-0.22323576069479983
E,gt_distance,Hit8,-0.1592135999383353,223,-0.19215384313350053,-0.12940380537119364
E,old_pc,Hit8,-0.07719630361161267,223,-0.09564651487753024,-0.05898674530254369
F,gt_only,PDMS,-0.40461375859186727,223,-1.248304096157475,0.39841121365087173
F,score,PDMS,0.09610351996926293,223,-1.1313388247394367,1.2625467075508137
F,pareto,PDMS,0.5931510626309999,223,-1.0080973166856388,2.0753357058809776
F,gt_distance,PDMS,0.4123178749585822,223,-0.8357974323512392,1.624567567236383
F,old_pc,PDMS,-0.9537688663803755,223,-1.7415613775361134,-0.25135759579119493
F,gt_only,feasible_rate,0.0040885416666666665,223,-0.007345655001672469,0.015072755788445939
F,score,feasible_rate,0.00484375,223,-0.008921800218186936,0.019055017701795504
F,pareto,feasible_rate,0.010833333333333334,223,-0.006583235231164383,0.02773501261812715
F,gt_distance,feasible_rate,0.010546875,223,-0.004136029411764706,0.025520287620623146
F,old_pc,feasible_rate,-0.013645833333333333,223,-0.02465353907299498,-0.003797817887931032
F,gt_only,center_shift,0.17724370767672856,223,0.1563111607474587,0.19758012868880445
